Source File,X (um),Y (um),Z (um)
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,25.7245625,2.904694,0.469638
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,26.5169775,3.38195,0.464516
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,23.190817,0.7158125,0.5342675
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,0.769392,2.8258945,0.615901
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,33.9856465,1.811368,0.6931795
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,32.384196,1.9477055,0.6561815
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,28.9750435,1.982097,0.6527365
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,7.8969475,2.338843,0.651183
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,29.496324,1.923519,0.707512
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,3.2588465,2.025764,0.704639
C1-1hrCLTPBIP_001_d1.tif_d1_localizations.csv,8.2516915,2.4768705,0.7108335
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,40.8153005,0.5355415,0.5957575
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,52.261027,2.684136,0.5825625
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,24.0274125,2.962063,0.5531045
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,5.332704,0.6760845,0.6482255
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,11.198603,0.9239035,0.6521645
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,29.985514,1.3752895,0.6717685
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,6.3103885,1.5086305,0.68887
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,28.538809,1.814488,0.727532
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,31.047341,1.8245695,0.7019415
C1-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,33.5838165,2.1551855,0.7260825
C1-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,21.8140845,3.9087555,0.5409365
C1-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,20.739849,2.464072,0.591903
