Source File,X (um),Y (um),Z (um)
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,1.24477475,2.11924425,1.3863415
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,1.8270915,3.79542725,1.07842925
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,1.1384465,0.98701125,1.1734055
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,0.2573765,0.80105775,1.50632225
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,1.1399945,0.976315,1.44726175
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,3.276256,2.86886325,1.045717
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,3.037262,4.8384245,1.0269905
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,2.64408075,0.7286565,1.1325125
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,3.8113695,4.69769625,0.60710625
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,3.83272975,4.74559825,0.9320035
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,3.81449775,4.76860325,1.1601615
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,3.6307695,0.64587075,1.2611685
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,3.8069835,0.662372,1.3580045
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,4.99944875,2.55360875,0.9643825
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,5.04087925,2.55936,1.2515795
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,5.31650925,2.95937825,1.24443075
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,4.8940235,1.07967625,1.42531025
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,5.87626175,2.28352575,0.94439825
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,5.95017875,2.27843025,1.20087175
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,6.393885,2.64307025,0.483922
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,6.42883325,2.66463475,0.90286025
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,6.44837675,2.7049365,1.2634905
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,8.37712025,4.08410775,1.33154875
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,10.61997875,5.82747825,1.06008975
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,11.51958175,2.70686075,1.1950345
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,15.6210615,3.65443025,1.12256875
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,15.6477,3.67246875,0.726571
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,19.141407,3.410846,1.20401075
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,19.2854785,3.173658,1.383095
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,31.3293485,1.7143885,0.8807045
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,31.327263,1.703015,1.4247835
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,33.48875475,2.6594425,1.20777325
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,33.49729025,2.65652925,1.26909125
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,35.407017,5.2808085,1.10455175
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,35.41407975,5.27768025,1.299933
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,37.132736,1.63787,1.3779565
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,48.68119225,4.3250905,1.34158925
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,97.1399885,3.9305655,1.45598
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,1.4685145,3.06900675,1.29140825
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,1.937107,4.88007,1.2230275
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,0.16715175,5.82848875,1.4449505
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,2.98633925,3.44353675,0.8653535
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,7.7623385,1.51367525,0.95480425
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,7.88838225,1.61440275,1.372732
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,9.0837715,2.4075485,1.377333
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,9.1709325,2.4575145,1.0911465
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,16.642935,3.7969,1.13291025
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,28.14437075,0.589057,0.73141925
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,28.17518025,0.608665,1.10818525
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,30.007765,3.7330235,1.41849475
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,32.11503375,3.70162275,1.234917
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,40.0862985,4.22981325,1.396339
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,2.550115,3.31864325,0.979067
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,0.23926275,0.479923,1.44343475
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,0.89236825,0.428108,1.35814425
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,3.2761485,3.19546975,0.6671235
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,3.30703325,3.2681075,1.0004165
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,3.3383265,3.26321625,0.913148
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,2.86806775,1.33118325,1.123633
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,4.6605765,1.1441655,0.99823425
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,4.633594,1.1122595,1.235003
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,5.65092025,0.91576025,0.88963775
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,5.64760925,0.90763325,1.229671
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,5.9936625,1.30007275,0.4414165
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,6.1305745,1.393028,0.832222
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,6.122555,1.38899675,1.3174125
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,7.9802195,2.87578625,1.34930775
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,10.06800925,4.90716,1.0634115
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,11.2710955,1.9122745,1.062229
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,11.31950275,1.88184125,1.15694725
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,15.50400475,2.68065225,0.750006
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,15.49721075,2.67461075,1.1725885
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,17.1126455,5.0812885,1.372259
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,18.7709835,1.3456205,1.2053975
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,18.8324305,1.129524,1.405928
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,66.458865,1.589323,1.09769325
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,66.4569945,1.55893275,1.42466525
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,66.47070075,1.58499075,1.36964675
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,66.515711,1.59311775,0.97019825
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,73.09519475,3.26560275,1.3765375
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d3.tif_d1_localizations,74.4963175,3.58950025,1.344911
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,1.87457425,2.54014975,0.600151
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,2.54361125,2.8252075,0.62871375
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,3.4788505,4.26808325,0.153768
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,5.030097,3.53919025,0.75984225
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,5.06966775,3.48939625,0.68917175
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,6.97933,2.4117625,0.36538175
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,13.453195,1.97495775,0.84197225
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,13.4939805,1.97687125,0.51095825
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,16.456229,3.22228025,0.70557625
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,16.48135175,3.21125075,0.43078475
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,17.093446,3.648851,0.2030675
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,17.88130275,0.933014,0.62409125
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,17.9854595,0.95286925,0.333981
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,20.1722675,2.19030175,0.22485775
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,20.370175,3.40657825,0.35880275
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,22.8802355,3.09287175,0.47298925
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,22.923128,3.09575275,0.2292545
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,25.109119,4.3267245,0.149081
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,25.1077215,4.308686,0.401491
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,27.2002735,3.1531685,0.68429125
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,27.20782,3.16528375,0.460444
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,30.99735625,3.80106025,0.2414665
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,31.71072625,3.28716725,0.505981
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,31.748405,3.2881025,0.22846975
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,35.32973525,1.8300155,0.30767575
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,36.1103035,1.81329925,0.85837675
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,43.669123,0.9452905,0.19929425
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,44.525941,4.5905295,0.1420935
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,48.2327775,1.9406115,0.51147425
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,48.26656475,1.93210825,0.236887
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,48.7208275,5.89853575,0.1484575
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,49.836656,2.37111675,0.1910275
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,64.47752175,2.00559525,0.26929825
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,64.4871215,2.0106585,0.5196335
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,66.20702475,2.79443025,0.4156165
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,66.21680725,2.76370675,0.4992085
C2-MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,72.581721,2.27131375,0.60394575
