image_id,bin,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,whole_image,8,11,19,0,0,0,0,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,0_40,8,11,19,0,0,0,0,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,whole_image,67,10,77,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,0_40,61,8,69,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,40_80,6,2,8,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,whole_image,35,6,41,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,0_40,21,5,26,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,40_80,14,1,15,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,whole_image,33,12,45,1,1,2,1,0.044444444444444446
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,0_40,21,5,26,1,1,2,1,0.07692307692307693
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,40_80,11,7,18,0,0,0,0,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,80_120,1,0,1,0,0,0,0,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,whole_image,20,13,33,1,1,2,1,0.06060606060606061
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,0_40,20,13,33,1,1,2,1,0.06060606060606061
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,whole_image,48,41,89,4,4,8,4,0.0898876404494382
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0_40,30,25,55,3,3,6,3,0.10909090909090909
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,40_80,13,13,26,0,0,0,0,0.0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,80_120,4,2,6,1,1,2,1,0.3333333333333333
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,120_160,1,1,2,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,whole_image,17,2,19,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,0_40,16,2,18,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,40_80,1,0,1,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,whole_image,19,7,26,1,1,2,1,0.07692307692307693
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,0_40,16,7,23,1,1,2,1,0.08695652173913043
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,40_80,3,0,3,0,0,0,0,0.0
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,whole_image,31,12,43,5,5,10,5,0.23255813953488372
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,0_40,16,8,24,2,2,4,2,0.16666666666666666
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,40_80,10,2,12,2,2,4,2,0.3333333333333333
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,80_120,5,2,7,1,1,2,1,0.2857142857142857
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,whole_image,33,5,38,1,1,2,1,0.05263157894736842
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,0_40,29,5,34,1,1,2,1,0.058823529411764705
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,40_80,4,0,4,0,0,0,0,0.0
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,whole_image,18,4,22,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,0_40,13,3,16,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,40_80,5,1,6,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,whole_image,31,12,43,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,0_40,28,11,39,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,40_80,3,1,4,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,whole_image,62,18,80,4,4,8,4,0.1
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,0_40,42,16,58,2,2,4,2,0.06896551724137931
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,40_80,20,2,22,2,2,4,2,0.18181818181818182
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,whole_image,54,17,71,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,0_40,45,9,54,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,40_80,9,8,17,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,whole_image,36,6,42,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,0_40,36,6,42,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,whole_image,91,34,125,3,3,6,3,0.048
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,0_40,66,26,92,2,2,4,2,0.043478260869565216
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,40_80,17,4,21,1,1,2,1,0.09523809523809523
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,80_120,8,4,12,0,0,0,0,0.0
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,whole_image,51,9,60,1,1,2,1,0.03333333333333333
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,0_40,47,9,56,1,1,2,1,0.03571428571428571
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,40_80,4,0,4,0,0,0,0,0.0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,whole_image,8,9,17,1,1,2,1,0.11764705882352941
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,0_40,3,7,10,1,1,2,1,0.2
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,40_80,5,2,7,0,0,0,0,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,whole_image,8,8,16,4,4,8,4,0.5
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,0_40,6,5,11,3,3,6,3,0.5454545454545454
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,40_80,2,3,5,1,1,2,1,0.4
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,whole_image,18,8,26,0,0,0,0,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,0_40,1,5,6,0,0,0,0,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,40_80,9,3,12,0,0,0,0,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,80_120,8,0,8,0,0,0,0,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,whole_image,44,7,51,2,2,4,2,0.0784313725490196
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,0_40,36,6,42,2,2,4,2,0.09523809523809523
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,40_80,8,1,9,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,whole_image,23,11,34,1,1,2,1,0.058823529411764705
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,0_40,23,11,34,1,1,2,1,0.058823529411764705
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,whole_image,10,4,14,1,1,2,1,0.14285714285714285
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,0_40,10,4,14,1,1,2,1,0.14285714285714285
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,whole_image,38,16,54,9,9,18,9,0.3333333333333333
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,0_40,36,16,52,9,9,18,9,0.34615384615384615
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,40_80,2,0,2,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,whole_image,71,13,84,5,5,10,5,0.11904761904761904
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,0_40,63,13,76,5,5,10,5,0.13157894736842105
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,40_80,8,0,8,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,whole_image,28,12,40,11,11,22,11,0.55
