image_id,bin,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,whole_image,8,11,19,0,0,0,0,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,0_30,8,9,17,0,0,0,0,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,30_60,0,2,2,0,0,0,0,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_001_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,whole_image,67,10,77,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,0_30,58,6,64,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,30_60,9,4,13,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,whole_image,35,6,41,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,0_30,19,5,24,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,30_60,15,1,16,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,60_90,1,0,1,0,0,0,0,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,whole_image,33,12,45,1,1,2,1,0.044444444444444446
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,0_30,20,5,25,1,1,2,1,0.08
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,30_60,4,6,10,0,0,0,0,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,60_90,9,1,10,0,0,0,0,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,whole_image,20,13,33,1,1,2,1,0.06060606060606061
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,0_30,20,13,33,1,1,2,1,0.06060606060606061
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,30_60,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_003_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,whole_image,48,41,89,4,4,8,4,0.0898876404494382
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,0_30,25,22,47,3,3,6,3,0.1276595744680851
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,30_60,14,14,28,0,0,0,0,0.0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,60_90,5,2,7,0,0,0,0,0.0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,90_120,3,2,5,1,1,2,1,0.4
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,whole_image,17,2,19,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,0_30,15,2,17,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,30_60,2,0,2,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_005_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,whole_image,19,7,26,1,1,2,1,0.07692307692307693
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,0_30,14,7,21,1,1,2,1,0.09523809523809523
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,30_60,5,0,5,0,0,0,0,0.0
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,whole_image,31,12,43,5,5,10,5,0.23255813953488372
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,0_30,14,7,21,1,1,2,1,0.09523809523809523
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,30_60,6,2,8,2,2,4,2,0.5
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,60_90,7,2,9,2,2,4,2,0.4444444444444444
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,90_120,4,1,5,0,0,0,0,0.0
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,whole_image,33,5,38,1,1,2,1,0.05263157894736842
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,0_30,26,5,31,1,1,2,1,0.06451612903225806
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,30_60,7,0,7,0,0,0,0,0.0
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,whole_image,18,4,22,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,0_30,11,3,14,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,30_60,7,1,8,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_008_d3.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,whole_image,31,12,43,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,0_30,24,9,33,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,30_60,7,3,10,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,whole_image,62,18,80,4,4,8,4,0.1
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,0_30,34,16,50,2,2,4,2,0.08
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,30_60,20,2,22,2,2,4,2,0.18181818181818182
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,60_90,8,0,8,0,0,0,0,0.0
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,whole_image,54,17,71,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,0_30,37,8,45,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,30_60,16,8,24,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,60_90,1,1,2,0,0,0,0,0.0
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,whole_image,36,6,42,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,0_30,36,6,42,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,30_60,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,whole_image,91,34,125,3,3,6,3,0.048
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,0_30,59,20,79,1,1,2,1,0.02531645569620253
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,30_60,18,9,27,2,2,4,2,0.14814814814814814
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,60_90,14,5,19,0,0,0,0,0.0
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,whole_image,51,9,60,1,1,2,1,0.03333333333333333
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,0_30,40,8,48,1,1,2,1,0.041666666666666664
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,30_60,10,1,11,0,0,0,0,0.0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,60_90,1,0,1,0,0,0,0,0.0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,whole_image,8,9,17,1,1,2,1,0.11764705882352941
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,0_30,2,6,8,0,0,0,0,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,30_60,3,1,4,1,1,2,1,0.5
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,60_90,3,2,5,0,0,0,0,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,whole_image,8,8,16,4,4,8,4,0.5
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,0_30,5,4,9,2,2,4,2,0.4444444444444444
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,30_60,2,2,4,1,1,2,1,0.5
