image_key,external_count,our_arc_count,delta_external_minus_ours
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,1,1,0
1hrCLTPBIP_003_d2.tif_d1_localizations.csv,4,4,0
1hrCLTPBIP_005_d2.tif_d1_localizations.csv,1,1,0
1hrCLTPBIP_008_d1.tif_d1_localizations.csv,5,5,0
1hrCLTPBIP_008_d2.tif_d1_localizations.csv,1,1,0
1hrCLTPBIP_010_d2.tif_d1_localizations.csv,3,3,0
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,2,2,0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,1,1,0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,1,1,0
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,4,4,0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,2,2,0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,1,1,0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,1,1,0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,8,8,0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,4,4,0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,11,11,0
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,2,2,0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,1,1,0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,1,1,0
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,4,4,0
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,1,1,0
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,1,1,0
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,3,3,0
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,2,2,0
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,7,7,0
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,8,8,0
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,11,11,0
1hrCLTP_Tom20600_013_d2.tif_d1_localizations.csv,3,3,0
1hrCLTP_Tom20600_013_d3.tif_d1_localizations.csv,13,13,0
1hrCLTP_Tom20600_014_d1.tif_d1_localizations.csv,1,1,0
