threshold_um,region,xmin_um,xmax_um,actin_total,arc_total,observed_pairs,actin_match_fraction,arc_match_fraction,dice_fraction,null_pairs_mean,null_pairs_ci_low,null_pairs_ci_high,null_actin_match_fraction_mean,null_arc_match_fraction_mean,null_dice_fraction_mean,enrichment_vs_null,empirical_p_enrichment
0.25,whole_image,-inf,inf,1605,559,348,0.21682242990654205,0.6225402504472272,0.32162661737523107,63.28,50.8,74.8,0.039426791277258566,0.11320214669051878,0.058484288354898335,5.499367888748419,0.038461538461538464
0.5,whole_image,-inf,inf,1605,559,383,0.23862928348909657,0.6851520572450805,0.3539741219963031,183.16,173.0,194.6,0.11411838006230529,0.32765652951699464,0.16927911275415897,2.0910679187595544,0.038461538461538464
1.0,whole_image,-inf,inf,1605,559,424,0.2641744548286604,0.7584973166368515,0.39186691312384475,348.2,339.0,358.8,0.21694704049844235,0.6228980322003578,0.32181146025878005,1.2176909821941413,0.038461538461538464
0.25,x_ge_50,50.0,inf,248,66,30,0.12096774193548387,0.45454545454545453,0.1910828025477707,4.0,1.6,7.0,0.016129032258064516,0.06060606060606061,0.025477707006369428,7.5,0.038461538461538464
0.5,x_ge_50,50.0,inf,248,66,36,0.14516129032258066,0.5454545454545454,0.22929936305732485,13.16,10.6,16.4,0.053064516129032256,0.1993939393939394,0.08382165605095541,2.735562310030395,0.038461538461538464
1.0,x_ge_50,50.0,inf,248,66,37,0.14919354838709678,0.5606060606060606,0.2356687898089172,25.08,22.6,28.4,0.10112903225806451,0.37999999999999995,0.1597452229299363,1.4752791068580544,0.038461538461538464
0.25,0_30,0.0,30.0,1062,408,272,0.256120527306968,0.6666666666666666,0.37006802721088433,51.44,39.6,61.99999999999999,0.048436911487758944,0.126078431372549,0.06998639455782313,5.287713841368585,0.038461538461538464
0.5,0_30,0.0,30.0,1062,408,295,0.2777777777777778,0.7230392156862745,0.4013605442176871,147.36,139.6,158.2,0.13875706214689268,0.3611764705882353,0.20048979591836735,2.0019001085776327,0.038461538461538464
1.0,0_30,0.0,30.0,1062,408,329,0.3097928436911488,0.8063725490196079,0.44761904761904764,276.88,269.2,284.8,0.2607156308851224,0.6786274509803921,0.3767074829931973,1.1882403929500145,0.038461538461538464
0.25,30_60,30.0,60.0,388,116,58,0.14948453608247422,0.5,0.23015873015873015,9.92,6.2,13.399999999999999,0.02556701030927835,0.08551724137931034,0.03936507936507937,5.846774193548387,0.038461538461538464
0.5,30_60,30.0,60.0,388,116,67,0.17268041237113402,0.5775862068965517,0.26587301587301587,28.8,22.6,35.599999999999994,0.07422680412371134,0.2482758620689655,0.11428571428571428,2.326388888888889,0.038461538461538464
1.0,30_60,30.0,60.0,388,116,74,0.19072164948453607,0.6379310344827587,0.29365079365079366,57.88,51.6,63.8,0.14917525773195878,0.49896551724137933,0.22968253968253968,1.2785072563925362,0.038461538461538464
0.25,60_90,60.0,90.0,134,28,16,0.11940298507462686,0.5714285714285714,0.19753086419753085,1.8,0.0,4.0,0.013432835820895522,0.0642857142857143,0.022222222222222223,8.88888888888889,0.038461538461538464
0.5,60_90,60.0,90.0,134,28,18,0.13432835820895522,0.6428571428571429,0.2222222222222222,6.24,4.0,8.0,0.04656716417910448,0.22285714285714286,0.07703703703703704,2.8846153846153846,0.038461538461538464
1.0,60_90,60.0,90.0,134,28,18,0.13432835820895522,0.6428571428571429,0.2222222222222222,11.48,9.0,14.0,0.08567164179104478,0.41000000000000003,0.1417283950617284,1.5679442508710801,0.038461538461538464
0.25,90_120,90.0,120.0,20,6,2,0.1,0.3333333333333333,0.15384615384615385,0.12,0.0,1.0,0.006,0.02,0.00923076923076923,16.666666666666668,0.038461538461538464
0.5,90_120,90.0,120.0,20,6,3,0.15,0.5,0.23076923076923078,0.76,0.0,2.0,0.038,0.12666666666666668,0.05846153846153846,3.9473684210526314,0.038461538461538464
1.0,90_120,90.0,120.0,20,6,3,0.15,0.5,0.23076923076923078,1.84,0.6000000000000001,3.0,0.092,0.3066666666666667,0.14153846153846156,1.6304347826086956,0.2692307692307692
