image_id,bin,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,whole_image,38,22,60,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,0_40,36,18,54,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,40_80,1,4,5,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,80_120,1,0,1,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d1.tif_d1_localizations,120_160,0,0,0,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,whole_image,14,4,18,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,0_40,13,4,17,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,40_80,1,0,1,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,80_120,0,0,0,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min3_w1CY5-100_s1_d2.tif_d1_localizations,120_160,0,0,0,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,whole_image,45,12,57,4,2,6,4,0.10526315789473684
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,0_40,26,11,37,4,2,6,4,0.16216216216216217
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,40_80,15,1,16,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,80_120,4,0,4,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d1.tif_d1_localizations,120_160,0,0,0,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,whole_image,16,3,19,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,0_40,8,3,11,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,40_80,8,0,8,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,80_120,0,0,0,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-Bic60min5_w2CY3-100_s1_d2.tif_d1_localizations,120_160,0,0,0,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,whole_image,9,36,45,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,0_40,6,33,39,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,40_80,3,3,6,0,0,0,0,0.0
MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,80_120,0,0,0,0,0,0,0,0.0
