bin,min_total_puncta,images_kept,fraction_kept,bin_label
0_40,1,35,1.0,0-40 um
0_40,2,35,1.0,0-40 um
0_40,3,35,1.0,0-40 um
0_40,4,35,1.0,0-40 um
0_40,5,35,1.0,0-40 um
0_40,6,35,1.0,0-40 um
0_40,7,35,1.0,0-40 um
0_40,8,34,0.9714285714285714,0-40 um
0_40,9,34,0.9714285714285714,0-40 um
0_40,10,34,0.9714285714285714,0-40 um
0_40,11,34,0.9714285714285714,0-40 um
0_40,12,33,0.9428571428571428,0-40 um
0_40,13,33,0.9428571428571428,0-40 um
0_40,14,32,0.9142857142857143,0-40 um
0_40,15,32,0.9142857142857143,0-40 um
40_80,1,33,0.9428571428571428,40-80 um
40_80,2,32,0.9142857142857143,40-80 um
40_80,3,29,0.8285714285714286,40-80 um
40_80,4,26,0.7428571428571429,40-80 um
40_80,5,21,0.6,40-80 um
40_80,6,17,0.4857142857142857,40-80 um
40_80,7,15,0.42857142857142855,40-80 um
40_80,8,15,0.42857142857142855,40-80 um
40_80,9,13,0.37142857142857144,40-80 um
40_80,10,12,0.34285714285714286,40-80 um
40_80,11,12,0.34285714285714286,40-80 um
40_80,12,11,0.3142857142857143,40-80 um
40_80,13,10,0.2857142857142857,40-80 um
40_80,14,8,0.22857142857142856,40-80 um
40_80,15,8,0.22857142857142856,40-80 um
80_120,1,17,0.4857142857142857,80-120 um
80_120,2,13,0.37142857142857144,80-120 um
80_120,3,10,0.2857142857142857,80-120 um
80_120,4,9,0.2571428571428571,80-120 um
80_120,5,5,0.14285714285714285,80-120 um
80_120,6,3,0.08571428571428572,80-120 um
80_120,7,3,0.08571428571428572,80-120 um
80_120,8,3,0.08571428571428572,80-120 um
80_120,9,3,0.08571428571428572,80-120 um
80_120,10,3,0.08571428571428572,80-120 um
80_120,11,3,0.08571428571428572,80-120 um
80_120,12,2,0.05714285714285714,80-120 um
80_120,13,2,0.05714285714285714,80-120 um
80_120,14,2,0.05714285714285714,80-120 um
80_120,15,1,0.02857142857142857,80-120 um
120_160,1,6,0.17142857142857143,120-160 um
120_160,2,6,0.17142857142857143,120-160 um
120_160,3,3,0.08571428571428572,120-160 um
120_160,4,2,0.05714285714285714,120-160 um
120_160,5,2,0.05714285714285714,120-160 um
120_160,6,2,0.05714285714285714,120-160 um
120_160,7,2,0.05714285714285714,120-160 um
120_160,8,2,0.05714285714285714,120-160 um
120_160,9,2,0.05714285714285714,120-160 um
120_160,10,2,0.05714285714285714,120-160 um
120_160,11,1,0.02857142857142857,120-160 um
120_160,12,1,0.02857142857142857,120-160 um
120_160,13,1,0.02857142857142857,120-160 um
120_160,14,1,0.02857142857142857,120-160 um
120_160,15,1,0.02857142857142857,120-160 um
