"","PG.UniprotIds","PG.ProteinNames","PG.Genes","1_UD1_NC_1","2_UD2_NC_2","3_7D1_actin_1","4_8D1_arc_1","7_UD3_NC_5","8_7D2_actin_2","9_8D2_arc_2"
"1","P63085","MK01_MOUSE","Mapk1",19.0316809213217,19.0527040503849,20.0861753386618,18.97212616755,20.0079705266097,19.6237185667622,20.5125741525714
"2","Q63844","MK03_MOUSE","Mapk3",15.208984628222,16.2827708202273,18.6527655467502,16.6762629754842,16.3938772647297,18.4239054597572,19.1510699783258
"3","Q9CX34","SGT1_MOUSE","Sugt1",14.0572942142918,14.7219659923375,19.5424538032645,15.2464873800498,16.9936009105756,13.6039207353293,19.9140642098176
"4","P62878","RBX1_MOUSE","Rbx1",17.3512324646286,16.9321408929559,17.9354142385198,17.009667656067,16.6707342463641,12.9229738340802,17.9912157380851
"5","O08784","TCOF_MOUSE","Tcof1",23.4621652042864,22.8961563803652,24.407701848428,23.2176967797656,22.695670567757,19.5770634372818,20.6602266898159
"6","Q91VA7","Q91VA7_MOUSE","Idh3b",19.5389121072927,19.4015264928919,19.9623089110282,18.4198251859481,19.9446127805034,20.0641175397516,20.4565279548469
"7","Q60931","VDAC3_MOUSE","Vdac3",20.3109877591225,20.6333486156098,21.9409710804036,20.5761198982412,20.6133733511912,21.2395328043774,21.2478281326499
"8","Q9QX47","SON_MOUSE","Son",17.3122678508491,17.8615795313539,19.6906027737539,17.9806195096089,16.7316051901505,15.7187862093015,13.1876566025731
"9","P70296","PEBP1_MOUSE","Pebp1",20.5313919041243,21.0625806992661,23.6092642894467,23.955151567184,20.8915368398341,23.0349864762716,24.0238745613728
"10","Q8CB77","ELOA1_MOUSE","Eloa",20.7688757981374,19.841707668068,20.8171097170322,20.8469326509526,20.6682467803425,16.2795948706828,16.4920129633699
"11","E9Q6J5","BD1L1_MOUSE","Bod1l",18.6791232232772,17.44104163922,19.7497444091899,19.5066944455634,17.9351630117593,13.5957834963032,14.3674537183737
"12","Q9R1Q8","TAGL3_MOUSE","Tagln3",17.3346401773245,16.0190136798036,21.252430802441,20.7810266386064,18.9779640769456,21.0049035234549,21.815690481287
"13","P62259","1433E_MOUSE","Ywhae",22.6612737998551,22.0600154279706,23.2715841962805,22.3188517829693,22.8805642797571,21.1695010739912,23.2208724559199
"14","Q8BTI8","SRRM2_MOUSE","Srrm2",19.4065544464452,19.2452670643056,22.5428630438717,22.2969527214653,19.255081857529,16.3239386488748,19.143461894719
"15","P16330","CN37_MOUSE","Cnp",16.9145549245933,15.7977031933112,17.4004282451925,14.4260129806863,13.6455541870032,13.2928658699539,15.7784031616482
"16","P52760","RIDA_MOUSE","Rida",20.4742580210179,20.4671236720153,17.5945196410348,18.3487534548119,18.6197703334102,20.72026115204,21.2108616354771
"17","P57746","VATD_MOUSE","Atp6v1d",19.5646162062519,19.1376864771662,19.5048651497305,18.5738904656319,20.0105285938128,19.1002099349435,21.0121123147291
"18","P27546","MAP4_MOUSE","Map4",21.1963068752287,20.8360860580657,21.2117571055839,21.3959717542893,20.5328970496943,19.7828811600244,19.9209353108293
"19","Q9D8N0","EF1G_MOUSE","Eef1g",19.753619515879,19.9170931087249,20.7061545396552,19.5114281641818,20.456973144143,20.9955562288465,21.1239730806282
"20","P47955","RLA1_MOUSE","Rplp1",18.2641718472072,17.8637832035331,18.9400240379182,19.1380128002786,19.7772205252676,18.7570075510944,19.610643821527
"21","P13595","NCAM1_MOUSE","Ncam1",21.3440126373882,20.8620978626279,21.3590918914659,21.1427879303765,20.1609587502136,13.1740774372069,13.8355642761176
"22","O08599","STXB1_MOUSE","Stxbp1",20.5102764809153,20.1065935296949,21.5780247955376,20.2478846911185,21.1878534359807,19.3176250722538,19.7468348737765
"23","Q9CR57","RL14_MOUSE","Rpl14",23.943952842647,23.0021486877684,21.2495501046502,22.8663655052811,23.1310289336557,24.4795452553551,22.7179179544395
