Gene Symbol,Entrez ID
Aaas,300259
Aadacl1,294930
Aars,292023
Aarsd1,619440
Abca3,302973
Abcc8,25559
Abcf1,85493
Abhd12,499913
Abhd16a,361796
Abhd2,293050
Abi1,79249
Ablim3,307395
Acap3,313772
Acbd6,289125
Accn1,25364
Aco2,79250
Acot7,26759
Acpl2,315939
Acta1,29437
Actb,81822
Actg1,287876
Actn1,81634
Actr1b,316333
Actr2,289820
Actr3,81732
Actr3b,362298
Acvr2a,29263
Adam10,29650
Adam11,360638
Adam23,301460
Adamts3,305253
Adap1,171097
Adap2,56826
Adcy1,305509
Adcy3,64508
Adcy5,64532
Adcy9,302950
Adcyap1,24166
Add2,24171
Adora1,29290
Adora3,25370
Adprh,25371
Adrm1,65138
Adss,289276
Aff2,293922
Aff3,363220
Afmid,688283
Agap3,362300
Aggf1,310005
Agpat1,406165
Ahcy,29443
Aimp1,114632
Aimp2,288480
Ajap1,687031
Akap11,498549
Akap17b,313434
Akap2,298024
Akap5,171026
Akap6,64553
Akap8l,299569
Akap9,246150
Akirin1,595134
Akr1a1,78959
Akr1b10,296972
Akt1s1,292887
Akt3,29414
Alcam,79559
Alg11,361174
Alg2,313231
Alg6,362547
Alg8,293129
Alkbh8,366783
Alox15,81639
Ambra1,59319
Amd1,81640
Amph,60668
Anapc2,296558
Anapc4,305420
Anapc7,304490
Angel1,362765
Ank2,362036
Ankfy1,303292
Ankh,114506
Ankmy2,314046
Ankra2,294679
Ankrd11,365023
Ankrd12,316775
Ankrd13b,360575
Ankrd17,289521
Ankrd27,361555
Ankrd34a,295283
Ankrd34b,499506
Ankrd42,293117
Ankrd45,289152
Ankrd52,362811
Ankrd55,361898
Anp32a,25379
Anpep,81641
Anxa11,290527
Ap1ar,362037
Ap1b1,29663
Ap1g1,171494
Ap1s1,360785
Ap2a2,81637
Ap3b1,309969
Ap3d1,314633
Ap3m2,140667
Ap4b1,310746
Apaf1,78963
Apba2,83610
Apbb1ip,307171
Apbb3,117026
Apc,24205
Api5,362170
Apoc1,25292
App,54226
Arap2,305367
Arc,54323
Arcn1,300674
Arf1,64310
Arf2,79119
Arf3,140940
Arf5,79117
Arfgap2,362162
Arfgap3,503165
Arfgef1,312915
Arfip2,293344
Arg1,29221
Arglu1,290912
Arhgap1,311193
Arhgap15,295635
Arhgap20,367085
Arhgap21,307178
Arhgap22,306279
Arhgap25,500246
Arhgap39,500901
Arhgdia,360678
Arhgdig,360500
Arhgef1,60323
Arhgef2,310635
Arhgef25,314904
Arhgef7,114559
Arhgef9,66013
Arid1b,282546
Arl1,64187
Arl3,64664
Arl6,363760
Arl6ip1,293551
Arl6ip5,66028
Arl8a,498234
Armc6,306352
Armcx1,501619
Armcx2,367903
Armcx3,367902
Arpc2,301511
Arpc4,297518
Arpc5,360854
Arpc5l,296710
Arpp21,363153
Arv1,292097
Asap1,314961
Asb15,500050
Asb3,364227
Asb7,365277
Ascc2,498402
Ascc3,309887
Ascc3l1,296126
Asgr2,29403
Asns,25612
Aspdh,292875
Asphd2,364948
Atcay,362826
Atg12,361321
Atg13,362164
Atg14,305831
Atg16l1,363278
Atg2a,689688
Atg7,312647
Atg9a,363254
Atl1,362750
Atp13a1,290673
Atp1a1,24211
Atp1a3,24213
Atp1b1,25650
Atp2a2,29693
Atp2b1,29598
Atp2b2,24215
Atp2b3,29599
Atp2b4,29600
Atp5b,171374
Atp6ap1,83615
Atp6ap2,302526
Atp6v0a1,29757
Atp6v0d1,291969
Atp6v0e1,94170
Atp6v0e2,436582
Atp6v1b2,117596
Atp6v1c1,299971
Atp6v1d,299159
Atp6v1f,116664
Atp6v1g2,368044
Atp6v1h,297797
Atp8a1,289615
Atp8b2,361984
Atp9b,291411
Atrip,301014
Atrnl1,307992
Atxn10,170821
Atxn2l,361649
