gene,ribo_baseMean,ribo_log2FC,ribo_padj
Tacc2,594.8698093,-0.099799822,0.50389406
Sorcs3,1293.082866,-1.146189624,7.18E-22
Syne1,3673.185669,-1.297262077,8.06E-33
Fam189a1,613.4059722,-0.971609,1.72E-11
Rbbp6,454.2466234,-0.366136501,0.012778589
Syt7,862.5078868,-0.517840673,6.44E-05
Shprh,597.5998777,-0.101165185,0.506532972
Nhsl1,430.0514282,0.33157241,0.029648072
Ptprk,569.9224394,-0.803854237,2.86E-09
Ncoa7,516.5698679,-0.922933657,2.20E-11
Ppp1r14c,59.68400752,-0.776871887,0.009973391
Scaf8,532.6691881,0.074908018,0.634316079
Arid1b,1099.943932,-0.162798615,0.217096679
Tmem181,927.0572815,-1.071361685,2.94E-17
Park2,136.2423721,-0.028460668,0.911505995
Rps6ka2,137.3223935,0.108044227,0.641892708
Vom2r36,2.181201285,0.010882273,0.971475926
Uri1,82.76138873,-0.725404003,0.006699659
Nell1,1777.956328,-1.517293588,7.22E-36
Gabrg3,141.0351793,0.290601375,0.190567191
Gabrb3,2030.869761,-1.542067379,3.93E-33
Klf13,188.7993418,0.970984194,3.62E-07
Agbl1,2.672391265,-0.223979635,0.656532141
Tmem135,490.7325793,0.403651363,0.007863338
Dlg2,2330.183955,0.461750578,8.96E-06
LOC108349816,5.788589449,-0.049649452,0.927564704
Tenm4,1274.066117,-0.975523123,8.59E-17
Emsy,345.0082362,-0.585444888,1.71E-04
Trim66,47.24274817,0.453613517,0.137620573
Micalcl,3.681283499,0.42688664,0.389936302
Thumpd1,317.5768311,-0.645612589,1.69E-04
Cog7,542.8106333,-0.289013233,0.037624009
Hs3st4,56.92270387,-0.588737708,0.047172068
Inpp5a,133.8381161,-0.001939135,0.994072925
Peli3,129.7656618,-0.418585146,0.056542425
Tigd3,21.37935667,-0.02910396,0.946713732
Zfp91,467.8502004,0.25669627,0.083571084
Pip5k1b,334.7293793,-0.555399122,3.30E-04
Prkg1,54.02536235,-1.306619049,1.06E-04
March5,647.5449761,-0.501491692,9.56E-05
Fra10ac1,82.86791373,-0.093096284,0.748353941
Hpse2,3.372310058,-0.038600238,0.944928234
Cnnm1,913.0247456,-0.568281925,1.11E-05
Shoc2,310.2056801,-0.145264216,0.417623353
Atrnl1,1424.272921,-0.560792934,5.68E-07
Hspa12a,2464.14712,-1.213504507,1.57E-25
Lrp11,467.0442239,-0.618239393,1.33E-05
Katna1,57.79707024,-0.389702213,0.173112477
Ust,38.99955453,0.77221709,0.024402562
Stxbp5,1399.285303,-0.996719911,8.25E-18
Grm1,333.3522278,-0.656914424,3.68E-05
Epm2a,220.6054266,0.373967621,0.039937864
Adat2,38.14113005,0.019273873,0.958922439
Aig1,500.8057567,-0.399788649,0.004009545
Hivep2,2860.358857,-0.339362415,0.001611839
LOC103690074,209.3106978,-0.628275383,0.001047947
Pex7,133.4381844,0.660609632,0.001658769
Map3k5,168.5889648,0.75823236,2.51E-04
Ahi1,652.132303,0.090502969,0.535850124
L3mbtl3,105.6426526,-0.420077791,0.069988454
Tbpl1,155.9795647,-1.205778577,2.28E-08
LOC679711,3.91956113,-0.284561127,0.571975592
LOC102551716,152.0440743,0.165402106,0.450614433
Tpd52l1,38.12626796,1.394115706,1.27E-04
Hddc2,74.27134347,0.132235376,0.64479099
Pdcd6,401.6619218,0.039759024,0.83458328
Exoc3,801.7848844,-0.47598678,1.13E-04
Nsun2,317.0154043,-0.283837039,0.080426412
Adcy2,1452.814963,-0.730045046,2.92E-11
Plekhg1,956.582082,-0.856735809,5.12E-12
Mthfd1l,211.4851925,-0.174980263,0.362589371
Esr1,13.21423233,0.414604269,0.342239456
Tfb1m,132.9014503,0.135943617,0.559961886
Zdhhc14,395.6849576,-1.120001345,7.23E-13
Synj2,982.4374252,-1.077928789,3.23E-15
Rsph3,25.89498621,0.6324237,0.096752803
Mas1l,11.97433223,0.450774549,0.268788414
Mas1,85.86551824,-1.708269408,1.54E-09
Slc22a3,2.059206769,0.254328415,0.58617058
Map3k4,240.3179762,0.324189176,0.062481758
Agpat4,1155.421587,-0.219905776,0.063417784
Afdn,730.5783787,-0.384915035,0.002200133
Rgmb,351.5757943,-0.523218858,8.20E-04
LOC102552823,11.77157292,-0.114471181,0.808027191
LOC682206,52.07138658,0.083733133,0.796462078
Usp29,292.645637,0.80522331,2.03E-06
Zfp28,24.19608403,-0.281695752,0.451772874
Hspbp1,896.9214227,-0.63660301,2.89E-07
Zfp541,5.083690691,0.230953758,0.649542756
Arhgap35,1057.456427,-0.018560011,0.901396773
Prkd2,32.67737974,1.676221757,1.84E-05
Sympk,875.5593183,-0.371181716,0.002093365
Fosb,16.13421254,-1.165790451,0.014893941
Mark4,806.9774717,-0.259235035,0.045920655
Gemin7,4.203834321,-0.12937105,0.806952502
Smg9,183.6355595,-0.093483716,0.661818135
Grik5,926.803308,0.163360552,0.222658873
Tmem145,147.0621415,0.698053255,7.43E-04
Ltbp4,452.6238969,0.422968618,0.003582506
LOC100909824,27.04901433,-0.115533978,0.76439578
Supt5h,1269.784838,-0.245426473,0.040196619
Sipa1l3,1902.655705,-0.013904716,0.92361397
LOC102547413,64.03462096,-0.020444239,0.950185283
Pdcd2l,109.8374697,-0.455218199,0.046246145
Chst8,286.3431159,-1.42279982,4.07E-15
LOC687508,4.386117749,0.326237607,0.516673073
Ankrd27,122.7452423,-0.117916398,0.628314501
Dpy19l3,1923.029095,-0.362066213,5.81E-04
Vstm2b,192.10204,-0.48162054,0.010052084
Zfp141,55.71211063,-0.154652537,0.609925215
Syt3,577.5747939,-1.142442196,4.48E-17
Ap2a1,3075.397674,-0.48065866,5.73E-06
Ccdc155,3.26560596,0.523333537,0.293607387
Grin2d,214.533478,0.843970087,3.33E-06
Abcc6,6.990245208,1.21962658,0.027398925
Kcnj11,89.06407067,-0.358424908,0.149179916
Sergef,107.9481899,-0.344376587,0.134001991
Prmt3,236.0731449,-0.383201291,0.039405334
Gas2,24.33834529,-0.157887823,0.68321861
Gabra5,987.976142,-1.403766863,3.57E-24
LOC100365773,14.22783952,-0.625759088,0.159359961
Otud7a,421.1577571,-0.055432787,0.747583409
Apba2,2460.472753,-0.911755351,7.84E-16
Mef2a,1079.090927,-0.846880518,6.99E-13
Lrrc28,67.65226552,-0.122739967,0.673772068
Synm,380.1553201,0.208988635,0.21029123
Nr2f2,238.0508288,0.912621982,2.07E-07
Fam174b,86.81073768,-0.83516421,0.002180699
Slco3a1,245.5680737,-0.36246561,0.039405334
Sv2b,5956.869979,-1.959163839,9.76E-49
Ntrk3,1563.434861,-1.133985027,4.01E-23
Vps33b,238.1563297,-0.356096679,0.041307555
Cpeb1,361.9540756,-1.183733968,1.42E-12
Homer2,225.3609483,1.730811428,1.78E-21
Sh3gl3,225.5387428,-0.167984307,0.37096179
Mex3b,236.4490044,-0.511962247,0.00360239
Cemip,219.555554,-1.031913941,1.34E-08
Abhd17c,396.8558683,-0.899103572,4.44E-08
Arnt2,2029.203412,0.685193541,1.67E-11
Grm5,3341.072243,-1.153676399,2.81E-21
Me3,580.2857669,-0.910317769,3.00E-10
Ccdc83,2.218503781,-0.344202109,0.46363257
Rsf1,352.3178222,0.150364607,0.369934083
Pak1,1368.173308,-1.050850649,1.39E-19
Uvrag,240.454936,-0.452288214,0.00941788
Map6,778.8200127,-0.681100601,2.67E-08
Pgm2l1,1994.656843,-0.774733527,3.04E-12
Fam168a,1208.839332,0.377013221,0.001325943
Pde2a,4438.863225,-0.671593442,3.38E-09
Clpb,564.1465698,0.204675294,0.144428686
Rnf121,174.1889228,-0.405921564,0.043394559
Stim1,384.2491681,-0.079232117,0.652924548
Cckbr,88.23810016,0.585941236,0.01786274
Apbb1,4183.000176,-0.534993158,3.00E-07
Dnhd1,12.46491588,0.130030324,0.780204745
Syt9,17.59327979,1.069561928,0.02313509
Ric3,204.9707871,-0.417462651,0.0228105
Scube2,191.9641536,-1.711659678,1.72E-16
rnf141,387.1311288,0.55612544,2.59E-04
Galnt18,836.3873126,-1.644804964,2.98E-27
Dkk3,2094.727996,-1.499551969,2.04E-30
Mical2,4710.271029,-0.589900435,2.35E-09
Arntl,199.1265221,-0.419716233,0.023524069
Far1,472.9815382,-0.412738577,0.003808696
Spon1,3951.640658,-1.600008653,8.68E-44
Syt17,501.2383897,-1.216744317,1.59E-15
Acsm5,8.134293324,1.341612398,0.015674321
Dcun1d3,2.461783041,0.0513795,0.924578119
Uqcrc2,4232.14774,0.012900571,0.921471621
Vwa3a,58.41546246,-1.243865042,1.81E-04
Hs3st2,45.71632335,-1.176235276,5.78E-04
Usp31,486.7276198,0.173052994,0.241949005
Ears2,10.4362596,-0.425772902,0.354976968
Prkcb,7779.829321,-0.589755966,3.41E-09
Cacng3,278.2778366,-1.527203013,1.03E-17
Gsg1l,51.91146998,0.984026058,0.002454812
Xpo6,510.8627791,-0.340960052,0.020888759
Nfatc2ip,68.73621282,0.226618284,0.424212322
Atxn2l,1099.976176,-0.170351118,0.175461265
Taok2,741.800451,0.115384509,0.404866514
Spn,10.69829669,0.218958407,0.635805123
Dctpp1,22.12665264,-0.400594016,0.308917799
Ate1,336.3251882,-0.477743342,0.002295617
LOC102556288,4.531203817,0.044931149,0.879651453
Acadsb,253.43089,0.647631533,1.61E-04
Cpxm2,8.420494015,0.789256976,0.11567655
Nkx1-2,3.854358859,0.39240267,0.432071225
Zranb1,211.6059897,-0.802201293,1.60E-05
Bccip,295.7345484,-0.163513599,0.343702712
Ptpre,400.7059918,-0.294984527,0.055399819
Tcerg1l,17.74598308,0.513106266,0.208723067
Jakmip3,61.37573054,-0.2368617,0.411682226
Lrrc27,8.616496773,-0.298329587,0.52890374
Tubgcp2,459.3718154,-0.145131855,0.344581235
Psmd13,1144.179342,-0.251618938,0.032586736
Deaf1,114.5436587,-0.763050615,0.001254953
Ap2a2,3770.088545,-0.117153612,0.288828672
Tollip,851.1973131,-0.062924023,0.685395172
Cars,406.3076486,0.097395512,0.555724748
LOC100364769,3.971705942,0.397098838,0.425921319
Kmt5b,313.7705629,-0.342020805,0.03736324
Pc,1388.37969,0.160072242,0.175082487
Pacs1,1145.916702,-0.85843013,7.66E-13
Scyl1,369.3878429,0.141661085,0.394006096
Arl2,834.1457458,-0.064923907,0.655518683
Nrxn2,2167.772865,0.204897668,0.065669562
Macrod1,121.5038527,0.584684326,0.011069727
Mark2,717.3245419,-0.347815696,0.006928835
Rtn3,12047.8867,-0.617245345,1.91E-11
Tle4,487.9996269,-0.12817695,0.413169914
Gnaq,1777.400598,-0.795591574,1.19E-12
Pcsk5,123.5446591,-1.305934106,2.16E-08
Klf9,922.0851886,-0.484941404,4.62E-05
Smc5,373.1116804,-0.229809424,0.155162458
Apba1,1347.097508,1.180689911,4.52E-27
Pum3,22.13997154,-0.527106207,0.180909613
Rfx3,324.69751,-0.201838602,0.249748335
Spata6l,40.2433632,-0.127175022,0.707427004
Uhrf2,488.6953066,-0.513255748,2.45E-04
Atad1,1177.416809,-0.034111026,0.814730991
Rnls,51.63432166,-0.35139206,0.241382065
Cpeb3,676.9048365,0.026548117,0.873668333
Exoc6,614.9061923,-1.276570327,8.23E-20
Slit1,3069.862585,-1.383662999,5.69E-25
Pi4k2a,574.18027,-0.551068251,7.46E-05
Crtac1,1289.450017,-0.796575977,6.34E-11
Abcc2,16.59740627,4.48E-04,0.999160986
LOC681458,3.024777864,0.953764369,0.054318128
Btrc,785.8284754,-0.683054187,1.50E-07
C1H10orf76,259.6720149,-0.190804769,0.29625847
Pprc1,212.9942842,-0.442719211,0.020113493
Fbxl15,265.5189594,-1.00156708,1.85E-08
Cnnm2,296.6071758,-0.639460753,6.59E-05
Usmg5,22.32996072,0.152095544,0.705353989
Neurl1,452.3882933,0.903448388,8.11E-11
Mxi1,289.1533078,1.338797347,2.94E-16
Smc3,697.3373624,0.090518017,0.554086995
Rbm20,5.645161739,-0.235967116,0.642986396
LOC108349796,6.639127209,0.249079132,0.611957889
Trub1,63.49084153,-0.340419238,0.217887258
Pdzd8,485.6628784,0.080576509,0.62038934
Fam45a,243.1709595,0.183953501,0.318767905
Pcmt1,1501.999647,-0.881298297,8.01E-16
Nup43,61.41822884,0.057740171,0.855650075
Ppil4,366.9477346,-0.795705075,1.24E-07
Sf3b5,402.697298,-0.2253418,0.150409477
Ltv1,176.2768826,-0.34070388,0.087783752
Pex3,306.8283874,0.071463905,0.704241634
Vta1,513.2613326,-0.17905601,0.234896531
LOC100909392,3.025794414,0.111824301,0.834122909
LOC310926,5.467099769,0.23455329,0.510581763
Cited2,329.4638198,0.134272296,0.431123719
Reps1,210.5063484,-3.42E-04,0.998825064
Ccdc28a,40.12204191,-1.395325019,2.40E-04
Slc35d3,34.05491527,1.310756839,5.31E-04
Bclaf1,920.2703457,-0.450303457,2.40E-04
Hbs1l,378.5043731,-0.319327556,0.038809804
LOC103690149,9.305024519,-0.430905301,0.356976545
Tmem200a,489.1660059,-1.674848778,2.75E-25
Arg1,30.34518998,1.060626199,0.005878253
Stx7,131.2662336,-0.301057605,0.171949978
Slc18b1,107.8251138,-0.060644409,0.832407129
Clvs2,166.7708012,-1.008189111,1.42E-06
Rspo3,20.74277451,-0.727900216,0.079834762
Rnf146,385.8124885,-0.550333687,2.34E-04
Echdc1,410.4807903,1.241994834,9.80E-14
Soga3,1109.370313,-0.866562454,1.07E-12
LOC100911237,2.379862197,-0.564493864,0.227285428
Ccdc127,254.1643879,-0.185543753,0.323619394
Sdha,3404.648003,0.015246414,0.906328417
Tppp,1275.607774,0.069718628,0.60374945
Brd9,238.6272824,-0.198519957,0.290327169
Ice1,401.8959681,-0.332360174,0.033236311
Med10,158.1990303,-0.473358333,0.020912391
Ube2ql1,1376.391143,-1.213591057,2.88E-22
Srd5a1,65.70640615,1.056836668,3.78E-04
Papd7,123.7037057,-0.305951828,0.170757946
RGD1308544,61.78948086,-1.442165007,6.38E-06
Fastkd3,137.9831545,-0.271267918,0.208723067
LOC102547287,95.17361319,-0.232937432,0.355359844
LOC108349732,5.228946822,0.10144371,0.716932158
Zbtb2,69.93327991,-0.251156911,0.356670919
Rmnd1,198.9068098,-0.757514407,5.51E-05
Armt1,262.4714142,-0.818232074,1.51E-06
LOC103690962,12.15208894,-0.211371167,0.641124944
Mtrf1l,81.90137199,-0.097972449,0.728769978
Rgs17,220.7262089,-0.269955444,0.141787238
Tmem242,169.1003434,0.220895098,0.305091901
Serac1,236.9665811,-0.397680886,0.02387217
Gtf2h5,402.4994749,0.160062284,0.317895866
