"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0098803","GO:0098803","respiratory chain complex",81,0.687085405899184,2.4273729937453,1.1387669803949e-10,1.14131227482646e-08,9.61105073538070e-09,920,"tags=49%, list=12%, signal=44%","66142/17992/12861/66576/66414/78330/68375/66218/22272/12864/12857/110323/17991/68342/69875/70316/66445/12867/12866/67264/12868/17993/68202/102631912/66108/66152/54405/66594/66916/66377/67273/66091/12859/68198/68194/72900/17710/407785/66416/12858"
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex",135,0.629594359089489,2.41182854754106,1e-10,1.14131227482646e-08,9.61105073538070e-09,2224,"tags=65%, list=29%, signal=47%","66142/17992/28080/12861/66576/66477/66414/67067/78330/68375/66218/22272/12864/12857/110323/21854/17991/57423/68342/71679/69875/70316/66445/12867/12866/67126/67264/12868/17993/68202/11950/102631912/66108/30059/11957/11949/66152/433771/54405/66594/66916/66377/67273/66091/12859/68198/68194/72900/17710/407785/66416/12858/53600/228033/69923/78506/20463/12862/67942/70257/66495/66052/17718/66043/27425/66449/17716/66694/66098/68197/17709/107197/225887/69029/76614/230075/104130/66928/67184/93757/114896/17720/66925/67130/11951/66815/17713/66075"
"GO:0044391","GO:0044391","ribosomal subunit",176,0.598188689456048,2.36526820445955,1e-10,1.14131227482646e-08,9.61105073538070e-09,1763,"tags=55%, list=23%, signal=43%","64660/67248/64659/94066/66448/20084/20068/67308/319195/78294/19981/68995/114641/68565/22186/67945/19899/27370/107734/27207/56040/270106/27397/94064/67115/20826/68611/14694/19921/19941/68052/67671/20054/20085/19935/22187/107733/19896/19951/66419/68193/20044/27393/67281/20090/68572/68499/20055/110954/52530/66480/102462/79044/20088/234384/75398/68836/67025/68735/16785/66845/267019/22121/75617/76808/66230/94063/67270/14109/56284/16898/66489/54127/19989/19988/64658/20103/26961/27176/57294/66121/20005/20042/52443/232536/20116/76846/54217/67097/66223/14548/67186/20091/94061/19942/27395"
"GO:0005840","GO:0005840","ribosome",212,0.557045119206332,2.275721474922,1e-10,1.14131227482646e-08,9.61105073538070e-09,1620,"tags=47%, list=21%, signal=38%","64660/67248/64659/94066/66448/20084/20068/67308/319195/78294/19981/68995/114641/68565/22186/67945/19899/27370/107734/27207/56040/17973/270106/68028/27397/94064/67115/20826/68611/14694/19921/19941/68052/71701/67671/20054/20085/19935/22187/107733/19896/19951/66419/68193/20044/27393/67281/20090/20617/68572/68499/20055/110954/52530/66480/102462/79044/57751/20088/234384/75398/66416/68836/67025/68735/16785/66845/267019/22121/75617/76808/66230/94063/67270/212508/14109/56284/16898/66489/54127/19989/19988/64658/20103/26961/50497/27176/56736/57294/66121/20005/20042/52443/232536/20116/76846/54217/67097/66223/14548"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex",263,0.544927526428613,2.26492639789075,1e-10,1.14131227482646e-08,9.61105073538070e-09,1807,"tags=46%, list=23%, signal=37%","64660/64659/94066/66142/17992/66448/28080/12861/66576/67308/66477/66414/68565/67067/66132/66128/78330/68375/66218/22272/12864/12857/107734/110323/21854/17991/57423/68342/71679/69875/27397/70316/66445/94064/68611/12867/12866/641376/67126/67264/12868/71701/17993/19935/68202/11950/107733/102631912/66108/30059/66419/11957/27393/11949/66152/433771/68572/68499/54405/66594/66916/66377/67273/66091/12859/79044/68198/68194/72900/17710/407785/234384/75398/66416/68836/12858/68735/67834/66845/27402/53600/228033/69923/78506/66230/94063/20463/67270/56284/12862/15929/67942/223696/64658/70257/66495/66121/12040/14297/170718/110826/66052/17718/52443/232536/66043/27425/66223/66449/14548/17716/66694/66098/94061/68197/17709/27395/107197/30055/66169/225887/69527"
"GO:0005743","GO:0005743","mitochondrial inner membrane",414,0.443458847220405,1.91903751321813,1.20138134192259e-10,1.14131227482646e-08,9.61105073538070e-09,1776,"tags=39%, list=23%, signal=32%","64660/67013/64659/94066/66142/17992/66448/68971/28080/12861/66576/67308/66477/66414/68565/67067/68055/66359/433256/78330/68375/66218/22272/12864/12857/107734/110323/13361/68073/21854/17991/57423/68342/71679/69875/27397/227683/70316/66445/94064/68066/68611/12867/51800/74011/30057/12866/52538/67126/67264/12868/17993/67900/19935/68202/11950/107733/102631912/66108/30059/11671/66419/14661/11957/27393/15107/100126824/11949/20617/66152/433771/66836/68572/68499/54405/66594/66916/94254/66377/67273/70556/66091/18115/12859/79044/68198/75778/66272/68194/72900/17710/66826/407785/234384/75398/66416/68836/12858/68735/12850/66845/12799/76263/53600/228033/55951/26912/18674/69923/78506/66230/68636/72795/68099/20845/68346/94063/20463/67270/212508/108841/56284/12862/13804/67942/223696/56428/70456/69094/67705/69186/233870/64658/70257/67863/66495/20656/66121/12040/21856/66052/17718/66592/52443/232536/66043/27425/66223/66449/14548/66461/17716/66694/72542/66098/94061/67885/68197/17709/27395/107197/30055"
"GO:0070469","GO:0070469","respirasome",87,0.630849286755073,2.25762456008853,1.57539078492335e-08,8.16338861278464e-07,6.87443251602917e-07,1951,"tags=66%, list=25%, signal=50%","66142/17992/12861/66576/66414/78330/68375/66218/22272/12864/12857/110323/17991/68342/69875/70316/66445/12867/12866/67264/12868/17993/68202/102631912/66108/66152/54405/66594/66916/66377/67273/66091/12859/68198/68194/72900/17710/407785/66416/12858/72795/20463/12862/67705/66495/66052/17718/17716/66694/68197/17709/107197/225887/230075/104130/66928/67184"
"GO:0070069","GO:0070069","cytochrome complex",31,0.749405123336462,2.2150134351049,1.57816111674441e-06,5.77409705117984e-05,4.86239751678303e-05,1766,"tags=74%, list=23%, signal=58%","66142/17992/12861/66576/22272/12864/12857/110323/66445/12867/12866/12868/66152/66594/12859/17710/12858/20463/12862/70383/66694/17709/107197"
"GO:0005925","GO:0005925","focal adhesion",86,-0.523442473183536,-1.99360457413041,1.40926595504469e-05,0.000446267552430819,0.000375804254678584,1227,"tags=31%, list=16%, signal=27%","26395/20779/218952/16419/109711/13800/21871/70549/268709/12389/12390/12402/22350/230393/18810/67665/70568/76499/13043/72333/13518/22793/76707/56044/19684/17698/16410"
"GO:0016607","GO:0016607","nuclear speck",203,-0.397193709360377,-1.70477267261384,3.44129355602759e-05,0.000980768663467862,0.00082591045344662,1534,"tags=31%, list=20%, signal=26%","70099/72162/110809/18983/67769/269003/15184/108121/24010/208768/231386/72344/56706/66625/66935/23994/67684/233871/13197/66266/67465/68981/193116/212880/105787/207304/20384/227656/14815/15257/12298/268709/67039/72047/60365/18949/93687/26420/26416/17260/70044/230908/51810/68734/80859/228005/68879/170791/104836/208727/18795/15251/243912/21355/236732/66511/13204/106021/54194/71713/67302/20817/72289"
