"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","GO:0003735","structural constituent of ribosome",152,0.624265152654002,2.43163034372776,1e-10,7.6e-08,7.16842105263158e-08,2188,"tags=66%, list=28%, signal=49%","64660/67248/64659/94066/66448/20084/20068/67308/319195/78294/19981/114641/68565/22186/67945/19899/27370/107734/27207/56040/270106/68028/27397/94064/67115/68611/19921/19941/68052/67671/20054/20085/19935/22187/107733/19896/19951/66419/68193/20044/27393/67281/20090/20055/110954/66480/102462/79044/20088/75398/66416/68836/67025/68735/16785/66845/267019/22121/75617/76808/94063/14109/56284/16898/66489/54127/19989/19988/64658/20103/26961/27176/57294/20005/20042/232536/20116/76846/54217/67097/66223/67186/20091/94061/19942/27395/69527/66475/20115/100503670/66483/19946/68436/68537/27367/19943/67427/19982/67707/66258/67941"
"GO:0019901","GO:0019901","protein kinase binding",432,-0.321012826999139,-1.46327937861738,7.23635915120424e-05,0.0121863077842225,0.011494287536088,1657,"tags=29%, list=21%, signal=24%","21375/20404/13542/19088/12928/23922/21423/22375/20498/19353/17258/27360/15507/20971/20399/18754/110809/11911/27062/15184/18607/67490/17125/19082/51897/70369/105352/26914/24105/12297/18751/18412/11848/26395/12444/245684/17974/18806/20779/66935/11909/23994/233071/13543/17918/218952/21815/19247/68328/116837/224105/19255/69581/192176/227743/13498/18484/20384/17966/16413/75770/19401/14815/108989/26419/12298/17931/12704/18212/12389/12390/18767/16145/20218/13669/70834/12402/26420/26416/77480/22350/11764/16563/225724/12575/20787/12445/93679/105653/108071/22241/14456/70568/16798/114715/68943/12929/22059/72949/11461/100732/11600/11789/80280/14784/76499/22352/208727/18611/67974/15251/243912/114716/17165/74194/20682/109880/12558/69786/50797/22695/19046/17698/12505/16410"
"GO:0019900","GO:0019900","kinase binding",482,-0.315755876414934,-1.45485457111144,6.4004727574236e-05,0.0121863077842225,0.011494287536088,1657,"tags=29%, list=21%, signal=24%","21375/20404/13542/19088/12928/23922/21423/227333/22375/20498/19353/17258/27360/15507/20971/20399/18754/110809/11911/27062/15184/18607/67490/17125/19082/51897/14102/70369/105352/26914/24105/12297/18751/18412/11848/26395/12444/245684/17974/18806/20779/66935/11909/23994/233071/13543/17918/218952/13197/21815/19247/68328/116837/20907/224105/19255/69581/105787/192176/227743/13498/67287/18484/20384/17966/12608/16413/54473/75770/19401/14815/108989/26419/12298/17931/12704/18212/12389/12390/18767/18642/16145/20218/13669/70834/12402/26420/26416/77480/22350/11764/16563/225724/12575/20787/20020/12283/12445/93679/105653/108071/22241/14456/70568/16798/114715/68943/12929/22059/72949/11461/100732/11600/11789/80280/14784/76499/22352/53310/208727/18611/20525/19070/67974/15251/243912/114716/17165/74194/20682/109880/12558/69786/50797/22695/19046/17698/12505/16410"
"GO:0050780","GO:0050780","dopamine receptor binding",19,-0.738845837062952,-1.99367168099652,0.000114467900512985,0.0124960602108053,0.0117864501434327,1289,"tags=42%, list=17%, signal=35%","14673/19247/18483/69178/12390/65114/74330/14674"
"GO:0050839","GO:0050839","cell adhesion molecule binding",127,-0.431346775244765,-1.70026848460482,0.000131537475903214,0.0124960602108053,0.0117864501434327,1173,"tags=25%, list=15%, signal=22%","19283/20779/218952/19247/16419/109711/19255/16779/16413/269116/18007/70549/12527/14182/22350/64540/21960/21872/67916/13518/19294/16007/19684/12558/13723/15894/93695/67374/17988/17698/13610/16410"
"GO:0004672","GO:0004672","protein kinase activity",244,-0.368271650929324,-1.58016806840508,0.000120066755325201,0.0124960602108053,0.0117864501434327,1496,"tags=28%, list=19%, signal=24%","13839/18754/74178/80752/26559/18607/26362/19082/13549/330177/11302/18751/26395/12041/223775/20779/12305/237459/13175/224105/20874/18706/21969/105787/15258/218699/21849/19230/74653/75770/15257/26419/207565/68961/19878/20623/12704/18212/18213/93687/14184/26420/26416/14182/225724/12575/12445/102414/22241/16451/70568/16798/13841/68943/225326/57261/50523/226751/245269/17165/109880/18004/12166/14158/228012/20817/78334/29869/18759"
"GO:0008376","GO:0008376","acetylgalactosaminyltransferase activity",16,0.760610537693558,1.93699654910607,0.000589264087612065,0.044784070658517,0.0422409309119807,921,"tags=50%, list=12%, signal=44%","78752/270049/26879/58193/269941/271786/14423/233733"
"GO:0005178","GO:0005178","integrin binding",59,-0.522428655615519,-1.85714706369378,0.0005569306400629,0.044784070658517,0.0422409309119807,1173,"tags=34%, list=15%, signal=29%","19283/20779/218952/16419/109711/19255/16779/16413/70549/12527/64540/21960/67916/13518/16007/15894/93695/67374/13610/16410"
"GO:0140101","GO:0140101","catalytic activity, acting on a tRNA",68,0.51550224281732,1.79054469973901,0.00125943013624428,0.0870151730496046,0.0820738682088376,1455,"tags=37%, list=19%, signal=30%","229780/212728/69955/67676/384281/214580/66132/74097/227522/212679/224907/328092/244141/68572/217057/17299/208366/66161/69185/329384/67789/68730/97541/114615/381802"
"GO:0016773","GO:0016773","phosphotransferase activity, alcohol group as acceptor",290,-0.329826917055349,-1.44139352570615,0.001540745265449,0.0975805334784365,0.0920392566465585,1235,"tags=26%, list=16%, signal=23%","13839/18754/74178/80752/26559/18607/26362/19082/13549/330177/216134/11302/18751/26395/12041/223775/20779/12305/237459/13175/224105/20874/18706/110197/21969/105787/15258/218699/21849/19230/74653/75770/70974/15257/26419/207565/68961/19878/20623/224020/12704/18212/18642/18213/93687/14184/26420/26416/14182/225724/12575/12445/54391/102414/22241/16451/70568/16798/13841/68943/225326/57261/50523/226751/245269/17165/109880/18004/223753/12166/14158/228012/20817/78334/29869/18759"
