"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","GO:0002181","cytoplasmic translation",124,-0.736974195454574,-2.32131942021404,1e-10,2.30442193952703e-08,2.08754491968185e-08,986,"tags=53%, list=13%, signal=47%","19896/20104/319195/19943/68092/66480/13685/68052/67186/68028/19988/20005/57808/20103/268449/27207/54127/67427/11837/68436/68193/76846/114641/22121/16898/269261/19946/20088/20116/66481/26451/67025/27050/27370/19921/20055/54217/14109/68995/67248/66475/20115/78294/20090/19942/267019/67115/20042/20085/19981/20084/75617/19899/19951/16785/20054/20068/67671/27176/76808/56040/20044/67945/22186/270106/19941"
"GO:0140241","GO:0140241","translation at synapse",48,-0.827763110924154,-2.30823316980438,1e-10,2.30442193952703e-08,2.08754491968185e-08,898,"tags=77%, list=12%, signal=69%","19896/319195/19943/66480/67186/19988/20005/57808/20103/268449/27207/54127/68436/68193/22121/269261/20088/67281/26451/27370/20055/54217/78294/19942/267019/66489/67115/20042/19981/19951/67671/27176/57294/20044/22186/270106/19941"
"GO:0140242","GO:0140242","translation at postsynapse",48,-0.827763110924154,-2.30823316980438,1e-10,2.30442193952703e-08,2.08754491968185e-08,898,"tags=77%, list=12%, signal=69%","19896/319195/19943/66480/67186/19988/20005/57808/20103/268449/27207/54127/68436/68193/22121/269261/20088/67281/26451/27370/20055/54217/78294/19942/267019/66489/67115/20042/19981/19951/67671/27176/57294/20044/22186/270106/19941"
"GO:0140236","GO:0140236","translation at presynapse",47,-0.83041538588035,-2.30546885231826,1e-10,2.30442193952703e-08,2.08754491968185e-08,898,"tags=79%, list=12%, signal=70%","19896/319195/19943/66480/67186/19988/20005/57808/20103/268449/27207/54127/68436/68193/22121/269261/20088/67281/26451/27370/20055/54217/78294/19942/267019/66489/67115/20042/19981/19951/67671/27176/57294/20044/22186/270106/19941"
"GO:0006119","GO:0006119","oxidative phosphorylation",126,-0.715585992374021,-2.25542246479674,1e-10,2.30442193952703e-08,2.08754491968185e-08,1016,"tags=47%, list=13%, signal=41%","67273/27369/72900/13063/103172/28080/17993/75406/70316/11958/57320/67680/68342/14297/66445/11950/67530/67184/54405/66416/66916/70556/12866/67130/67264/11957/407785/68375/66383/78330/104130/66414/12859/66576/66046/68194/230075/68198/17718/12868/68197/67267/66594/66377/66218/12861/66152/17710/12857/66142/66091/17991/71679/22272/69875/57423/14004/12867/102631912"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process",90,-0.731431722978718,-2.21962837828837,1e-10,2.30442193952703e-08,2.08754491968185e-08,1553,"tags=66%, list=20%, signal=53%","66043/75533/225887/68202/68349/68073/67942/79059/17716/66052/67126/17705/66495/226646/66401/228033/67273/11534/72900/28080/17993/13806/75406/70316/56248/11958/67680/68342/11950/67184/18102/54405/66416/11951/66916/67130/67264/11957/407785/68375/78330/104130/66414/66046/68194/230075/68198/17718/68197/66377/66218/66091/27425/17991/71679/69875/57423/18103/102631912"
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",89,-0.730732059316951,-2.21252118651058,1e-10,2.30442193952703e-08,2.08754491968185e-08,1553,"tags=65%, list=20%, signal=53%","66043/75533/225887/68202/68349/68073/67942/79059/17716/66052/67126/17705/66495/226646/66401/228033/67273/72900/28080/17993/13806/75406/70316/56248/11958/67680/68342/11950/67184/18102/54405/66416/11951/66916/67130/67264/11957/407785/68375/78330/104130/66414/66046/68194/230075/68198/17718/68197/66377/66218/66091/27425/17991/71679/69875/57423/18103/102631912"
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis",69,-0.757558022180603,-2.20998940186957,1.05238272700776e-10,2.30442193952703e-08,2.08754491968185e-08,1487,"tags=72%, list=19%, signal=59%","225887/68202/68349/68073/67942/17716/66052/67126/17705/66495/226646/228033/67273/72900/28080/17993/75406/70316/11958/67680/68342/11950/67184/54405/66416/11951/66916/67130/67264/11957/407785/68375/78330/104130/66414/66046/68194/230075/68198/17718/68197/66377/66218/66091/27425/17991/71679/69875/57423/102631912"
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process",92,-0.720761679906191,-2.19441193571073,1e-10,2.30442193952703e-08,2.08754491968185e-08,1553,"tags=63%, list=20%, signal=51%","66043/75533/225887/68202/68349/68073/67942/79059/17716/66052/67126/17705/66495/226646/66401/228033/67273/72900/28080/17993/13806/75406/70316/56248/11958/67680/68342/11950/67184/18102/54405/66416/11951/66916/67130/67264/11957/407785/68375/78330/104130/66414/66046/68194/230075/68198/17718/68197/66377/66218/66091/27425/17991/71679/69875/57423/18103/102631912"
"GO:0009060","GO:0009060","aerobic respiration",164,-0.677618588242785,-2.18329922047,1e-10,2.30442193952703e-08,2.08754491968185e-08,1016,"tags=41%, list=13%, signal=36%","67273/27369/72900/13063/103172/11564/28080/17993/75406/70316/11958/66128/57320/67680/68342/14297/66445/11950/67530/209692/67184/269951/54405/66416/66916/70556/74450/12866/67130/67264/11957/14533/407785/68375/66383/78330/104130/66414/12859/69089/66576/66046/68194/230075/68198/17718/12868/68197/67267/66594/66377/66218/12861/239017/66152/17710/12857/66142/66091/17991/71679/22272/69875/57423/14004/12867/102631912"
