"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044391","GO:0044391","ribosomal subunit",176,-0.766058883007187,-2.46863771338366,1e-10,3.5625e-09,2.84210526315789e-09,986,"tags=56%, list=13%, signal=50%","19896/24030/68572/20104/67681/216767/319195/66229/19943/66483/66480/68052/67186/66845/94066/121022/67308/19988/20005/57808/20103/64660/619547/268449/27207/66292/67941/54127/67427/11837/68436/68193/75398/76846/114641/22121/16898/66077/269261/19946/20088/68499/20116/66481/67281/26451/107733/67025/20826/68565/66230/27050/27370/19921/22187/20055/68836/54217/14109/68995/100043813/66121/67248/68611/66475/20115/78294/20090/19942/267019/64659/66489/67115/20042/94064/20085/19981/20084/75617/19899/19951/16785/67270/20054/14694/20068/67671/27176/19935/14548/57294/76808/66448/56040/20044/67945/22186/270106/19941"
"GO:0022626","GO:0022626","cytosolic ribosome",108,-0.805632943643176,-2.46444021089729,1e-10,3.5625e-09,2.84210526315789e-09,898,"tags=68%, list=12%, signal=61%","19896/20104/319195/66229/19943/66483/66480/68052/67186/19988/20005/57808/20103/619547/268449/27207/67941/54127/67427/11837/68436/68193/76846/114641/22121/16898/269261/19946/20088/20116/66481/67281/26451/67025/20826/27050/27370/19921/22187/20055/54217/14109/68995/100043813/67248/66475/20115/78294/20090/19942/267019/66489/67115/20042/20085/19981/20084/75617/19899/19951/16785/20054/20068/67671/27176/57294/76808/56040/20044/67945/22186/270106/19941"
"GO:0005840","GO:0005840","ribosome",212,-0.729510405417557,-2.37917082518202,1e-10,3.5625e-09,2.84210526315789e-09,986,"tags=48%, list=13%, signal=43%","19896/24030/68572/20104/67681/216767/319195/66229/19943/66483/66480/68052/67186/66845/68028/94066/121022/67308/19988/20005/57808/20103/64660/619547/268449/27207/66292/67941/54127/67427/11837/68436/68193/75398/76846/66416/114641/22121/16898/66077/269261/19946/20088/68499/20116/66481/67281/26451/107733/67025/20826/68565/66230/27050/27370/19921/22187/20055/68836/54217/14109/68995/100043813/66121/67248/68611/66475/20115/78294/20090/19942/267019/64659/66489/67115/20042/94064/20085/19981/20084/75617/19899/19951/16785/67270/20054/14694/20068/67671/27176/19935/14548/57294/76808/66448/56040/20044/67945/22186/270106/17751/19941"
"GO:0015935","GO:0015935","small ribosomal subunit",72,-0.805524449250799,-2.34152535741475,1e-10,3.5625e-09,2.84210526315789e-09,783,"tags=61%, list=10%, signal=55%","68052/121022/20103/64660/27207/66292/67941/54127/67427/76846/16898/66077/20088/20116/66481/68565/66230/27050/27370/22187/20055/14109/68995/100043813/66121/66475/20115/78294/20090/267019/64659/20042/20085/20084/75617/16785/67270/20054/14694/20068/14548/57294/20044/22186"
"GO:0098803","GO:0098803","respiratory chain complex",81,-0.786630379748612,-2.32911510508959,1e-10,3.5625e-09,2.84210526315789e-09,719,"tags=56%, list=9%, signal=51%","75406/70316/67680/68342/66445/67530/67184/54405/66416/66916/12866/67130/67264/407785/68375/78330/100041273/104130/66414/12859/66576/66046/110323/68194/230075/68198/17718/12868/17992/68197/66594/66377/66218/12861/66152/17710/12857/66142/66091/17991/12864/22272/69875/12867/102631912"
"GO:0005746","GO:0005746","mitochondrial respirasome",81,-0.785860603357596,-2.32683589255723,1e-10,3.5625e-09,2.84210526315789e-09,719,"tags=56%, list=9%, signal=51%","75406/70316/67680/68342/66445/67530/67184/54405/66416/66916/12866/67130/67264/407785/68375/78330/100041273/104130/66414/12859/66576/66046/110323/68194/230075/68198/17718/12868/17992/68197/66594/66377/66218/12861/66152/17710/12857/66142/66091/17991/12864/22272/69875/12867/102631912"
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit",40,-0.860800097478246,-2.31311633097779,1e-10,3.5625e-09,2.84210526315789e-09,783,"tags=82%, list=10%, signal=75%","68052/20103/27207/67941/54127/67427/76846/16898/20088/20116/66481/27050/27370/22187/20055/14109/68995/100043813/66475/20115/78294/20090/267019/20042/20085/20084/75617/16785/20054/20068/57294/20044/22186"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",56,-0.809386349363947,-2.30843445829693,1e-10,3.5625e-09,2.84210526315789e-09,898,"tags=71%, list=12%, signal=64%","319195/66229/19943/66483/66480/67186/19988/20005/57808/619547/268449/11837/68436/68193/114641/22121/269261/19946/67281/26451/67025/20826/19921/54217/67248/19942/66489/67115/20042/19981/19899/19951/67671/27176/76808/56040/67945/22186/270106/19941"
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex",135,-0.731159500432034,-2.29925139919696,1e-10,3.5625e-09,2.84210526315789e-09,1036,"tags=50%, list=13%, signal=44%","228033/67273/17713/72900/103172/78506/28080/17993/67713/75406/70316/11958/67680/68342/66445/11950/67530/67184/54405/66416/11951/66916/224904/21854/12866/67130/67264/66541/11957/407785/68375/78330/100041273/67067/69029/104130/66414/12859/66576/66046/110323/68194/230075/68198/70257/17718/12868/17992/68197/66594/66377/66218/12861/66152/17710/12857/66142/66091/27425/66477/17991/71679/12864/22272/69875/57423/12867/102631912"
"GO:0015934","GO:0015934","large ribosomal subunit",109,-0.746986594163341,-2.28664698432249,1e-10,3.5625e-09,2.84210526315789e-09,1405,"tags=62%, list=18%, signal=52%","107734/94062/19982/65019/19989/27367/68463/67840/56282/94063/26961/19896/68572/67681/216767/319195/66229/19943/66483/66480/67186/66845/94066/67308/19988/20005/57808/619547/268449/11837/68436/68193/75398/114641/22121/269261/19946/68499/67281/26451/107733/67025/20826/68565/19921/68836/54217/67248/68611/19942/66489/67115/20042/94064/19981/19899/19951/67270/67671/27176/19935/76808/66448/56040/67945/22186/270106/19941"
"GO:0070469","GO:0070469","respirasome",87,-0.763886143534884,-2.27838002542087,1e-10,3.5625e-09,2.84210526315789e-09,719,"tags=52%, list=9%, signal=47%","75406/70316/67680/68342/66445/67530/67184/54405/66416/66916/12866/67130/67264/407785/68375/78330/100041273/104130/66414/12859/66576/66046/110323/68194/230075/68198/17718/12868/17992/68197/66594/66377/66218/12861/66152/17710/12857/66142/66091/17991/12864/22272/69875/12867/102631912"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex",263,-0.683882126405798,-2.26854554145782,1e-10,3.5625e-09,2.84210526315789e-09,1273,"tags=45%, list=16%, signal=39%","56322/53333/17705/66495/226646/68463/67840/56282/94063/66148/30058/12028/11740/228033/231086/67273/17713/24030/68572/72900/67681/216767/66119/110826/103172/78506/12040/28080/17993/67414/67713/66132/66845/94066/121022/67308/75406/70316/11958/66128/67680/64660/68342/14297/66445/66292/11950/67530/67184/54405/75398/66416/11951/66916/224904/21854/66077/12866/67130/68499/67264/66541/107733/11957/68565/66230/407785/68375/66383/30055/78330/100041273/67067/68836/69029/104130/66121/66414/12859/68611/66576/66046/68512/110323/68194/230075/64659/68198/70257/94064/17718/12868/17992/66169/68197/67270/66594/66377/66218/12861/66152/17710/12857/66142/66091/27425/66477/19935/14548/17991/71679/66448/12864/22272/69875/57423/12867/102631912"
"GO:0005743","GO:0005743","mitochondrial inner membrane",414,-0.603928198251253,-2.05178929155186,1e-10,3.5625e-09,2.84210526315789e-09,1487,"tags=40%, list=19%, signal=34%","225887/68202/68349/13405/66449/18674/56295/74610/17527/107734/94062/66154/68073/67942/227683/17716/66052/52469/67126/233870/56322/53333/67705/17705/66495/226646/18563/68463/12799/67840/27377/66272/56282/94063/66148/30058/66586/11740/72795/70544/228033/231086/67273/52538/17713/24030/66359/68572/72900/67681/216767/103172/78506/12040/28080/17993/100126824/67414/67713/12759/66845/94066/121022/67308/75406/70316/11958/68066/22117/67680/64660/68342/66445/66292/11950/67530/67184/269951/54405/75398/71803/66416/69094/11951/66916/70456/224904/70556/21854/66077/12866/66836/68115/67130/68499/67264/76263/66541/107733/11957/26912/68565/66230/27050/407785/68375/30055/78330/75778/100041273/67067/68836/69029/104130/66121/66414/12859/69089/68611/66576/69186/66046/110323/68194/230075/64659/68198/70257/94064/17718/100503890/12868/17992/68197/67267/67270/66594/66377/66218/12861/66152/17710/12857/66142/66091/27425/66477/19935/14548/56615/625249/67885/17991/71679/30057/433256/66461/55951/66448/22228/12864/22272/69875/57423/12867/102631912"
"GO:0019866","GO:0019866","organelle inner membrane",430,-0.596134689551167,-2.02797059477073,1e-10,3.5625e-09,2.84210526315789e-09,1487,"tags=39%, list=19%, signal=33%","225887/68202/68349/13405/66449/18674/56295/74610/17527/107734/94062/66154/68073/67942/227683/17716/66052/52469/67126/233870/56322/53333/67705/17705/66495/226646/18563/68463/12799/67840/27377/66272/56282/94063/66148/30058/66586/11740/72795/70544/228033/231086/67273/52538/17713/24030/66359/68572/72900/67681/216767/103172/78506/12040/28080/17993/100126824/67414/67713/12759/66845/94066/121022/67308/75406/13726/70316/11958/68066/22117/67680/64660/68342/66445/66292/11950/67530/67184/269951/54405/75398/71803/66416/69094/11951/66916/70456/224904/70556/21854/66077/12866/66836/68115/67130/68499/67264/76263/66541/107733/11957/26912/68565/66230/27050/407785/68375/30055/78330/75778/100041273/67067/68836/69029/104130/66121/66414/12859/69089/68611/66576/69186/66046/110323/68194/230075/64659/68198/70257/94064/17718/100503890/12868/52668/17992/68197/67267/67270/66594/66377/66218/12861/66152/17710/12857/66142/66091/27425/66477/19935/14548/56615/625249/67885/17991/71679/30057/433256/66461/55951/66448/22228/12864/22272/69875/57423/12867/102631912"
"GO:0097060","GO:0097060","synaptic membrane",308,0.487162089110501,1.99455863606413,1e-10,3.5625e-09,2.84210526315789e-09,1648,"tags=42%, list=21%, signal=34%","18213/20541/13838/67979/14812/14811/108071/12565/17957/14400/71436/74006/100986/104015/327814/18191/103967/20527/67300/319504/320127/217480/16952/12293/12805/219228/13841/211446/16531/94332/268882/224997/14270/20273/20779/192167/20511/11735/14807/16522/229521/20616/64085/14405/13199/23859/12217/16728/241727/23792/14394/20265/14809/238276/108073/19283/53623/56044/19281/170707/245684/74342/18189/108030/14406/17967/70178/54525/14799/53310/20979/12725/330814/77116/14395/12330/52882/18186/14402/16490/268566/64009/76108/243961/18187/102857/19211/24050/20320/76965/110876/20355/67972/232975/12290/16518/18190/109676/11539/14802/238988/56543/68585/16400/207728/13385/56216/14800/72393/232370/12558/72685/217124/245666/69017/269788/70495/20614/13821/243499/13807/54393/24012/20907/215114/383348/13429/16443"
"GO:0098978","GO:0098978","glutamatergic synapse",468,0.418891678395734,1.8315450874851,1e-10,3.5625e-09,2.84210526315789e-09,1068,"tags=27%, list=14%, signal=25%","320772/18795/18213/13838/67979/14812/56077/18481/17756/14811/105853/18479/108071/17918/12565/17957/19088/21960/111173/64176/71436/100986/104015/110279/68097/327814/18191/103967/20527/319504/18754/20742/320127/217480/18759/12293/219228/13841/16531/382056/68942/19055/16646/268882/224997/17257/83493/56717/20273/20779/22215/192167/20511/77579/14807/64085/229706/333605/12287/23859/12298/216238/20965/12217/16728/72993/11519/19085/15572/23792/13004/26416/14809/329165/238276/108073/19283/20740/53623/18472/16452/19281/77531/245684/19056/74342/243743/20404/26395/18189/12890/236794/22421/228136/20661/14406/17967/65114/70178/54525/14799/53310/20979/12725/17999/330814/13684/18183/107932/665113/12330/52882/81489/20983/18186/26556/16490/18164/243961/18187/102857/19058/20320/76965/110876/72194"
"GO:1990204","GO:1990204","oxidoreductase complex",104,-0.684237471449594,-2.08035623020816,1.68832760174679e-10,5.66086313526863e-09,4.51614565916168e-09,1016,"tags=42%, list=13%, signal=37%","67273/72900/110826/12040/17993/75406/70316/66128/67680/68342/66445/67530/67184/13057/54405/66416/66916/66355/67130/67264/407785/68375/78330/100041273/104130/66414/66576/66046/68194/230075/68198/17718/17992/68197/66594/66377/66218/239017/66152/66091/17991/22272/69875/102631912"
"GO:0070069","GO:0070069","cytochrome complex",31,-0.823911806839732,-2.11184193477892,7.46657345368129e-08,1.77331119524931e-06,1.41471918069751e-06,650,"tags=55%, list=8%, signal=50%","66445/67530/12866/12859/66576/110323/12868/17992/66594/12861/66152/17710/12857/66142/12864/22272/12867"
"GO:0005759","GO:0005759","mitochondrial matrix",228,-0.543400899815217,-1.78408891533528,1.03355407779691e-07,2.35650329737695e-06,1.87998046992953e-06,1198,"tags=30%, list=15%, signal=26%","18563/68463/67840/15473/56282/66400/94063/66148/11740/14651/66904/231086/11669/107885/12261/52538/17713/24030/68572/15528/67681/216767/23897/18242/110826/21379/12040/78653/67713/66132/66845/94066/121022/67308/56248/66128/57320/64660/66292/75398/66416/66077/69577/68115/68499/76263/107733/14533/68565/66230/27050/66383/68836/66121/68611/64659/94064/18477/66834/67267/67270/239017/19935/14548/104444/320204/66448/74551"
"GO:0097447","GO:0097447","dendritic tree",476,0.352141282318437,1.53762700189763,1.47173859199002e-07,3.22650383628581e-06,2.57405292202303e-06,1476,"tags=30%, list=19%, signal=26%","320840/16574/20541/13838/12661/72289/14812/17756/14811/18479/80913/108071/17918/12565/26413/14400/20620/19088/11789/100986/52822/19272/16561/16589/327814/103967/17755/320127/13841/16531/101490/382056/19055/16646/98660/14270/56717/20273/20779/56710/192167/20511/11735/77579/14807/16522/229521/14405/13199/333605/12287/23859/12217/16728/94229/17762/15572/14394/14809/329165/238276/108073/19283/53623/20404/26395/12450/12890/236794/29819/20964/228136/60365/20661/14406/99512/72162/54525/14799/53310/269116/54138/17999/26398/77116/16971/14395/15114/12330/20846/52882/81489/13839/20983/26556/13840/15519/16490/268566/19699/11784/243961/68904/16572/19211/105787/70827/20320/19401/67972/232975/50527/16518/76192/228880/11539/14802/14365/74370/17754/56543/239528/110862/233977/207728/11804/80906/68801/13385/14800/19290/216363/66259/15185/18458/57436/16195/12569/217124/19387/19070/12933"
"GO:0030424","GO:0030424","axon",459,0.35713816867147,1.54984788062074,1.69511546888499e-07,3.57857710097943e-06,2.85493131601683e-06,1066,"tags=25%, list=14%, signal=23%","105689/20269/16574/18213/20541/13838/18028/14812/17756/269774/14811/13175/18479/17918/12565/18751/67166/26413/213582/11789/71436/22240/171580/52822/13518/19272/13424/16561/16589/103967/319504/17755/20742/320127/12805/18040/73420/16531/101490/66146/27373/20273/20779/14489/20511/11735/77579/14807/20257/16522/229521/20616/319974/12287/23859/216238/12217/16728/94229/17762/15572/20265/16568/14809/21937/108073/19283/20740/53623/18472/74342/26395/213469/18189/76499/17470/12890/236794/29819/20964/14406/17967/99512/72162/54525/14799/53310/353172/269116/56195/20979/12725/26398/330814/77116/16971/14395/15114/12330/20846/52882/13839/20983/18186/26556/14402/15519/16490/19699/50876/18187/16572/105787/70827/22284/19275/110876"
