"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006119","GO:0006119","oxidative phosphorylation",126,-0.73714936097348,-2.78662594033151,1e-10,1.0975e-08,9.04210526315789e-09,979,"tags=56%, list=13%, signal=50%","66445/68943/11950/67892/67680/107197/70556/66826/66495/17706/28080/17717/20463/215951/78330/226646/75406/17993/407785/104130/595136/17711/66052/17709/66916/11958/17716/17705/230075/72900/67530/68375/103172/66383/66576/27369/70316/12859/17991/66218/225887/66046/66414/11957/67184/66142/68342/66377/102631912/67130/54405/68197/68194/66152/67267/66416/12861/66148/12868/22272/71679/69875/68198/12857/57423/12867/17710/14004/17718/66594/66091"
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis",69,-0.818531802540442,-2.77122492765315,1e-10,1.0975e-08,9.04210526315789e-09,816,"tags=65%, list=11%, signal=59%","66495/17706/28080/17717/78330/228033/226646/75406/17993/11951/407785/104130/595136/66052/66916/11958/17716/17705/230075/72900/68375/70316/17991/66218/225887/66046/66414/11957/67184/67942/68342/66377/102631912/67130/54405/68197/68194/27425/66416/71679/69875/68198/57423/17718/66091"
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",65,-0.811566430023283,-2.73622306124191,1e-10,1.0975e-08,9.04210526315789e-09,816,"tags=63%, list=11%, signal=57%","66495/17706/28080/17717/78330/226646/75406/17993/407785/104130/595136/66052/66916/11958/17716/17705/230075/72900/68375/70316/17991/66218/225887/66046/66414/11957/67184/68342/66377/102631912/67130/54405/68197/68194/66416/71679/69875/68198/57423/17718/66091"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process",90,-0.757475174866453,-2.6980525570185,1e-10,1.0975e-08,9.04210526315789e-09,816,"tags=59%, list=11%, signal=53%","11950/56248/67680/107197/66495/17706/28080/17717/11534/78330/228033/226646/75406/17993/11951/407785/104130/595136/66052/18103/66916/11958/17716/17705/75533/230075/72900/68375/79059/70316/17991/66218/225887/66046/66414/11957/67184/67942/68342/66377/102631912/67130/54405/68197/68194/27425/66416/71679/69875/68198/57423/17718/66091"
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",89,-0.755885299866497,-2.69135013055973,1e-10,1.0975e-08,9.04210526315789e-09,816,"tags=58%, list=11%, signal=53%","11950/56248/67680/107197/66495/17706/28080/17717/78330/228033/226646/75406/17993/11951/407785/104130/595136/66052/18103/66916/11958/17716/17705/75533/230075/72900/68375/79059/70316/17991/66218/225887/66046/66414/11957/67184/67942/68342/66377/102631912/67130/54405/68197/68194/27425/66416/71679/69875/68198/57423/17718/66091"
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process",92,-0.751370205828734,-2.68473521626082,1e-10,1.0975e-08,9.04210526315789e-09,816,"tags=57%, list=11%, signal=51%","11950/56248/67680/107197/66495/17706/28080/17717/78330/228033/226646/75406/17993/11951/407785/104130/595136/66052/18103/66916/11958/17716/17705/75533/230075/72900/68375/79059/70316/17991/66218/225887/66046/66414/11957/67184/67942/68342/66377/102631912/67130/54405/68197/68194/27425/66416/71679/69875/68198/57423/17718/66091"
"GO:0009060","GO:0009060","aerobic respiration",164,-0.675944976190516,-2.65836794901656,1e-10,1.0975e-08,9.04210526315789e-09,816,"tags=48%, list=11%, signal=43%","12862/66072/74450/66445/68943/11950/67892/67680/107197/70556/66826/66495/17706/28080/269951/17717/20463/215951/78330/56327/226646/75406/17993/407785/104130/595136/17711/66052/17709/66916/11958/17716/17705/230075/72900/67530/68375/103172/66383/66576/27369/70316/12859/17991/14533/66218/225887/66046/66414/11957/67184/66142/68342/66377/102631912/67130/54405/68197/68194/17986/66152/67267/66416/12861/66148/12868/22272/71679/69875/68198/12857/57423/12867/17710/14004/17718/66594/66091"
"GO:0006754","GO:0006754","ATP biosynthetic process",83,-0.752607008893136,-2.65042293990393,1e-10,1.0975e-08,9.04210526315789e-09,1067,"tags=59%, list=14%, signal=51%","11950/56248/67680/107197/66495/17706/28080/17717/78330/228033/226646/75406/17993/11951/407785/104130/595136/66052/66916/11958/17716/17705/230075/72900/68375/70316/17991/66218/225887/66046/66414/11957/67184/67942/68342/66377/102631912/67130/54405/68197/68194/27425/66416/71679/69875/68198/57423/17718/66091"
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process",97,-0.730607341579861,-2.6342729138905,1e-10,1.0975e-08,9.04210526315789e-09,1067,"tags=56%, list=14%, signal=49%","11950/56248/67680/107197/21915/66495/17706/28080/17717/11534/78330/228033/226646/75406/17993/11951/407785/104130/595136/66052/18103/66916/11958/17716/17705/75533/230075/72900/68375/79059/70316/17991/66218/225887/66046/66414/11957/67184/67942/68342/66377/102631912/67130/54405/68197/68194/27425/66416/71679/69875/68198/57423/17718/66091"
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",70,-0.764205533923843,-2.60208838533104,1e-10,1.0975e-08,9.04210526315789e-09,1210,"tags=63%, list=16%, signal=54%","12862/66072/66445/68943/67892/67680/107197/66826/17717/20463/215951/78330/226646/75406/407785/17711/66052/17709/17716/230075/72900/67530/68375/66383/66576/27369/12859/66218/225887/66414/66142/68197/66152/66416/12861/66148/12868/22272/12857/12867/17710/14004/17718/66594"
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",68,-0.766022387437296,-2.58888144255759,1e-10,1.0975e-08,9.04210526315789e-09,1210,"tags=63%, list=16%, signal=54%","12862/66072/66445/68943/67892/67680/107197/66826/17717/20463/215951/78330/226646/75406/407785/17711/66052/17716/230075/72900/67530/68375/66383/66576/27369/12859/66218/225887/66414/66142/68197/66152/66416/12861/66148/12868/22272/12857/12867/17710/14004/17718/66594"
"GO:0045333","GO:0045333","cellular respiration",196,-0.632017471483235,-2.57983377196218,1e-10,1.0975e-08,9.04210526315789e-09,1181,"tags=43%, list=15%, signal=37%","66072/74450/66445/14555/68943/100126824/11950/67892/67680/107197/70556/66826/66495/17706/28080/269951/71803/17717/20463/215951/78330/56327/226646/75406/17993/407785/104130/595136/17711/66052/17709/66916/11958/17716/17705/230075/72900/67530/110826/68375/103172/66383/66576/27369/68002/70316/12859/17991/14533/75530/66218/225887/66046/66414/11957/67184/66142/68342/66377/102631912/67130/54405/68197/68194/17986/66152/67267/67885/66416/12861/66148/12868/22272/71679/69875/68198/12857/57423/12867/17710/14004/17718/66594/66091"
"GO:0019646","GO:0019646","aerobic electron transport chain",59,-0.774811350213194,-2.55548564931589,1e-10,1.0975e-08,9.04210526315789e-09,696,"tags=63%, list=9%, signal=58%","12862/66072/66445/68943/67680/107197/17717/20463/215951/226646/75406/407785/17711/66052/17716/230075/72900/67530/68375/66383/66576/12859/66218/225887/66142/68197/66152/66416/12861/66148/12868/22272/12857/12867/17710/17718/66594"
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly",89,-0.711292460147707,-2.53257611415751,1e-10,1.0975e-08,9.04210526315789e-09,962,"tags=53%, list=12%, signal=47%","107197/70556/66826/52469/68033/66495/66271/17717/226646/20930/75406/17993/407785/104130/595136/66916/67013/17716/230075/66928/68375/66487/68002/70316/17991/75530/66218/66359/225887/66046/66414/12856/67184/66379/68342/66377/102631912/67130/54405/68197/68194/67267/100041273/66836/69875/68198/66091"
"GO:0022900","GO:0022900","electron transport chain",94,-0.700402823110986,-2.52013283395881,1e-10,1.0975e-08,9.04210526315789e-09,1340,"tags=57%, list=17%, signal=48%","13063/14466/66841/12862/66072/66445/14555/68943/100126824/67892/67680/107197/66826/66495/71803/17717/20463/215951/78330/226646/75406/17993/407785/17711/66052/17709/17716/68165/230075/72900/67530/110826/68375/66383/66576/27369/12859/66218/225887/66414/66142/68197/66152/66416/12861/66148/12868/22272/12857/12867/17710/14004/17718/66594"
"GO:0022904","GO:0022904","respiratory electron transport chain",88,-0.705218631726724,-2.50632594560782,1e-10,1.0975e-08,9.04210526315789e-09,1210,"tags=56%, list=16%, signal=48%","12862/66072/66445/14555/68943/100126824/67892/67680/107197/66826/71803/17717/20463/215951/78330/226646/75406/17993/407785/17711/66052/17709/17716/230075/72900/67530/110826/68375/66383/66576/27369/12859/66218/225887/66414/66142/68197/66152/66416/12861/66148/12868/22272/12857/12867/17710/14004/17718/66594"
"GO:0140236","GO:0140236","translation at presynapse",47,-0.793445464708364,-2.48974903131886,1e-10,1.0975e-08,9.04210526315789e-09,1190,"tags=77%, list=15%, signal=65%","20005/19896/65019/319195/19982/67186/20042/20088/22121/267019/19988/54217/26451/20103/27207/268449/27370/54127/67115/27176/20055/57808/19942/19951/68193/67281/19941/66489/57294/67671/19981/68436/270106/20044/22186/78294"
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process",124,-0.645842823023643,-2.44480300522421,1e-10,1.0975e-08,9.04210526315789e-09,816,"tags=46%, list=11%, signal=42%","19384/56248/67680/107197/66495/17706/28080/17717/11983/11534/78330/228033/226646/12015/75406/17993/11951/407785/104130/595136/66052/18103/66916/11958/17716/17705/75533/230075/72900/68375/27369/79059/70316/17991/66218/225887/66046/66414/11957/67184/67942/68342/66377/102631912/67130/54405/68197/68194/27425/66416/66437/71679/69875/68198/57423/17718/66091"
