"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex",135,-0.778400495937926,-2.94786549268816,1e-10,3e-09,2.17728531855956e-09,816,"tags=56%, list=11%, signal=51%","66495/17706/17713/28080/17717/20463/78330/224904/228033/226646/75406/17993/11951/407785/104130/595136/66449/17711/66052/69029/17709/14356/66916/11958/17716/17705/230075/72900/66928/67530/68375/103172/67713/66576/70316/67067/12859/17991/66218/225887/66046/66414/11957/67184/67942/66142/68342/66377/102631912/67130/70257/54405/68197/68194/66152/27425/110323/17992/66416/12861/66148/66477/100041273/12864/12868/22272/71679/69875/68198/12857/57423/12867/17710/17718/66594/66091"
"GO:0005746","GO:0005746","mitochondrial respirasome",81,-0.825097392206548,-2.91216845026307,1e-10,3e-09,2.17728531855956e-09,696,"tags=67%, list=9%, signal=61%","17717/20463/78330/226646/75406/17993/407785/104130/595136/17711/66052/17709/66916/17716/230075/72900/66928/67530/67388/68375/66576/70316/12859/17991/66218/225887/66046/66414/67184/66142/68342/66377/102631912/67130/54405/68197/68194/66152/110323/17992/66416/12861/100041273/12864/12868/22272/69875/68198/12857/12867/17710/17718/66594/66091"
"GO:0098803","GO:0098803","respiratory chain complex",81,-0.817575077975827,-2.88561855884106,1e-10,3e-09,2.17728531855956e-09,696,"tags=65%, list=9%, signal=60%","17717/20463/78330/226646/75406/17993/407785/104130/595136/17711/66052/17709/66916/17716/230075/72900/66928/67530/68375/66576/70316/12859/17991/66218/225887/66046/66414/67184/66142/68342/66377/102631912/67130/54405/68197/68194/66152/110323/17992/66416/12861/100041273/12864/12868/22272/69875/68198/12857/12867/17710/17718/66594/66091"
"GO:0070469","GO:0070469","respirasome",87,-0.803400964811111,-2.86932313705554,1e-10,3e-09,2.17728531855956e-09,696,"tags=62%, list=9%, signal=57%","17717/20463/78330/226646/75406/17993/407785/104130/595136/17711/66052/17709/66916/17716/230075/72900/66928/67530/67388/68375/66576/70316/12859/17991/66218/225887/66046/66414/67184/66142/68342/66377/102631912/67130/54405/68197/68194/66152/110323/17992/66416/12861/100041273/12864/12868/22272/69875/68198/12857/12867/17710/17718/66594/66091"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex",263,-0.677094606953807,-2.83191362226746,1e-10,3e-09,2.17728531855956e-09,1070,"tags=45%, list=14%, signal=40%","433771/11950/68611/15108/27397/67680/24030/107197/66258/68499/107734/67840/68572/94064/66495/17706/17713/52443/30058/28080/216767/17717/20463/78330/224904/228033/226646/75406/17993/68463/12039/68735/64660/11951/407785/104130/595136/66449/17711/66052/69029/12040/68565/17709/14356/66916/11958/17716/121022/17705/68512/94065/30055/230075/72900/66845/66928/67530/68537/66230/110826/68375/66292/66121/66169/64659/103172/66383/67713/67270/66576/70316/67067/17827/12859/17991/107733/66218/225887/66046/223696/66414/11957/67184/67942/66142/68342/66377/102631912/67130/70257/54405/68197/68194/66152/27425/110323/17992/66416/12861/66148/66477/100041273/12864/12868/22272/71679/69875/68198/12857/57423/14548/12867/17710/66448/17718/66594/66091"
"GO:0044391","GO:0044391","ribosomal subunit",176,-0.700611467730487,-2.78346499681239,1e-10,3e-09,2.17728531855956e-09,1231,"tags=56%, list=16%, signal=48%","79044/67681/20005/19896/67427/65019/94062/16898/319195/68611/27397/19982/24030/20116/67186/66258/68499/20042/107734/102462/100043813/67840/68572/94064/20088/52443/66481/66483/75617/216767/114641/22121/20104/14694/267019/20091/67025/68995/22187/67941/19988/68463/68735/64660/14109/54217/26451/20103/27207/76846/68565/268449/68052/27370/121022/54127/94065/67115/27176/19921/20055/66845/68537/66230/66292/66121/64659/66475/57808/19942/27050/67270/20084/19951/68193/67281/20826/19941/20054/66489/107733/20090/57294/20085/67671/19981/19899/67248/68436/270106/20068/67945/20044/22186/56040/14548/76808/66448/78294"
"GO:0022626","GO:0022626","cytosolic ribosome",108,-0.741760897823201,-2.74678020402022,1e-10,3e-09,2.17728531855956e-09,1190,"tags=63%, list=15%, signal=54%","20005/19896/67427/65019/16898/319195/19982/20116/67186/20042/100043813/20088/66481/66483/75617/114641/22121/20104/267019/20091/67025/68995/22187/67941/19988/14109/54217/26451/20103/27207/76846/268449/68052/27370/54127/67115/27176/19921/20055/66475/57808/19942/27050/20084/19951/68193/67281/20826/19941/20054/66489/20090/57294/20085/67671/19981/19899/67248/68436/270106/11815/20068/67945/20044/22186/56040/76808/78294"
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I",49,-0.839358689297562,-2.71586150595397,1e-10,3e-09,2.17728531855956e-09,696,"tags=71%, list=9%, signal=65%","17717/78330/226646/75406/17993/407785/104130/595136/66916/17716/230075/72900/66928/68375/70316/17991/66218/225887/66046/66414/67184/68342/66377/102631912/67130/54405/68197/68194/17992/66416/100041273/69875/68198/17718/66091"
"GO:0030964","GO:0030964","NADH dehydrogenase complex",49,-0.839358689297562,-2.71586150595397,1e-10,3e-09,2.17728531855956e-09,696,"tags=71%, list=9%, signal=65%","17717/78330/226646/75406/17993/407785/104130/595136/66916/17716/230075/72900/66928/68375/70316/17991/66218/225887/66046/66414/67184/68342/66377/102631912/67130/54405/68197/68194/17992/66416/100041273/69875/68198/17718/66091"
"GO:0045271","GO:0045271","respiratory chain complex I",49,-0.839358689297562,-2.71586150595397,1e-10,3e-09,2.17728531855956e-09,696,"tags=71%, list=9%, signal=65%","17717/78330/226646/75406/17993/407785/104130/595136/66916/17716/230075/72900/66928/68375/70316/17991/66218/225887/66046/66414/67184/68342/66377/102631912/67130/54405/68197/68194/17992/66416/100041273/69875/68198/17718/66091"
