"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","GO:0003735","structural constituent of ribosome",152,-0.721255892220851,-2.80962052470902,1e-10,3.81e-08,3.06315789473684e-08,1231,"tags=60%, list=16%, signal=51%","79044/67681/20005/19896/67427/65019/94062/16898/319195/68611/27397/19982/24030/20116/67186/66258/20042/107734/102462/100043813/67840/94064/20088/66481/66483/75617/216767/114641/22121/20104/267019/20091/67025/22187/67941/19988/68463/68735/64660/14109/54217/26451/20103/27207/76846/68565/268449/68052/27370/121022/54127/94065/67115/27176/19921/20055/66845/68537/66292/64659/66475/57808/19942/27050/20084/19951/68193/67281/68028/19941/20054/66489/107733/20090/57294/20085/67671/19981/19899/67248/68436/270106/20068/66416/67945/20044/22186/56040/76808/66448/78294"
"GO:0005198","GO:0005198","structural molecule activity",319,-0.471902894461151,-1.98144585904196,1e-10,3.81e-08,3.06315789473684e-08,1206,"tags=36%, list=16%, signal=32%","67681/20005/19896/17904/22142/67427/68051/65019/94062/56378/16898/319195/68611/27397/19982/24030/20116/67186/66258/20042/107734/102462/110379/100043813/67840/94064/17196/22145/20088/66481/66483/75617/216767/114641/22121/20104/267019/78303/14580/219151/20091/67025/76737/22187/67941/19988/68463/68735/64660/14109/54217/26451/20103/27207/76846/13383/68565/268449/68052/27370/69386/121022/54127/94065/67115/27176/19921/20055/66845/68537/66292/64659/66475/51788/57808/19942/116847/27050/20084/19951/68193/67281/12955/68028/19941/20054/66489/107733/20090/57294/20085/20648/67671/15078/19981/19899/227613/14958/67248/68436/270106/20068/22143/66416/67945/20044/22186/50708/77605/56040/76808/66448/78294/58187/13007/73710"
"GO:0009055","GO:0009055","electron transfer activity",39,-0.737451781444287,-2.28703342597445,1.01310170033915e-07,2.57327831886144e-05,2.06886031437679e-05,1136,"tags=56%, list=15%, signal=48%","66841/66445/67680/13057/17717/226646/20930/75406/17993/17711/66052/17709/66916/17716/68165/72900/110826/66576/17991/225887/17710/17718"
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity",18,-0.837315668019635,-2.1955022330726,1.5944018429721e-06,0.000242986840868948,0.000195356183707318,696,"tags=56%, list=9%, signal=51%","17717/226646/75406/17993/66916/17716/72900/17991/225887/17718"
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity",18,-0.837315668019635,-2.1955022330726,1.5944018429721e-06,0.000242986840868948,0.000195356183707318,696,"tags=56%, list=9%, signal=51%","17717/226646/75406/17993/66916/17716/72900/17991/225887/17718"
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity",30,-0.745611200597945,-2.17979892033179,3.00275361413853e-06,0.00032687117913908,0.000262797383974229,696,"tags=50%, list=9%, signal=46%","17717/226646/20930/75406/17993/17711/17709/66916/17716/72900/66576/17991/225887/17710/17718"
"GO:0019900","GO:0019900","kinase binding",482,0.409519692414843,1.62216357233546,2.9223976770888e-06,0.00032687117913908,0.000262797383974229,1647,"tags=31%, list=21%, signal=26%","12575/229841/20620/20616/19088/20527/74194/219181/69131/13838/17918/22631/11789/12444/110829/171580/216965/238276/15519/74006/19252/19736/329251/235086/12505/18751/108071/18479/17756/18186/78757/54473/13629/53416/17931/170758/97541/103967/19255/16452/17118/16561/232341/76071/17762/18767/224938/14102/13669/18124/16410/12125/68558/50772/12389/19261/22367/12168/21375/211770/18626/12455/15516/20964/54003/19211/14811/80837/16828/56321/22687/11772/22042/56216/26422/21973/20020/67300/18648/245684/56085/13555/77480/11931/11911/108989/56013/19259/22253/67287/22628/19272/20404/384783/243725/20848/109676/18754/19698/72993/26413/52552/12934/56717/19242/19089/17125/212307/11465/16412/217692/22057/18708/22241/14799/22333/17164/217124/18195/27062/19697/13385/12298/24069/109880/12558/72119/12928/14025/12576/12387/56637/57783/66197/67588/74370/11519/26420/338352/11909/21665/50797/51897/20682/227333/20910/20907/66935/12296"
"GO:0016773","GO:0016773","phosphotransferase activity, alcohol group as acceptor",290,0.442214960503641,1.68599275028163,1.63893872082853e-05,0.00127881346824593,0.00102813847011898,1507,"tags=31%, list=19%, signal=26%","12575/20620/56077/140810/69131/108083/13838/18213/216965/58231/18481/13175/16589/18751/18479/72141/13839/269774/18186/18706/214897/18749/110279/53416/213452/70762/211347/16452/232341/233789/26398/93687/56527/18647/50772/20874/22367/224020/12168/20817/270627/57261/13840/17096/27373/227541/216616/320127/328329/52033/14360/12537/70425/18754/16886/26413/14312/232944/74035/29869/56717/71340/74769/20815/107589/18708/56480/22241/15275/17164/70974/217124/232533/12995/26414/235604/330177/109880/13178/226751/75320/57740/15259/56421/67468/18187/56637/12166/228012/18759"
"GO:0003690","GO:0003690","double-stranded DNA binding",492,0.386927759700479,1.53620454725864,1.67823289796053e-05,0.00127881346824593,0.00102813847011898,1705,"tags=31%, list=22%, signal=26%","71834/17932/18616/26466/268903/26429/71371/116848/170938/65020/99929/71375/19291/12544/14011/216848/23808/80859/74120/237336/72465/67143/14283/27374/20677/229599/217166/13654/236511/13170/21749/23872/18514/20183/18028/18227/17260/22026/67778/74570/384763/20226/21676/106298/100043468/11922/17859/100072/22704/18124/214899/20181/93691/244219/381067/22642/17933/21417/11910/20678/21375/17257/18626/14281/12455/30928/56722/270627/16969/23849/56469/57261/269704/13653/20020/16764/72147/15182/19883/13555/238673/108167848/11911/13198/67070/230700/234362/15361/19726/241322/239528/20848/192651/19698/20185/227644/26413/14282/56717/230908/268294/17125/17685/15185/98415/66505/67500/17129/21406/12417/22608/170740/13435/77128/50913/64453/50755/11568/19697/15273/235682/78834/17425/27081/14025/15370/226641/217082/108655/232853/50776/60595/16918/74370/56490/68910/235028/11909/21665/66653/19664/15289/20682/13712/11820/94246/18032/231866/71591/17258/50914/27386/239102/18023/69228"
"GO:0015078","GO:0015078","proton transmembrane transporter activity",66,-0.575694426160894,-1.98662969574279,2.39604794569379e-05,0.00132851572962673,0.0010680980171885,790,"tags=32%, list=10%, signal=29%","17706/21871/28080/71803/72392/228033/20930/11951/17711/17709/11958/17705/66576/66144/11957/67942/27425/11974/71679/57423/17710"
