"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044391","CC","GO:0044391","ribosomal subunit","79/691","176/7719",1.70307524924354e-37,7.89715993074228e-34,7.82518259257689e-34,"Rpl26/Rps27/Mrpl23/Uba52/Mrpl20/Rpl13/Rpl41/Rplp1/Rps14/Rpl34-ps1/Rpl18a/Rpl7a/Rps27rt/Rpl38/Rps17/Rps12/Mrps33/Rps15/Rack1/Rps15a/Rpl32/Rps18/Mrps28/Mrpl52/Rpsa/Mrpl42/Mrpl27/Rpl18/Rpl35/Rps29/Rps19/Rpl39/Rpl14/Rps21/Rpl27/Rps25/Rpl37a/Rps27a/Rpl36/Rps26/Rps23/Mcts1/Mrps14/Rps7/Chchd1/Mrpl53/Rpl27a/Fau/Rpl12/Rpl34/Mrpl28/Rps16/Rpl11/Rps3/Rpl37/Mrps18a/Rps8/Rpl19/Rpl30/Rps24/Mrps21/Rps28/Mrpl41/Mrps24/Rps27l/Snu13/Aurkaip1/Rpl13a/Mrpl32/Rps20/Rpl31/Rpl24/Rps2/Rps11/Rpl23a/Ubb/Rps5/Rps9/Rplp0",79
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","56/691","135/7719",1.26026108374015e-24,7.30478830662882e-22,7.23821004016545e-22,"Ndufb1/Cox7c/Ndufa11/Atp5mf/Uqcrq/Cox6c/Ndufa2/Cox7b/Atp5mk/Ndufa3/Atp5mg/Uqcr10/COX3/Atp5pd/Uqcr11/Cox4i1/Cox6a1/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Ndufb6/Ndufa4/Atp5mj/Uqcrh/Cox8a/Ndufb4c/Romo1/Immp1l/Ndufb11/Ndufb5/Ndufs6/Smdt1/Cox5b/Ndufa12/Cox6b1/Cox7a2/Micos13/Ndufv3/Ndufa6/Ndufa8/Atp5pf/Ndufa1/Atp5mc1/Ndufa7/Ndufb7/Ndufb8/Timm17a/Uqcrb/Sdhb/Ndufb10/Ndufa13/Cyc1/Atp5pb",56
"GO:0098803","CC","GO:0098803","respiratory chain complex","43/691","81/7719",1.7547108288857e-24,8.136594113543e-22,8.0624344927222e-22,"Ndufb1/Cox7c/Ndufa11/Uqcrq/Cox6c/Ndufa2/Cox7b/Ndufa3/Uqcr10/COX3/Uqcr11/Cox4i1/Cox6a1/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Ndufb6/Ndufa4/Uqcrh/Cox8a/Ndufb4c/Ndufb11/Ndufb5/Ndufs6/Cox5b/Ndufa12/Cox6b1/Cox7a2/Ndufv3/Ndufa6/Ndufa8/Ndufa1/Ndufa7/Ndufb7/Ndufb8/Uqcrb/Sdhb/Ndufb10/Ndufa13/Cyc1",43
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","79/691","263/7719",1.74658934152874e-23,6.74911231389064e-21,6.68759866295872e-21,"Ndufb1/Cox7c/Mrpl23/Ndufa11/Atp5mf/Uqcrq/Mrpl20/Cox6c/Ndufa2/Cox7b/Atp5mk/Ndufa3/Atp5mg/Uqcr10/Mrps33/Tomm7/COX3/Atp5pd/Uqcr11/Cox4i1/Cox6a1/Ndufc1/Ndufb4/ND3/Mrps28/Mrpl52/Ndufc2/Mrpl42/Mrpl27/Ndufb9/Ndufb2/Tomm5/Ndufb6/Ndufa4/Atp5mj/Uqcrh/Mrps14/Chchd1/Cox8a/Ndufb4c/Mrpl53/Romo1/Immp1l/Timm13/Ndufb11/Ndufb5/Fxn/Ndufs6/Smdt1/Mrpl28/Cox5b/Ndufa12/Cox6b1/Cox7a2/Micos13/Ndufv3/Mrps18a/Ndufa6/Iscu/Ndufa8/Mrps21/Mrpl41/Mrps24/Atp5pf/Aurkaip1/Ndufa1/Mrpl32/Atp5mc1/Ndufa7/Mrps36/Ndufb7/Ndufb8/Timm17a/Uqcrb/Sdhb/Ndufb10/Ndufa13/Cyc1/Atp5pb",79
"GO:0070469","CC","GO:0070469","respirasome","43/691","87/7719",7.47552667637706e-23,2.66646286141234e-20,2.64215983339157e-20,"Ndufb1/Cox7c/Ndufa11/Uqcrq/Cox6c/Ndufa2/Cox7b/Ndufa3/Uqcr10/COX3/Uqcr11/Cox4i1/Cox6a1/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Ndufb6/Ndufa4/Uqcrh/Cox8a/Ndufb4c/Ndufb11/Ndufb5/Ndufs6/Cox5b/Ndufa12/Cox6b1/Cox7a2/Ndufv3/Ndufa6/Ndufa8/Ndufa1/Ndufa7/Ndufb7/Ndufb8/Uqcrb/Sdhb/Ndufb10/Ndufa13/Cyc1",43
"GO:1990204","CC","GO:1990204","oxidoreductase complex","37/691","104/7719",4.18416841189121e-14,6.46732964197984e-12,6.40838425189653e-12,"Ndufb1/Ogdhl/Ndufa11/Uqcrq/Ndufa2/Ndufa3/Uqcr10/Uqcr11/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Ndufb6/Ndufa4/Uqcrh/Ndufb4c/Ndufb11/Ndufb5/Ndufs6/Cyba/Ndufa12/Ndufv3/Ndufa6/Gmpr/Ndufa8/Ndufa1/Ndufa7/Mrps36/Ndufb7/Ndufb8/Uqcrb/Sdhb/Ndufb10/Ndufa13/Cyc1",37
"GO:0070069","CC","GO:0070069","cytochrome complex","17/691","31/7719",1.00861328486014e-10,9.35387960379298e-09,9.26862523876744e-09,"Cox7c/Uqcrq/Cox6c/Cox7b/Uqcr10/COX3/Uqcr11/Cox4i1/Cox6a1/Ndufa4/Uqcrh/Cox8a/Cox5b/Cox6b1/Cox7a2/Uqcrb/Cyc1",17
"GO:0032040","CC","GO:0032040","small-subunit processome","20/691","53/7719",9.88137825779168e-09,7.39031467441613e-07,7.32295689223441e-07,"Rps27/Rps14/Rps27rt/Rps17/Rps12/Rps15a/Ngdn/Rps19/Rps27a/Rps23/Rps7/Fcf1/Rps16/Rps8/Rps24/Rps28/Snu13/Rps11/Rps5/Rps9",20
"GO:0005844","CC","GO:0005844","polysome","20/691","60/7719",1.11898065214743e-07,7.74434818508602e-06,7.67376362391758e-06,"Rpl18a/Rpl7a/Rpl38/Rpl32/Rpl18/Rps29/Rpl39/Rps21/Rpl36/Rps26/Rps23/Vim/Rpl11/Rps3/Rpl19/Rpl30/Naa38/Rps28/Rpl31/Rpl24",20
"GO:1902495","CC","GO:1902495","transmembrane transporter complex","40/691","207/7719",2.01675465756573e-06,0.00012810536091962,0.000126937766117872,"Kcnh2/Ttyh2/Kcnc2/Ndufb1/Gabrd/Ndufa11/Uqcrq/Ndufa2/Ndufa3/Uqcr10/Atp6v0e/Uqcr11/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Ndufb6/Ndufa4/Uqcrh/Ndufb4c/Kcnv1/Ndufb11/Ndufb5/Ndufs6/Smdt1/Ndufa12/Ndufv3/Ndufa6/Ndufa8/Ndufa1/Atp5mc1/Ndufa7/Ndufb7/Ndufb8/Uqcrb/Ndufb10/Ndufa13/Cyc1",40
