"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007268","BP","GO:0007268","chemical synaptic transmission","49/400","456/7719",6.34015933015996e-07,0.000776810923386553,0.000734052986060564,"Star/Dgke/Plcb1/Mef2c/Synpr/Bcr/Grin2b/Slc24a2/Epha4/Atad1/Tnr/Gls/Grm5/Prkcb/Grin2a/Dmxl2/Aph1b/Erc1/Dgki/Myo5a/Pak1/Braf/Prkar2b/Celf4/Sv2b/Kras/Napb/Nrxn3/Frrs1l/Crtc1/Plk2/Gabrb1/Prkce/Pcdh17/Snap29/Synj1/Dgkb/Zdhhc2/Kcnma1/Mapk1/Ppfia2/Dnm1l/Mecp2/Epha7/Kif1b/Fbxo45/Dlgap1/Chmp2b/Ppp3ca",49
"GO:0098916","BP","GO:0098916","anterograde trans-synaptic signaling","49/400","456/7719",6.34015933015996e-07,0.000776810923386553,0.000734052986060564,"Star/Dgke/Plcb1/Mef2c/Synpr/Bcr/Grin2b/Slc24a2/Epha4/Atad1/Tnr/Gls/Grm5/Prkcb/Grin2a/Dmxl2/Aph1b/Erc1/Dgki/Myo5a/Pak1/Braf/Prkar2b/Celf4/Sv2b/Kras/Napb/Nrxn3/Frrs1l/Crtc1/Plk2/Gabrb1/Prkce/Pcdh17/Snap29/Synj1/Dgkb/Zdhhc2/Kcnma1/Mapk1/Ppfia2/Dnm1l/Mecp2/Epha7/Kif1b/Fbxo45/Dlgap1/Chmp2b/Ppp3ca",49
"GO:0099537","BP","GO:0099537","trans-synaptic signaling","49/400","459/7719",7.71353709760682e-07,0.000776810923386553,0.000734052986060564,"Star/Dgke/Plcb1/Mef2c/Synpr/Bcr/Grin2b/Slc24a2/Epha4/Atad1/Tnr/Gls/Grm5/Prkcb/Grin2a/Dmxl2/Aph1b/Erc1/Dgki/Myo5a/Pak1/Braf/Prkar2b/Celf4/Sv2b/Kras/Napb/Nrxn3/Frrs1l/Crtc1/Plk2/Gabrb1/Prkce/Pcdh17/Snap29/Synj1/Dgkb/Zdhhc2/Kcnma1/Mapk1/Ppfia2/Dnm1l/Mecp2/Epha7/Kif1b/Fbxo45/Dlgap1/Chmp2b/Ppp3ca",49
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission","41/400","354/7719",8.17518101184186e-07,0.000776810923386553,0.000734052986060564,"Star/Dgke/Plcb1/Mef2c/Synpr/Bcr/Grin2b/Slc24a2/Epha4/Atad1/Tnr/Grm5/Prkcb/Grin2a/Erc1/Dgki/Myo5a/Pak1/Braf/Prkar2b/Celf4/Sv2b/Kras/Nrxn3/Frrs1l/Crtc1/Plk2/Prkce/Pcdh17/Snap29/Dgkb/Zdhhc2/Mapk1/Ppfia2/Dnm1l/Mecp2/Epha7/Fbxo45/Dlgap1/Chmp2b/Ppp3ca",41
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling","41/400","355/7719",8.8093776750573e-07,0.000776810923386553,0.000734052986060564,"Star/Dgke/Plcb1/Mef2c/Synpr/Bcr/Grin2b/Slc24a2/Epha4/Atad1/Tnr/Grm5/Prkcb/Grin2a/Erc1/Dgki/Myo5a/Pak1/Braf/Prkar2b/Celf4/Sv2b/Kras/Nrxn3/Frrs1l/Crtc1/Plk2/Prkce/Pcdh17/Snap29/Dgkb/Zdhhc2/Mapk1/Ppfia2/Dnm1l/Mecp2/Epha7/Fbxo45/Dlgap1/Chmp2b/Ppp3ca",41
"GO:0061564","BP","GO:0061564","axon development","37/400","322/7719",3.50866362781744e-06,0.00220995684786387,0.00208831438178969,"Ece1/Mycbp2/Mef2c/Ntrk3/Kif5c/Golga4/Pum2/Pcdhac2/Chl1/Tbr1/Nfib/Epha4/Pak3/Tnr/Pak1/Dclk1/Braf/Camsap2/Apc/Map2/Nefm/Dst/Afg3l2/Cyfip2/Rufy3/Neurod1/Flrt3/Klf7/Epha7/Ttc3/Bcl11a/Fbxo45/Atl1/Nrcam/Inpp5f/Map1b/Cntn1",37
"GO:0007610","BP","GO:0007610","behavior","40/400","390/7719",2.24212087774003e-05,0.00898682813632343,0.00849216692257897,"Scn3a/Negr1/Plcb1/Mef2c/Ncor1/Ahi1/Grin2b/Lsamp/Chl1/Tbr1/Slc24a2/Epha4/Atad1/Tnr/Gls/Grm5/Grin2a/Aph1b/Dgki/Chd8/Myo5a/Pak1/Braf/Prkar2b/Nr2c2/Kras/Nrxn3/Pcm1/Hdac4/Crtc1/Plk2/Prkce/Pcdh17/Synj1/Kcnma1/Btg2/Mecp2/Inpp5f/Cntn1/Atp1a2",40
"GO:0007612","BP","GO:0007612","learning","17/400","108/7719",3.53500767867112e-05,0.0109239884175651,0.0103227002558696,"Grin2b/Tbr1/Slc24a2/Atad1/Tnr/Grm5/Grin2a/Dgki/Pak1/Braf/Prkar2b/Kras/Nrxn3/Synj1/Btg2/Mecp2/Atp1a2",17
"GO:0120039","BP","GO:0120039","plasma membrane bounded cell projection morphogenesis","43/400","441/7719",3.75344772264897e-05,0.0109239884175651,0.0103227002558696,"Cpne5/Ece1/Mycbp2/Mef2c/Ntrk3/Kif5c/Golga4/Pcdhac2/Chl1/Celsr2/Tbr1/Nfib/Epha4/Pak3/Tnr/Rbfox2/Pak1/Dclk1/Braf/Dnm3/Apc/Map2/Taok3/Nefm/Dst/Afg3l2/Cyfip2/Rufy3/Ppfia2/Flrt3/Dnm1l/Mecp2/Klf7/Epha7/Ttc3/Bcl11a/Cd44/Fbxo45/Atl1/Nrcam/Map1b/Cntn1/Ppp3ca",43
"GO:0050890","BP","GO:0050890","cognition","25/400","202/7719",4.14017457898542e-05,0.0109239884175651,0.0103227002558696,"Plcb1/Mef2c/Grin2b/Chl1/Tbr1/Slc24a2/Atad1/Tnr/Grm5/Grin2a/Aph1b/Dgki/Magt1/Pak1/Braf/Prkar2b/Kras/Nrxn3/Crtc1/Plk2/Synj1/Btg2/Mecp2/Chmp2b/Atp1a2",25
