"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","44/331","135/7719",9.29960058792127e-28,3.20278244248009e-24,3.17361106379377e-24,"Ndufa3/ND3/Uqcr11/COX3/Ndufb2/Dnajc15/Ndufa11/Atp5mf/Cox7c/Ndufb4c/Uqcrq/Cox4i1/Ndufb4/Cox6c/Atp5mk/Cox8a/Ndufa7/Atp5pd/Atp5mc2/Ndufa1/Ndufa6/Cox6a1/Uqcr10/Ndufc2/Ndufa4/Atp5mg/Cox7b/Ndufb1/Cox6b1/Atp5mj/Ndufb10/Ndufc1/Romo1/Ndufa12/Dnajc19/Ndufs8/Ndufa13/Ndufb5/Atp5pf/Ndufa2/Cox5b/Uqcrh/Ndufb9/Ndufab1",44
"GO:0098803","CC","GO:0098803","respiratory chain complex","34/331","81/7719",7.31214144716006e-26,8.39433838133975e-23,8.31788160410278e-23,"Ndufa3/ND3/Uqcr11/COX3/Ndufb2/Ndufa11/Cox7c/Ndufb4c/Uqcrq/Cox4i1/Ndufb4/Cox6c/Cox8a/Ndufa7/Ndufa1/Ndufa6/Cox6a1/Uqcr10/Ndufc2/Ndufa4/Cox7b/Ndufb1/Cox6b1/Ndufb10/Ndufc1/Ndufa12/Ndufs8/Ndufa13/Ndufb5/Ndufa2/Cox5b/Uqcrh/Ndufb9/Ndufab1",34
"GO:0070469","CC","GO:0070469","respirasome","34/331","87/7719",1.27707697295402e-24,1.09956327371341e-21,1.08954830166235e-21,"Ndufa3/ND3/Uqcr11/COX3/Ndufb2/Ndufa11/Cox7c/Ndufb4c/Uqcrq/Cox4i1/Ndufb4/Cox6c/Cox8a/Ndufa7/Ndufa1/Ndufa6/Cox6a1/Uqcr10/Ndufc2/Ndufa4/Cox7b/Ndufb1/Cox6b1/Ndufb10/Ndufc1/Ndufa12/Ndufs8/Ndufa13/Ndufb5/Ndufa2/Cox5b/Uqcrh/Ndufb9/Ndufab1",34
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","50/331","263/7719",8.20934215520183e-20,3.53412179781439e-17,3.5019325351532e-17,"Ndufa3/ND3/Mrpl20/Uqcr11/COX3/Ndufb2/Dnajc15/Ndufa11/Atp5mf/Cox7c/Ndufb4c/Uqcrq/Mrps33/Cox4i1/Ndufb4/Cox6c/Atp5mk/Cox8a/Ndufa7/Atp5pd/Atp5mc2/Ndufa1/Ndufa6/Cox6a1/Uqcr10/Ndufc2/Ndufa4/Atp5mg/Cox7b/Ndufb1/Cox6b1/Mtx1/Atp5mj/Ndufb10/Ndufc1/Romo1/Ndufa12/Dnajc19/Ndufs8/Ndufa13/Ndufb5/Atp5pf/Ndufa2/Cox5b/Mrpl41/Tomm22/Uqcrh/Ndufb9/Ndufab1/Mrpl42",50
"GO:1990204","CC","GO:1990204","oxidoreductase complex","26/331","104/7719",1.12342956270693e-13,1.68221365824464e-11,1.6668918271377e-11,"Ndufa3/ND3/Uqcr11/Ndufb2/Ndufa11/Ndufb4c/Gmpr/Uqcrq/Ndufb4/Ndufa7/Ndufa1/Ndufa6/Uqcr10/Ndufc2/Ndufa4/Ndufb1/Ndufb10/Ndufc1/Ndufa12/Ndufs8/Ndufa13/Ndufb5/Ndufa2/Uqcrh/Ndufb9/Ndufab1",26
"GO:0022626","CC","GO:0022626","cytosolic ribosome","26/331","108/7719",2.94348247692755e-13,4.0549414602154e-11,4.01800850113648e-11,"Apod/Rps27a/Rpl34/Rplp1/Rpl18a/Uba52/Rpl39/Rps27/Rps17/Rpl41/Rps14/Rpl38/Rps29/Rpl18/Rpl13/Rpl35/Rps19/Rpl37a/Rps15/Rpl26/Rpl37/Rpl24/Rps18/Rpl32/Rps3/Snu13",26
"GO:0070069","CC","GO:0070069","cytochrome complex","14/331","31/7719",7.42003024312589e-12,8.24341424429857e-10,8.16833210465675e-10,"Uqcr11/COX3/Cox7c/Uqcrq/Cox4i1/Cox6c/Cox8a/Cox6a1/Uqcr10/Ndufa4/Cox7b/Cox6b1/Cox5b/Uqcrh",14
"GO:1902495","CC","GO:1902495","transmembrane transporter complex","29/331","207/7719",1.32090015312733e-08,8.27123659521911e-07,8.19590104581587e-07,"Ndufa3/ND3/Uqcr11/Ndufb2/Ndufa11/Ndufb4c/Uqcrq/Ndufb4/Kcnk1/Ndufa7/Atp6v0e/Atp5mc2/Ndufa1/Ndufa6/Uqcr10/Ndufc2/Ndufa4/Ndufb1/Ndufb10/Ndufc1/Ndufa12/Ndufs8/Ndufa13/Ndufb5/Ndufa2/Atp6v1f/Uqcrh/Ndufb9/Ndufab1",29
"GO:1990351","CC","GO:1990351","transporter complex","29/331","223/7719",7.13329935286665e-08,4.02739065102832e-06,3.99070862847173e-06,"Ndufa3/ND3/Uqcr11/Ndufb2/Ndufa11/Ndufb4c/Uqcrq/Ndufb4/Kcnk1/Ndufa7/Atp6v0e/Atp5mc2/Ndufa1/Ndufa6/Uqcr10/Ndufc2/Ndufa4/Ndufb1/Ndufb10/Ndufc1/Ndufa12/Ndufs8/Ndufa13/Ndufb5/Ndufa2/Atp6v1f/Uqcrh/Ndufb9/Ndufab1",29
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","7/331","20/7719",1.1965413749701e-05,0.000549451799386268,0.00054444731756534,"Atp5mf/Atp5mk/Atp5pd/Atp5mc2/Atp5mg/Atp5mj/Atp5pf",7
