"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030424","CC","GO:0030424","axon","58/434","459/7719",2.67670188603437e-09,1.23208587814162e-05,1.1168890817095e-05,"Htr3a/Grik3/Scn3a/Dpysl3/Mical1/Syt4/Prss12/Nav1/Stmn2/Kif5c/Cacna1b/Slc8a1/Snap91/Dync1h1/Map1b/Calb2/Gap43/Epha5/Erc2/Apc/Uhmk1/Nefm/Myh10/Ntrk3/Myo5a/Cd200/Epha4/Inpp5f/Kif3a/Mycbp2/Cntn1/Nrp1/Cdh9/Prkcb/Crmp1/Map1a/Tubb3/Aak1/Nrcam/Spock1/Kcnma1/Dnm3/Tnfrsf21/Rac3/Hsp90aa1/Dclk1/Sptan1/Pak1/Dst/Grin2b/Bsn/Gars/Slc9a6/Mtpn/Ncam1/Map2/Rufy3/Nfib",58
"GO:0097060","CC","GO:0097060","synaptic membrane","39/434","308/7719",1.25113043013738e-06,0.000959825561653723,0.000870084390362203,"Htr3a/Grik3/Anxa1/Ppfia2/Slc2a3/Fosl1/Slc8a1/Grin3a/Akap5/Srgap2/Snap91/Igsf9b/Lin7a/Erc2/Cacna2d1/Ntrk3/Igsf21/Epha4/Cntn1/Nrp1/Cdh9/Exoc3/Nrcam/Grm5/Atad1/Kcnma1/Dnm3/Gphn/Fbxo45/Ptpro/Clstn2/Dnm1l/Akap9/Grin2b/Bsn/Lin7c/Clstn3/Napb/Ncam1",39
"GO:0043025","CC","GO:0043025","neuronal cell body","50/434","451/7719",2.19354076807721e-06,0.0014424097364942,0.00130754821122677,"Cpne5/Htr3a/Grik3/Scn3a/Star/Syt4/Stmn2/Kif5c/Ercc8/Cacna1b/Slc8a1/Grin3a/Prkar2b/Negr1/Akap5/Snap91/Igsf9b/Dync1h1/Map1b/Epha5/Erc2/Ccng1/Apc/Nefm/Myh10/Myo5a/Cd200/Epha4/Inpp5f/Kif3a/Nrp1/Nr1d1/Brinp1/Crmp1/Map1a/Tubb3/Kcnma1/Gphn/Rac3/Hsp90aa1/Akap9/Grin2b/Bsn/Rbm8a/Dpp6/Pde1a/Ncam1/Map2/Rufy3/Atxn10",50
"GO:0098978","CC","GO:0098978","glutamatergic synapse","50/434","468/7719",6.37091322035324e-06,0.00183283209708037,0.0016614671056237,"Htr3a/Grik3/Mdga2/Ppfia2/Erc1/Syt4/Dgke/Slc2a3/Eif4ebp1/Cacna1b/Grin3a/Prkar2b/Akap5/Sv2b/Erc2/Cacna2d1/Bcr/Myh10/Ntrk3/Myo5a/Epha4/Nrp1/Cdh9/Pak3/Nrcam/Grm5/Atad1/Kcnma1/Plcb1/Ywhaz/Dnm3/Fbxo45/Ptpro/Rac3/Clstn2/Dynll2/Sptan1/Pak1/Akap9/Grin2b/Bsn/Eef2/Lin7c/Clstn3/Napb/Slc9a6/Ncam1/Map2/Anks1b/Mal2",50
"GO:0099572","CC","GO:0099572","postsynaptic specialization","36/434","309/7719",2.1676277625136e-05,0.00433808286558699,0.00393248350142055,"Grik3/Ppfia2/Erc1/Slc8a1/Grin3a/Akap5/Srgap2/Snap91/Igsf9b/Map1b/Gap43/Bcr/Nefm/Epha4/Zdhhc2/Map1a/Pak3/Nrcam/Grm5/Ablim1/Ywhaz/Dnm3/Gphn/Fbxo45/Ptpro/Clstn2/Dclk1/Dynll2/Pak1/Dst/Akap9/Grin2b/Bsn/Clstn3/Map2/Anks1b",36
"GO:0030425","CC","GO:0030425","dendrite","48/434","474/7719",4.07421796690484e-05,0.00720244566507441,0.00652903589566414,"Grik3/Ppfia2/Syt4/Prss12/Plk2/Kif5c/Cacna1b/Slc8a1/Prkar2b/Negr1/Akap5/Srgap2/Igsf9b/Map1b/Chl1/Calb2/Epha5/Ccng1/Apc/Uhmk1/Malat1/Myh10/Myo5a/Epha4/Inpp5f/Nr1d1/Cdh9/Brinp1/Crmp1/Map1a/Tubb3/Trf/Grm5/Kcnma1/Dnm3/Gphn/Ptpro/Hsp90aa1/Pak1/Akap9/Grin2b/Bsn/Rbm8a/Slc9a6/Map2/Rufy3/Pabpc1/Atxn10",48
"GO:0098984","CC","GO:0098984","neuron to neuron synapse","37/434","332/7719",4.43385827509801e-05,0.00720244566507441,0.00652903589566414,"Grik3/Erc1/Slc8a1/Grin3a/Akap5/Srgap2/Snap91/Igsf9b/Map1b/Gap43/Bcr/Nefm/Epha4/Zdhhc2/Cdh9/Map1a/Pak3/Nrcam/Grm5/Ablim1/Ywhaz/Dnm3/Gphn/Fbxo45/Ptpro/Clstn2/Dclk1/Dynll2/Pak1/Dst/Akap9/Grin2b/Bsn/Clstn3/Map2/Anks1b/Mal2",37
"GO:0097447","CC","GO:0097447","dendritic tree","48/434","476/7719",4.53771288914095e-05,0.00720244566507441,0.00652903589566414,"Grik3/Ppfia2/Syt4/Prss12/Plk2/Kif5c/Cacna1b/Slc8a1/Prkar2b/Negr1/Akap5/Srgap2/Igsf9b/Map1b/Chl1/Calb2/Epha5/Ccng1/Apc/Uhmk1/Malat1/Myh10/Myo5a/Epha4/Inpp5f/Nr1d1/Cdh9/Brinp1/Crmp1/Map1a/Tubb3/Trf/Grm5/Kcnma1/Dnm3/Gphn/Ptpro/Hsp90aa1/Pak1/Akap9/Grin2b/Bsn/Rbm8a/Slc9a6/Map2/Rufy3/Pabpc1/Atxn10",48
"GO:0016607","CC","GO:0016607","nuclear speck","23/434","203/7719",0.000992129133584992,0.0593087065180743,0.0537634980933822,"Baz2a/Nrip1/Cdk12/Msl1/Tfip11/Uhmk1/Malat1/Scaper/Ddx46/Nfkbiz/Rbm15b/Hectd1/Trip12/Dusp11/Plcb1/Cbll1/Nr4a2/Rbm8a/Zcchc12/Ilrun/Spop/Cnot7/Mef2c",23
"GO:0044306","CC","GO:0044306","neuron projection terminus","17/434","132/7719",0.00110158833936423,0.0609821212203138,0.055280452912248,"Grik3/Mical1/Syt4/Prss12/Cacna1b/Slc8a1/Snap91/Calb2/Erc2/Apc/Epha4/Prkcb/Aak1/Kcnma1/Grin2b/Bsn/Slc9a6",17
"GO:0099569","CC","GO:0099569","presynaptic cytoskeleton","4/434","10/7719",0.0015774701318053,0.0760732729136526,0.068960621523656,"Erc1/Erc2/Nefm/Bsn",4
"GO:0030175","CC","GO:0030175","filopodium","10/434","61/7719",0.00193468716213866,0.0864577125197488,0.0783741432768753,"Vcam1/Akap5/Dync1h1/Spata13/Gap43/Myo5a/Epha4/Tubb3/Map2/Rufy3",10
"GO:0098552","CC","GO:0098552","side of membrane","24/434","229/7719",0.00227754236141088,0.0927745795537548,0.0841003998195877,"Gng4/Ece1/Mdga2/Cxcl10/Vcam1/Efna1/Negr1/Akap5/Kras/Epha5/Myh10/Igsf21/Cntn1/Lsamp/Cd44/Mcf2l/Kcnma1/Gphn/Icam1/Gnai1/Dst/Gng2/Ncam1/Gnai3",24
"GO:0030427","CC","GO:0030427","site of polarized growth","18/434","154/7719",0.00242877470078333,0.0963762926526353,0.0873653621951465,"Dpysl3/Stmn2/Kif5c/Map1b/Erc2/Apc/Myh10/Epha4/Nrp1/Crmp1/Tubb3/Rac3/Hsp90aa1/Dclk1/Pak1/Ncam1/Map2/Rufy3",18
"GO:0007409","BP","GO:0007409","axonogenesis","40/434","283/7719",4.57035977678718e-08,0.000105186830262757,9.53521376588652e-05,"Ece1/Ttl/Kif5c/Efna1/Snap91/Map1b/Chl1/Gap43/Epha5/Apc/Nefm/Cyfip2/Plxna1/Myh10/Ntrk3/Epha4/Mycbp2/Cntn1/Nrp1/Egr2/Map1a/Tubb3/Pak3/Nrcam/Ablim1/Fbxo45/Ptpro/Rac3/Hsp90aa1/Dclk1/Pak1/Dst/Nr4a2/Nrdc/Slc9a6/Ncam1/Map2/Rufy3/Nfib/Mef2c",40
"GO:0120039","BP","GO:0120039","plasma membrane bounded cell projection morphogenesis","49/434","441/7719",2.62413653086794e-06,0.00144774143862866,0.00131238141320283,"Cpne5/Ece1/Ppfia2/Ttl/Syt4/Kif5c/Efna1/Akap5/Srgap2/Snap91/Map1b/Chl1/Gap43/Epha5/Apc/Nefm/Cyfip2/Plxna1/Myh10/Ntrk3/Epha4/Mycbp2/Cntn1/Nrp1/Egr2/Map1a/Cd44/Tubb3/Pak3/Nrcam/Ablim1/Dnm3/Fbxo45/Ptpro/Rac3/Hsp90aa1/Dclk1/Dnm1l/Pak1/Dst/Nr4a2/Clstn3/Nrdc/Slc9a6/Ncam1/Map2/Rufy3/Nfib/Mef2c",49
"GO:0048858","BP","GO:0048858","cell projection morphogenesis","49/434","444/7719",3.18768029406666e-06,0.00144774143862866,0.00131238141320283,"Cpne5/Ece1/Ppfia2/Ttl/Syt4/Kif5c/Efna1/Akap5/Srgap2/Snap91/Map1b/Chl1/Gap43/Epha5/Apc/Nefm/Cyfip2/Plxna1/Myh10/Ntrk3/Epha4/Mycbp2/Cntn1/Nrp1/Egr2/Map1a/Cd44/Tubb3/Pak3/Nrcam/Ablim1/Dnm3/Fbxo45/Ptpro/Rac3/Hsp90aa1/Dclk1/Dnm1l/Pak1/Dst/Nr4a2/Clstn3/Nrdc/Slc9a6/Ncam1/Map2/Rufy3/Nfib/Mef2c",49
"GO:0050808","BP","GO:0050808","synapse organization","42/434","358/7719",3.63459648566226e-06,0.00144774143862866,0.00131238141320283,"Mdga2/Ppfia2/Erc1/Lrrc24/Lrrn3/Efna1/Negr1/Akap5/Srgap2/Snap91/Igsf9b/Gap43/Epha5/Erc2/Malat1/Myh10/Ntrk3/Igsf21/Myo5a/Epha4/Mycbp2/Nrp1/Zdhhc2/Cdh9/Pak3/Nrcam/Grm5/Ywhaz/Dnm3/Gphn/Fbxo45/Ptpro/Rac3/Clstn2/Dnm1l/Pak1/Grin2b/Bsn/Clstn3/Slc9a6/Frrs1l/Mef2c",42
"GO:0021954","BP","GO:0021954","central nervous system neuron development","14/434","60/7719",4.08877660268794e-06,0.00144774143862866,0.00131238141320283,"Taok1/Plxna1/Epha4/Mycbp2/Nrp1/Brinp1/Fbxo45/Rac3/Hsp90aa1/Dclk1/Nr4a2/Btg2/Nfib/Dclk2",14
