"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission",431,-0.402179373747926,-1.76983108175535,1.28252880242142e-10,6.51011620109113e-07,5.90098252145687e-07,1629,"tags=28%, list=15%, signal=25%","64085/14680/11441/211134/67043/242667/26562/18191/241770/21366/74342/70510/26420/56695/432442/20779/19211/192167/13838/16573/18803/19088/22421/23821/12300/72555/228545/232370/22215/227120/140492/18472/14815/245666/19073/16653/70546/226180/215114/64652/11941/109880/12297/99738/20972/54393/12669/59040/230085/22629/19085/12298/14677/64011/13643/240028/16975/109934/67474/18577/110862/244310/11444/116837/229791/238988/14800/338370/18189/67979/235604/12323/22782/268882/20320/228550/18754/110784/26413/382056/69727/19699/16513/21960/15114/224997/57340/12322/14811/60597/11539/232813/20908/108073/19055/18795/230904/224671/108013/21907/18163/13841/18013/19229/17257/108100/14799/225872/13653/18762/19058/19157/17260/217480/11838/107065/14806/228880/72003/232333"
"GO:0003341","GO:0003341","cilium movement",102,0.711263277728464,2.26261000217437,6.17174156351773e-10,1.0442586725472e-06,9.46550258741614e-07,1447,"tags=43%, list=14%, signal=38%","114602/74052/209012/330830/269701/18830/207686/252967/68922/212892/104362/54562/207607/11747/21689/226265/242584/66793/11829/71860/75533/68001/100048534/69707/432611/17427/235345/52028/71233/226162/69327/78801/433956/380773/320244/77609/17295/69329/109065/75563/105833/68708/232943/20322"
"GO:0044782","GO:0044782","cilium organization",265,0.565222970820406,1.97200824137299,1.63491115213949e-09,2.07470225206501e-06,1.88057806473729e-06,1401,"tags=28%, list=13%, signal=25%","114602/74052/209012/320214/214704/330830/20460/216846/207686/75472/68922/212892/104362/54562/97064/207607/74201/21689/76832/226265/227753/66717/69987/242584/22092/27078/66061/75533/100503311/213575/76568/226422/68001/100048534/76411/69707/13589/106840/432611/17427/235345/52184/75556/104318/15223/52028/76779/71492/71137/69327/217705/332110/69871/102124/78801/433956/18000/56350/74682/100503572/104394/226251/320244/109299/71448/77609/66910/69329/109065/17274/105833/73916/68708/232943"
"GO:0050808","GO:0050808","synapse organization",445,-0.374373538996153,-1.65426754410044,1.11266347681742e-08,1.12957596166504e-05,1.02388464361451e-05,2078,"tags=33%, list=19%, signal=28%","16337/20964/18481/26416/272381/15185/56320/76742/140570/245684/20616/14812/22418/210274/67790/23859/56637/67830/18708/108071/230235/12558/320873/19281/53972/320840/11651/16981/18530/16728/59036/64085/14168/53872/18223/11441/211134/242667/18191/241770/545156/67943/66860/241638/74342/216028/103967/12826/19211/233878/192167/15569/13838/76108/22421/211187/20404/53328/16443/12300/232370/107932/243621/22215/18472/56013/73340/14270/170731/19073/70546/74143/77097/67703/11941/13196/12297/18164/12295/233071/14183/12298/208643/15898/13643/30785/18222/16975/243499/226016/104156/70178/20354/18483/11444/18213/238988/80297/320772/73728/26422/18189/235604/14402/11519/330814/12323/268882/20320/12296/228550/243743/105689/19699/21960/14811/56747/14401/232813/329165/236915/70237/18163/13841/18013/19229/54645/17257/12891/226359/108100/14799/225872/14394/11461/71436/17260/217480/72289/11838/107065/12564/12565/12830/228880/232333"
"GO:0035082","GO:0035082","axoneme assembly",55,0.770553854846463,2.2532544591589,2.58725438934712e-08,2.18881721338767e-05,1.98401560277829e-05,1365,"tags=53%, list=13%, signal=46%","114602/209012/320214/330830/207686/68922/212892/104362/54562/207607/69987/242584/22092/76568/100048534/69707/432611/17427/235345/15223/76779/69327/78801/433956/320244/77609/69329/109065/105833"
"GO:0001578","GO:0001578","microtubule bundle formation",82,0.711038293287183,2.19455622182112,5.59333829209318e-08,2.76434959948998e-05,2.50569700538565e-05,1510,"tags=44%, list=14%, signal=38%","114602/209012/320214/330830/67971/207686/68922/212892/104362/54562/207607/69987/242584/22092/76568/100048534/50850/69707/23924/13589/432611/17427/235345/15223/76779/69327/78801/433956/320244/77609/69329/109065/105833/214444/215690/546143"
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation",485,-0.351528912807018,-1.56665741979564,5.99051331646765e-08,2.76434959948998e-05,2.50569700538565e-05,1765,"tags=26%, list=16%, signal=23%","12558/53972/76089/65254/16728/73991/13047/59036/13654/14168/53872/18223/11441/211134/114873/13723/545156/241638/22129/19645/20482/103967/19211/26941/14567/192167/214968/19283/13838/71900/17128/16573/76108/22421/68703/211187/11803/56386/21974/17755/360213/230598/18124/22215/18472/56013/170731/16574/74143/77097/11941/11658/109880/15572/18007/18032/117606/17258/18164/22241/20359/18508/225743/13848/269397/22629/12805/21375/233071/14183/237847/13617/13643/67287/18222/16975/353237/20356/20315/53883/71653/107448/20354/23964/319974/17756/11444/18213/11789/210108/229791/80297/11804/12323/268882/20320/228550/243743/18028/319757/105689/19699/21960/12322/60597/108699/58208/329165/19055/22284/70237/21907/18163/13841/56177/13508/59058/94253/108100/76454/228662/225348/11461/71436/76499/70827/17260/11838"
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility",77,0.712164312008551,2.17043321402201,1.12313064951647e-07,4.38539321303509e-05,3.97506402351134e-05,1447,"tags=44%, list=14%, signal=38%","74052/330830/269701/18830/207686/252967/68922/212892/104362/54562/207607/11747/21689/226265/66793/71860/76568/100048534/69707/17427/235345/52028/71233/226162/380773/320244/77609/17295/69329/109065/105833/68708/232943/20322"
"GO:0060285","GO:0060285","cilium-dependent cell motility",77,0.712164312008551,2.17043321402201,1.12313064951647e-07,4.38539321303509e-05,3.97506402351134e-05,1447,"tags=44%, list=14%, signal=38%","74052/330830/269701/18830/207686/252967/68922/212892/104362/54562/207607/11747/21689/226265/66793/71860/76568/100048534/69707/17427/235345/52028/71233/226162/380773/320244/77609/17295/69329/109065/105833/68708/232943/20322"
"GO:0097722","GO:0097722","sperm motility",65,0.729115883377914,2.17254837914555,3.15131097002437e-07,0.000112171184960405,0.000101675635490426,1447,"tags=45%, list=14%, signal=39%","114602/74052/330830/269701/18830/207686/252967/68922/104362/54562/207607/11747/226265/66793/71860/100048534/69707/17427/235345/71233/226162/380773/320244/77609/17295/69329/68708/232943/20322"
