"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0031514","GO:0031514","motile cilium",141,0.680534028399962,2.24750270605809,1e-10,3.24e-08,2.81578947368421e-08,1034,"tags=33%, list=10%, signal=31%","13036/214704/330830/269701/207686/252967/68922/212892/54562/207607/21689/226265/12484/69987/242584/66793/26370/22092/11475/74665/71860/75533/242646/213575/76568/100048534/16828/69707/432611/17427/69310/75556/109905/52028/18648/56486/68201/71233/17349/20686/330577/78801/73721/75495/18000/380773/17118"
"GO:0097060","GO:0097060","synaptic membrane",375,-0.437540827138079,-1.92705319721872,1e-10,3.24e-08,2.81578947368421e-08,1765,"tags=35%, list=16%, signal=30%","17957/60409/272381/20981/23792/56320/245684/20616/14812/210274/23859/108071/16531/13429/20273/12558/320873/19281/18530/16728/20265/24050/64085/11441/211134/67043/18191/241770/21366/74342/216028/16498/23969/20779/103967/20511/19211/192167/19283/13838/13405/76108/16443/12300/72555/232370/243621/109676/140492/232975/207728/14270/16522/52882/245666/215114/11941/99738/54393/12669/104015/16524/229521/226548/12805/19158/94332/16502/64011/13643/269060/72393/12293/14400/243499/226016/107528/70178/23964/18483/11444/18213/116837/229791/100986/238988/14800/26422/18189/67979/14402/13807/330814/22782/268882/20320/224997/14811/16490/11539/53310/239217/14401/232813/20908/241727/108073/16519/230904/13841/56177/54645/244723/320405/108100/14799/67972/433182/14394/14397/71436/19157/217480/16518/11838/107065/12564/12565/14806/13199/13821/232333"
"GO:0005930","GO:0005930","axoneme",103,0.712084527403341,2.25953994892622,2.0774613138619e-10,4.48731643794171e-08,3.89979579970568e-08,1420,"tags=46%, list=13%, signal=40%","13036/207686/75472/68922/75434/212892/75504/207607/21689/69315/66717/69987/242584/66793/22092/74665/66061/71860/242646/213575/22142/13427/100048534/329831/433700/432611/17427/69310/75556/52028/56486/71233/227613/71492/67483/69327/330577/18000/56350/75429/74682/77609/69329/75563/105833/73916/74244"
"GO:0098984","GO:0098984","neuron to neuron synapse",381,-0.423804633593518,-1.87022740764831,4.65992612789876e-10,7.54908032719599e-08,6.56068546954167e-08,1629,"tags=28%, list=15%, signal=25%","64085/69635/11441/211134/242667/545156/56258/66860/241638/216028/16498/432442/23969/103967/17974/192167/19283/15569/13838/13405/20404/23821/17755/12300/72555/232370/107932/243621/109676/232975/14815/56013/14270/52882/245666/17758/70546/226180/77531/77097/11941/26557/12669/22629/229521/19085/13643/269060/18222/109934/243499/226016/70178/244310/18483/17756/116837/229791/100986/73728/14800/19290/18189/11519/12323/14000/22782/268882/20320/110784/243743/26413/382056/20408/22671/21960/16646/224997/12322/14811/60597/11539/53310/232813/108073/13829/236915/18163/13841/20965/19229/66259/226359/108100/14799/105853/71436/18762/19058/217480/11838/107065/12565/14806/81489/13821/22784/72003"
"GO:0099572","GO:0099572","postsynaptic specialization",369,-0.38951562376497,-1.72325476341323,5.85106911752e-08,5.41641826878994e-06,4.70725109454616e-06,2089,"tags=33%, list=19%, signal=28%","110355/20964/18481/272381/56320/245684/20616/14812/210274/23859/68097/56637/228836/330914/320119/108071/269180/214230/20273/12558/320873/19281/64085/69635/11441/211134/242667/545156/56258/66860/241638/74342/216028/16498/23969/20779/103967/17974/192167/19283/13838/13405/17755/12300/72555/232370/243621/109676/14815/56013/14270/52882/245666/19073/17758/70546/226180/77531/77097/11941/26557/12669/229521/19158/13643/269060/18222/109934/14400/243499/226016/70178/244310/18483/17756/11444/116837/229791/100986/73728/14800/19290/14402/11519/12323/14000/22782/268882/20320/110784/26413/382056/20408/22671/16646/224997/12322/14811/60597/53310/14401/232813/13829/236915/18163/13841/20965/19229/66259/17096/108100/14799/14394/14397/71436/18762/217480/11838/107065/14806/81489/13821"
"GO:0030312","GO:0030312","external encapsulating structure",221,0.554886119266374,1.9199831759861,1.99015870076791e-07,1.2896228380976e-05,1.12077358411666e-05,825,"tags=24%, list=8%, signal=22%","18828/268977/20200/20197/12258/68588/329941/30806/11816/71660/22403/14219/16854/11747/20692/16852/20194/116847/11745/21859/14268/11746/12496/20195/11600/73368/11475/20719/110595/14066/75426/17387/16779/13014/13030/22339/64138/321007/21857/13033/57875/70370/12306/16426/107581/21817/58859/12162/11727/13383/18208/70361"
"GO:0031012","GO:0031012","extracellular matrix",221,0.554886119266374,1.9199831759861,1.99015870076791e-07,1.2896228380976e-05,1.12077358411666e-05,825,"tags=24%, list=8%, signal=22%","18828/268977/20200/20197/12258/68588/329941/30806/11816/71660/22403/14219/16854/11747/20692/16852/20194/116847/11745/21859/14268/11746/12496/20195/11600/73368/11475/20719/110595/14066/75426/17387/16779/13014/13030/22339/64138/321007/21857/13033/57875/70370/12306/16426/107581/21817/58859/12162/11727/13383/18208/70361"
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse",128,-0.516416428870312,-2.01762933332433,6.10239506532121e-07,2.72426540160432e-05,2.36757958066652e-05,2072,"tags=38%, list=19%, signal=31%","11784/20964/76742/20616/22418/56637/108071/18530/16728/18759/26420/216238/13838/18803/76108/22421/20404/12300/18472/245666/19073/226180/215114/77531/54393/12669/104015/229521/19085/109934/18577/14400/14800/18189/22782/20320/21960/12322/20908/19055/13841/20965/19229/108100/11461/18762/19058/217480/107065"
"GO:0019898","GO:0019898","extrinsic component of membrane",147,-0.47550466558777,-1.87525808165932,7.65659929719753e-07,2.91851549681412e-05,2.53639667120785e-05,1793,"tags=34%, list=17%, signal=29%","16480/12558/320873/17207/30948/18710/14680/545156/52635/14681/16498/20779/23805/66237/109676/18706/192157/66335/73834/19158/14677/16451/11964/67474/18577/23964/75669/11973/11789/14708/116837/74718/100986/26422/11966/230904/56177/20965/54645/244723/52639/17096/66840/14688/19157/75219/217480/12564/12565/12702"
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber",473,0.445748992236469,1.62013200214363,3.8771626798308e-06,0.000139577856473909,0.000121303042906987,1726,"tags=25%, list=16%, signal=22%","13036/67971/76854/75472/22352/68922/75434/75504/53318/14580/11816/17988/21689/227753/22350/11799/69987/104215/102747/75547/17245/22092/26951/74187/22146/18221/107993/71860/68041/213575/17751/22142/13427/77521/326618/27428/329831/110893/50850/211660/12042/73910/23924/64383/433700/14609/13589/432611/16907/17427/68796/69310/75556/104318/13169/83945/15481/16905/12464/56486/67068/13383/71233/227613/18826/67483/103768/69327/217705/330577/226154/102124/18000/56350/71584/75429/75786/399591/17118/22143/12468/22330/73738/74410/240121/72416/320244/67880/70218/108911/55963/103733/233335/26396/68732/19200/214444/232943/223915/78785/17760/215690/16553/56378/546143/66734/30794/66302/13426/56455/235180/21371/22240/75465/16906/24086/237868/215280/12465/83431"
