"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0061134","GO:0061134","peptidase regulator activity",84,0.666739925321232,2.04416512636953,8.11963603634145e-07,0.000753502224172487,0.000639314500545622,706,"tags=27%, list=7%, signal=26%","232345/13036/12258/53614/19122/11799/21859/14268/235505/67701/17035/20719/110595/14433/13014/21857/12042/12306/16426/12633/18542/103554/12266"
"GO:0003735","GO:0003735","structural constituent of ribosome",155,0.54832813365935,1.81632108115941,3.22141279727952e-05,0.00747367768968848,0.00634109676938179,3194,"tags=61%, list=30%, signal=43%","64658/66973/27176/64659/94063/68052/67115/66292/76808/27367/22186/69527/75398/269261/67941/66448/20115/67281/20116/20088/19943/19941/54217/75617/22121/20054/64656/353242/67025/67681/94061/19946/67945/19942/20068/68193/19935/19951/68537/66475/20044/64657/68565/20104/19981/94062/68028/18120/27393/56040/66416/268449/68463/19921/19989/57294/66483/68735/26961/20005/65019/66480/19934/114641/216767/11837/67671/270106/66242/64660/319195/16785/24030/20085/19933/66845/66489/19982/19944/16898/67427/20102/27207/20090/14109/107732/100502825/94064/267019/100043813/68611/19896/27370/67248"
"GO:0048306","GO:0048306","calcium-dependent protein binding",59,0.662262535189619,1.89599341938768,9.8156893965416e-05,0.0130127996571294,0.0110408055167115,245,"tags=20%, list=2%, signal=20%","232345/20200/20197/20198/20194/338367/69987/11745/66793/20203/11746/20195"
"GO:0008528","GO:0008528","G protein-coupled peptide receptor activity",26,0.770002642391922,1.90400652069375,0.000113963523695145,0.0132197687486368,0.01121640996368,181,"tags=19%, list=2%, signal=19%","381853/18217/246313/54598/13618"
"GO:0008066","GO:0008066","glutamate receptor activity",15,-0.780021661607563,-1.94196791128218,0.000176706448183544,0.0166095489864943,0.0140924939222978,522,"tags=40%, list=5%, signal=38%","14800/14811/108073/19229/14799/14806"
"GO:0051219","GO:0051219","phosphoprotein binding",78,-0.505659746166771,-1.80963518361904,0.000189117011368388,0.0166095489864943,0.0140924939222978,1886,"tags=32%, list=18%, signal=27%","218397/18708/68441/18710/12418/56480/19645/20779/17974/18803/235497/29815/18472/16004/93687/12295/50754/12296/26413/12390/50915/17096/237253/11432/12702"
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",221,-0.370954412812115,-1.5434672211538,0.000231701727406115,0.0166095489864943,0.0140924939222978,1238,"tags=20%, list=12%, signal=18%","18124/15251/22059/14815/68837/17933/233887/17132/15499/18029/235682/18032/17258/18508/26427/18423/59016/11910/215418/104156/17261/21685/12611/15273/18023/18028/13655/58208/68910/21907/18013/56218/15370/225872/16476/18012/13653/14282/17260/16601/217082/14281/13656/16477"
"GO:0038023","GO:0038023","signaling receptor activity",319,0.436741812059271,1.53825104694312,0.000232676871578045,0.0166095489864943,0.0140924939222978,849,"tags=13%, list=8%, signal=12%","381853/13036/16155/17289/18439/14396/18217/76854/53614/83433/246313/19122/15564/16854/16974/54598/13618/13610/12215/68957/54199/21834/26364/11555/13176/27078/11303/18212/14066/16542/14131/21939/19411/14130/228139/14763/12257/235611/12517/74229/20607/27403"
"GO:0060089","GO:0060089","molecular transducer activity",319,0.436741812059271,1.53825104694312,0.000232676871578045,0.0166095489864943,0.0140924939222978,849,"tags=13%, list=8%, signal=12%","381853/13036/16155/17289/18439/14396/18217/76854/53614/83433/246313/19122/15564/16854/16974/54598/13618/13610/12215/68957/54199/21834/26364/11555/13176/27078/11303/18212/14066/16542/14131/21939/19411/14130/228139/14763/12257/235611/12517/74229/20607/27403"
"GO:0042578","GO:0042578","phosphoric ester hydrolase activity",237,-0.353769208661914,-1.49113535014699,0.000299778516164308,0.0180847035185275,0.0153440996277888,1422,"tags=22%, list=13%, signal=20%","19211/103466/19283/66569/18803/72102/235044/219135/105352/227120/15368/19054/207728/16330/19272/235584/101490/320717/320472/104015/18799/53892/20598/381511/18573/53332/77015/18577/19246/19252/72519/57028/229791/67603/56196/55980/74302/19258/12531/77626/56405/67881/19055/18795/243382/242864/231571/14688/320634/11432/19058/75219/81535"
