"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006119","GO:0006119","oxidative phosphorylation",133,-0.70778261892037,-2.15125782683116,1e-10,8.40379528690761e-08,7.64486376178244e-08,1800,"tags=51%, list=17%, signal=43%","66148/68202/226646/67126/66495/66052/72900/27369/17716/17705/13063/14297/103172/67273/17993/70316/26914/67530/75406/28080/66445/68342/11958/54405/66916/67184/67264/66416/11957/407785/67680/66383/67130/78330/11950/66414/66046/17718/68375/68198/57320/12859/104130/230075/68194/66576/68197/67267/12868/66377/12866/66091/70556/66594/66218/12861/57423/71679/17710/17991/12857/66152/66142/102631912/22272/69875/12867/14004"
"GO:0002181","GO:0002181","cytoplasmic translation",132,-0.693874261546221,-2.10702294956403,1e-10,8.40379528690761e-08,7.64486376178244e-08,1997,"tags=57%, list=19%, signal=47%","218693/65019/19933/27367/55944/19989/66405/319195/20104/19896/68028/13685/26961/20103/57808/19943/22608/19988/268449/68092/67186/68052/54127/66480/67427/27207/20005/68193/26451/269261/76846/19946/114641/20116/20088/68995/68436/75617/11837/20084/14109/54217/27370/20115/20055/67025/67248/19921/16898/19942/66475/20090/78294/19981/66481/20042/20085/267019/22121/19951/19899/20054/20068/67671/27176/67115/16785/27050/56040/76808/67945/20044/22186/270106/19941"
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",101,-0.710976848639501,-2.0908892451607,1.00161801689279e-10,8.40379528690761e-08,7.64486376178244e-08,1773,"tags=53%, list=16%, signal=45%","68202/226646/67126/66495/66052/72900/66401/11674/17716/83433/228033/17705/75533/67273/17993/70316/75406/28080/68342/11958/54405/66916/67184/67264/18102/66416/11957/56248/407785/13806/67680/11951/67130/78330/11950/66414/66046/17718/68375/68198/104130/230075/68194/68197/66377/66091/66218/27425/57423/71679/17991/102631912/69875/18103"
"GO:0009060","GO:0009060","aerobic respiration",172,-0.667279321250415,-2.07515528402275,1e-10,8.40379528690761e-08,7.64486376178244e-08,1800,"tags=45%, list=17%, signal=38%","66148/68202/226646/67126/66495/66052/72900/56327/27369/17716/17705/11564/66128/13063/14297/103172/67273/17993/70316/26914/67530/75406/28080/66445/68342/11958/54405/66916/269951/74450/67184/67264/66416/11957/407785/67680/14533/66383/67130/78330/11950/66414/66046/17718/68375/68198/57320/12859/104130/230075/69089/68194/66576/68197/67267/239017/12868/66377/12866/66091/70556/66594/66218/12861/57423/71679/17710/17991/12857/66152/66142/102631912/67472/22272/69875/12867/14004"
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process",182,-0.629972210275462,-1.95938900291396,1.15436748446533e-10,8.40379528690761e-08,7.64486376178244e-08,1788,"tags=41%, list=17%, signal=35%","67763/68202/226646/67126/236900/66495/66052/72900/269614/66401/11674/27369/231327/17716/83433/228033/17705/11564/23972/75533/14381/67273/14923/17993/70316/78914/75406/74023/28080/68342/11958/54405/14450/66916/269951/74450/67184/67264/70456/18102/66416/11534/11957/18159/66355/56248/407785/13806/67680/11951/67130/78330/11950/66414/66046/17718/68375/68198/104130/230075/68194/68197/66377/66091/66812/66218/27425/433256/57423/71679/17991/102631912/55951/69875/18103"
"GO:0045333","GO:0045333","cellular respiration",211,-0.626864686183269,-1.9590504705951,1e-10,8.40379528690761e-08,7.64486376178244e-08,2042,"tags=44%, list=19%, signal=36%","14466/15926/66043/67892/68349/17709/20656/50799/66148/68202/226646/67126/66495/66052/72900/56327/27369/17716/100126824/17705/11564/110826/66128/13063/14297/103172/71803/67273/17993/70316/26914/67530/75406/28080/12028/66445/68342/11958/66494/54405/66916/269951/74450/67184/67264/16155/66416/11957/407785/67680/14533/66383/67130/78330/11950/66414/66046/17718/68375/68198/57320/12859/104130/230075/69089/68194/66576/68197/67267/239017/12868/66377/12866/66091/70556/66594/67885/66218/12861/66170/57423/71679/17710/17991/12857/66152/66142/102631912/67472/22272/69875/12867/14004"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds",272,-0.590168695261356,-1.88169435833041,1.00649880425199e-10,8.40379528690761e-08,7.64486376178244e-08,1429,"tags=36%, list=13%, signal=32%","50799/11652/11364/66148/68202/27357/226646/67126/66495/66052/72900/56327/27369/17716/100126824/17705/16548/11564/110826/66128/13063/15289/14297/103172/71803/67273/17993/70316/26914/67530/58200/75406/28080/12028/109042/66445/68342/11958/66494/54405/66916/269951/74450/19062/67184/67264/16155/66416/11957/407785/67680/14533/66383/19047/67130/78330/11950/66414/66046/17718/20203/68375/68198/57320/12859/104130/230075/69089/68194/66576/68197/67267/239017/12868/66377/12866/66091/70556/66594/67885/66218/12861/66170/57423/71679/17710/216558/17991/12857/66152/66142/102631912/67472/74185/22272/69875/12867/14004/17751"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse",224,0.506803191899673,2.00805596503004,2.21130480008097e-10,1.02443720556479e-07,9.31922137756614e-08,1614,"tags=32%, list=15%, signal=28%","140919/67979/64176/20965/17957/18751/22318/269774/56044/26875/19085/67300/11964/109880/327814/20964/54524/111173/20404/229521/18805/14809/219228/83493/20616/19877/67474/20979/17999/74006/104015/216856/103967/12725/12330/224671/108012/192167/27062/18189/56807/15114/67602/19058/268882/19211/19056/12890/20983/65114/11975/56216/238276/12287/70495/22421/54525/22317/13429/12290/69017/213760/12217/94190/20907/76252/72194/20910/11838/11966/18196/73834"
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process",177,-0.621963234768593,-1.92987751752351,1.06573131922074e-09,3.62064453516592e-07,3.29367068761272e-07,1788,"tags=40%, list=17%, signal=34%","67763/68202/226646/67126/236900/66495/66052/72900/269614/66401/11674/231327/17716/83433/228033/17705/11564/23972/75533/14381/67273/14923/17993/70316/75406/28080/68342/11958/54405/14450/66916/74450/67184/67264/70456/18102/66416/11534/11957/18159/66355/56248/407785/13806/67680/11951/67130/78330/11950/66414/66046/17718/68375/68198/104130/230075/68194/68197/66377/66091/66812/66218/27425/433256/57423/71679/17991/102631912/55951/69875/18103"
"GO:0006836","GO:0006836","neurotransmitter transport",154,0.540017410185511,2.06880704961489,2.30891418041149e-09,5.88311333168848e-07,5.3518200265959e-07,1558,"tags=32%, list=14%, signal=28%","140919/64176/20965/17957/21366/20511/18751/22318/17260/18479/26875/241263/109880/327814/20964/111173/229521/18191/98660/14809/20616/67474/20979/229706/74006/104015/192167/27062/18189/15370/268882/14395/12890/20983/56216/12287/22421/54525/19276/22317/269642/12290/69017/213760/108030/20907/102857/72194/20910/14758"
"GO:0007269","GO:0007269","neurotransmitter secretion",124,0.563877069205105,2.10200152291169,9.22882555579334e-09,1.88120380129291e-06,1.71131569464058e-06,1556,"tags=33%, list=14%, signal=29%","64176/20965/17957/18751/22318/17260/18479/26875/241263/109880/327814/20964/111173/229521/18191/14809/20616/67474/20979/74006/104015/192167/27062/18189/15370/268882/12890/20983/56216/12287/22421/54525/19276/22317/12290/69017/213760/108030/20907/72194/20910"
"GO:0099643","GO:0099643","signal release from synapse",124,0.563877069205105,2.10200152291169,9.22882555579334e-09,1.88120380129291e-06,1.71131569464058e-06,1556,"tags=33%, list=14%, signal=29%","64176/20965/17957/18751/22318/17260/18479/26875/241263/109880/327814/20964/111173/229521/18191/14809/20616/67474/20979/74006/104015/192167/27062/18189/15370/268882/12890/20983/56216/12287/22421/54525/19276/22317/12290/69017/213760/108030/20907/72194/20910"
