"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044391","GO:0044391","ribosomal subunit",184,-0.735968353308101,-2.26541511305949,1e-10,5.00769230769231e-09,4.10526315789474e-09,1632,"tags=55%, list=15%, signal=47%","68463/19896/66047/216767/67840/66483/75398/67681/26961/24030/20103/57808/19943/19988/64660/268449/94066/67186/68052/54127/66480/67427/27207/66845/67308/56282/66292/66077/68499/20005/68193/26451/269261/66230/121022/67941/76846/19946/114641/67281/20116/66229/68836/20088/68995/100043813/66121/68565/68436/75617/11837/107733/20084/14109/54217/27370/20115/20055/67025/67248/19921/16898/20826/19942/66475/20090/78294/19981/66481/20042/66489/68611/20085/267019/94064/22121/19951/66448/19899/22187/20054/14694/20068/67671/27176/67270/67115/16785/57294/64659/14548/27050/19935/56040/76808/67945/20044/72181/22186/270106/19941"
"GO:0022626","GO:0022626","cytosolic ribosome",113,-0.760823537393017,-2.24480542312032,1e-10,5.00769230769231e-09,4.10526315789474e-09,1470,"tags=62%, list=14%, signal=54%","66483/26961/20103/57808/19943/19988/268449/67186/68052/54127/66480/67427/27207/20005/68193/26451/269261/67941/76846/19946/114641/67281/20116/66229/20088/68995/100043813/68436/75617/11837/20084/14109/54217/27370/20115/20055/67025/67248/19921/16898/20826/19942/66475/20090/78294/19981/66481/20042/66489/20085/267019/22121/19951/19899/22187/20054/20068/67671/27176/67115/16785/57294/27050/56040/76808/67945/20044/22186/270106/19941"
"GO:0015934","GO:0015934","large ribosomal subunit",112,-0.739239771285948,-2.17628189094701,1e-10,5.00769230769231e-09,4.10526315789474e-09,1974,"tags=61%, list=18%, signal=50%","65019/19933/27367/66409/68572/19989/319195/94063/68463/19896/66047/216767/67840/66483/75398/67681/26961/57808/19943/19988/268449/94066/67186/66480/66845/67308/56282/68499/20005/68193/26451/269261/19946/114641/67281/66229/68836/68565/68436/11837/107733/54217/67025/67248/19921/20826/19942/19981/20042/66489/68611/94064/22121/19951/66448/19899/67671/27176/67270/67115/19935/56040/76808/67945/72181/22186/270106/19941"
"GO:0098803","GO:0098803","respiratory chain complex",83,-0.768505231883886,-2.17613415547218,1e-10,5.00769230769231e-09,4.10526315789474e-09,1231,"tags=57%, list=11%, signal=51%","67273/17993/70316/67530/75406/66445/68342/54405/66916/67184/67264/66416/407785/67680/67130/78330/100041273/66414/66046/17718/110323/68375/17992/68198/12859/104130/230075/68194/66576/68197/12868/66377/12866/66091/66594/66218/12861/17710/17991/12857/66152/66142/102631912/22272/12864/69875/12867"
"GO:0005746","GO:0005746","mitochondrial respirasome",83,-0.76826852646555,-2.17546388970916,1e-10,5.00769230769231e-09,4.10526315789474e-09,1231,"tags=57%, list=11%, signal=51%","67273/17993/70316/67530/75406/66445/68342/54405/66916/67184/67264/66416/407785/67680/67130/78330/100041273/66414/66046/17718/110323/68375/17992/68198/12859/104130/230075/68194/66576/68197/12868/66377/12866/66091/66594/66218/12861/17710/17991/12857/66152/66142/102631912/22272/12864/69875/12867"
"GO:0005840","GO:0005840","ribosome",225,-0.693104056242813,-2.16672523737082,1e-10,5.00769230769231e-09,4.10526315789474e-09,1632,"tags=46%, list=15%, signal=40%","68463/19896/66047/216767/68028/67840/66483/75398/67681/26961/24030/20103/57808/19943/19988/64660/268449/94066/67186/68052/54127/66480/67427/27207/66845/67308/56282/66292/66077/68499/20005/68193/26451/269261/66230/121022/67941/76846/19946/114641/67281/66416/20116/66229/68836/20088/68995/100043813/66121/68565/68436/75617/11837/107733/20084/14109/54217/27370/20115/20055/67025/67248/19921/16898/20826/19942/66475/20090/78294/19981/66481/20042/66489/68611/20085/267019/94064/22121/19951/66448/19899/22187/20054/14694/20068/67671/27176/67270/67115/16785/57294/64659/14548/27050/19935/56040/76808/67945/20044/72181/22186/270106/19941/17751"
"GO:0070469","GO:0070469","respirasome",89,-0.754198534440981,-2.16196713131446,1e-10,5.00769230769231e-09,4.10526315789474e-09,1231,"tags=54%, list=11%, signal=48%","67273/17993/70316/67530/72795/75406/66445/68342/54405/66916/67184/67264/66416/407785/67680/67130/78330/100041273/66414/66046/17718/110323/68375/17992/68198/12859/104130/230075/68194/66576/68197/12868/66377/12866/66091/66594/66218/12861/17710/17991/12857/66152/66142/102631912/22272/12864/69875/12867"
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex",140,-0.71624244742425,-2.15667613990512,1e-10,5.00769230769231e-09,4.10526315789474e-09,2023,"tags=59%, list=19%, signal=48%","433771/66043/66098/68349/17709/56322/66148/68202/226646/67126/78506/66495/66052/72900/17713/17716/228033/17705/103172/67273/17993/70316/67713/67530/75406/28080/66445/68342/11958/54405/66916/67184/67264/66416/11957/21854/407785/67680/224904/11951/67067/67130/70257/78330/66541/11950/100041273/66414/66046/17718/110323/68375/17992/68198/12859/104130/230075/69029/68194/66576/68197/12868/66377/12866/66091/66477/66594/66218/27425/12861/57423/71679/17710/17991/12857/66152/66142/102631912/22272/12864/69875/12867"
"GO:0015935","GO:0015935","small ribosomal subunit",77,-0.767292377191687,-2.15571968837447,1e-10,5.00769230769231e-09,4.10526315789474e-09,1424,"tags=58%, list=13%, signal=51%","24030/20103/64660/68052/54127/67427/27207/66292/66077/66230/121022/67941/76846/20116/20088/68995/100043813/66121/68565/75617/20084/14109/27370/20115/20055/16898/66475/20090/78294/66481/20042/20085/267019/22187/20054/14694/20068/67270/16785/57294/64659/14548/27050/20044/22186"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex",282,-0.667484725285595,-2.11151408877022,1e-10,5.00769230769231e-09,4.10526315789474e-09,1773,"tags=44%, list=16%, signal=38%","66148/68202/94063/226646/67126/78506/66495/66052/72900/68463/66047/216767/30058/17713/67840/75398/17716/67681/228033/24030/17705/12040/110826/11740/66128/66119/53333/14297/64660/66132/103172/67273/94066/17993/70316/231086/67713/67530/75406/380840/66845/67308/28080/56282/66292/12028/66077/68499/66445/68342/11958/54405/67414/66916/66230/121022/67184/67264/66416/11957/21854/68836/66121/68565/407785/67680/107733/224904/66383/11951/338359/67067/67130/70257/78330/66541/11950/100041273/66414/66046/17718/30055/110323/68375/17992/68198/68611/66169/12859/94064/104130/66448/230075/68512/69029/68194/66576/68197/12868/66377/12866/66091/67270/66477/66594/66218/27425/64659/12861/14548/57423/71679/17710/19935/17991/12857/66152/66142/72181/102631912/22272/12864/69875/12867"
