"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","GO:0003735","structural constituent of ribosome",155,-0.761701338059285,-2.32955981450551,1e-10,4.665e-08,4.02105263157895e-08,1632,"tags=60%, list=15%, signal=52%","68463/19896/66047/216767/68028/67840/66483/75398/67681/26961/24030/20103/57808/19943/19988/64660/268449/94066/67186/68052/54127/66480/67427/27207/66845/67308/56282/66292/20005/68193/26451/269261/121022/67941/76846/19946/114641/67281/66416/20116/66229/68836/20088/100043813/68565/68436/75617/11837/107733/20084/14109/54217/27370/20115/20055/67025/67248/19921/16898/19942/66475/20090/78294/19981/66481/20042/66489/68611/20085/267019/94064/22121/19951/66448/19899/22187/20054/20068/67671/27176/67115/16785/57294/64659/27050/19935/56040/76808/67945/20044/22186/270106/19941"
"GO:0005198","GO:0005198","structural molecule activity",382,-0.606976796746618,-1.9551580196025,1e-10,4.665e-08,4.02105263157895e-08,1676,"tags=40%, list=16%, signal=35%","94216/16907/13007/68463/19896/66047/216767/22153/68028/67840/66483/29817/58859/75398/67681/68051/26961/22151/24030/20103/58187/57808/19943/69675/19988/50709/64660/268449/13138/17196/94066/15078/56378/15081/67186/26914/68052/54127/66480/23997/18208/59042/69386/67427/27207/66845/67308/50791/56282/66292/16905/20005/68193/12386/22330/26451/269261/69253/121022/67941/76846/19946/114641/17904/67281/22145/66416/107581/20116/66229/319158/68836/329941/20088/268534/268977/100043813/68565/68436/53318/66395/75617/11837/107733/20084/14109/54217/20648/27370/20115/20055/67025/22146/67248/19921/116847/16898/319155/20563/19942/66475/20090/78294/19981/227699/66481/16939/20042/66489/51788/68611/20085/267019/94064/22121/13008/19951/14958/66448/19899/22187/20054/12335/20068/67671/27176/67115/16785/57294/233335/64659/27050/19935/22352/56040/12955/76808/67945/20044/22186/50708/14580/227613/73710/270106/77605/19941/69482/22143/20692/22142"
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor",28,-0.82251269626221,-2.04055998164546,6.38618745065397e-07,0.000198610429715339,0.000171194639028057,1006,"tags=57%, list=9%, signal=52%","21672/69675/54683/14870/11758/76263/57320/18477/66447/14871/69590/93684/14775/625249/14778/56615"
"GO:0004364","GO:0004364","glutathione transferase activity",16,-0.862793989120647,-1.89332448186408,2.16561435785362e-05,0.00336753032646237,0.00290268310421081,934,"tags=50%, list=9%, signal=46%","14870/14862/14860/76263/14866/66447/14871/56615"
"GO:0016209","GO:0016209","antioxidant activity",45,-0.708988491532286,-1.89731270410134,6.31218408509469e-05,0.00736158468924168,0.00634540610659518,1006,"tags=36%, list=9%, signal=32%","54683/14870/20364/11758/76263/57320/18477/66447/14871/69590/11816/93684/14775/625249/14778/56615"
"GO:0004672","GO:0004672","protein kinase activity",355,0.342140934182152,1.4257503896509,9.97418913855235e-05,0.0103399094069659,0.00891260877409824,1991,"tags=27%, list=18%, signal=23%","26413/69131/13175/20817/18751/18749/12575/269774/18213/216965/18479/20620/13838/18481/18754/13841/109880/64293/71340/270627/231876/26395/110279/67468/240880/228012/13839/19877/16589/330177/18759/58231/16337/26420/27373/16798/214897/213452/21848/15259/26416/22367/16886/15275/16452/20874/16451/12325/75669/11302/320795/19106/20779/56527/21969/26398/55984/58800/27273/12660/108058/227541/18186/12323/71742/13840/18706/56717/18647/12545/20112/320119/57740/665113/23938/105787/19878/18187/170755/218699/70568/70425/109333/12995/93687/75770/18607/217124/11836/268930/13549/217410/16885/13848/66878"
"GO:0005507","GO:0005507","copper ion binding",33,-0.736561921015191,-1.87278487141192,0.00014711820896132,0.0131630167326902,0.011346019951233,1429,"tags=48%, list=13%, signal=42%","12460/67892/17709/100126824/67675/18439/12856/12870/11927/20196/210808/19122/57320/17846/17748/17751"
"GO:0042393","GO:0042393","histone binding",185,0.395684199594493,1.5499161815747,0.000155190979699456,0.0131630167326902,0.011346019951233,1852,"tags=29%, list=17%, signal=24%","18751/278240/52808/270627/208727/66505/14479/17354/66471/243272/110052/56086/233726/12648/72103/67772/16468/21848/232811/26356/22367/16452/75339/241915/50927/83946/320795/244059/107932/17975/338523/22589/75725/74022/69188/21951/67628/15182/103537/71777/214669/72480/216848/233532/20846/228880/26992/214899/381678/67155/109331/69202/101867"
"GO:0016773","GO:0016773","phosphotransferase activity, alcohol group as acceptor",426,0.315259545341416,1.32127851123439,0.000262544478408412,0.020412833196254,0.0175950860968445,2022,"tags=26%, list=19%, signal=22%","26413/69131/13175/20817/18751/18749/12575/269774/18213/216965/18479/20620/13838/217480/18481/18754/13841/109880/64293/71340/270627/227333/231876/26395/110279/216134/67468/240880/228012/13839/70974/19877/16589/330177/18759/58231/16337/26420/27373/16798/214897/213452/224020/21848/211347/110197/15259/26416/22367/16886/15275/16452/108083/20874/16451/12325/75669/11302/320795/19106/20779/56527/18642/21969/26398/55984/215015/75320/58800/27273/12660/108058/227541/18186/12323/71742/13840/18706/56717/18647/12545/20112/320119/57740/665113/23938/105787/19878/18187/170755/218699/70568/70425/109333/22245/12995/93687/75770/18607/217124/69976/11836/268930/13549/217410/16885/13848/66878/54391/18717"
"GO:0030414","GO:0030414","peptidase inhibitor activity",52,-0.652915048020871,-1.76583459549096,0.000333841647342475,0.0239595582285023,0.0206522282242632,1318,"tags=38%, list=12%, signal=34%","18550/14433/53614/17035/12258/229898/12266/13014/232345/11799/20716/23980/69550/19122/12380/18049/16426/19703/21859/13010"
