"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis",69,-0.844906328200875,-2.85439528472183,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=68%, list=9%, signal=63%","66495/11950/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/17717/11951/104130/11958/66052/230075/102631912/70316/68375/67942/66046/17705/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/66416/68194/71679/68198/17718/69875/66091"
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",65,-0.839009921973201,-2.8332324972981,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=66%, list=9%, signal=61%","66495/11950/78330/407785/17706/67680/595136/28080/226646/75406/17993/72900/66916/17717/104130/11958/66052/230075/102631912/70316/68375/66046/17705/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/57423/67130/66416/68194/71679/68198/17718/69875/66091"
"GO:0006119","GO:0006119","oxidative phosphorylation",133,-0.731971053021742,-2.68033587650993,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=50%, list=9%, signal=46%","66495/20463/11950/78330/407785/17706/67680/595136/28080/226646/75406/17993/68943/72900/66916/67530/17717/66383/104130/11958/66052/230075/17709/102631912/70556/70316/68375/17711/103172/27369/66046/17705/225887/17991/11957/17716/66414/66576/12859/54405/68342/66218/67184/66377/68197/66148/57423/67267/67130/66142/66416/68194/71679/12861/66152/68198/22272/17718/12867/12868/12857/69875/17710/14004/66594/66091"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process",102,-0.758892193793084,-2.67014478137412,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=51%, list=9%, signal=47%","66495/11950/56248/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/18103/17717/11951/104130/11958/66052/230075/102631912/70316/79059/68375/67942/66046/17705/11534/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/75533/66416/68194/71679/68198/17718/69875/66091"
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",101,-0.756217932430336,-2.65167641465643,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=50%, list=9%, signal=46%","66495/11950/56248/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/18103/17717/11951/104130/11958/66052/230075/102631912/70316/79059/68375/67942/66046/17705/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/75533/66416/68194/71679/68198/17718/69875/66091"
"GO:0006754","GO:0006754","ATP biosynthetic process",92,-0.754702309049927,-2.63005154184398,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=52%, list=9%, signal=48%","66495/11950/56248/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/17717/11951/104130/11958/66052/230075/102631912/70316/68375/67942/66046/17705/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/66416/68194/71679/68198/17718/69875/66091"
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process",105,-0.741272439779635,-2.61712514922974,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=49%, list=9%, signal=45%","66495/11950/56248/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/18103/17717/11951/104130/11958/66052/230075/102631912/70316/79059/68375/67942/66046/17705/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/75533/66416/68194/71679/68198/17718/69875/66091"
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",74,-0.762982735345944,-2.61612760335708,1e-10,2.0392e-08,1.73768421052632e-08,1495,"tags=68%, list=14%, signal=59%","66694/68349/12862/12534/66072/13063/67892/57320/66445/67914/66826/107197/215951/20463/78330/407785/67680/226646/75406/68943/72900/67530/17717/66383/66052/230075/17709/68375/17711/27369/225887/17716/66414/66576/12859/66218/68197/66148/66142/66416/12861/66152/22272/17718/12867/12868/12857/17710/14004/66594"
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",72,-0.763811356255227,-2.5953104328468,1e-10,2.0392e-08,1.73768421052632e-08,1902,"tags=68%, list=18%, signal=56%","66694/68349/12862/12534/66072/13063/67892/57320/66445/67914/66826/107197/215951/20463/78330/407785/67680/226646/75406/68943/72900/67530/17717/66383/66052/230075/68375/17711/27369/225887/17716/66414/66576/12859/66218/68197/66148/66142/66416/12861/66152/22272/17718/12867/12868/12857/17710/14004/66594"
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process",111,-0.724508614163969,-2.58088049322769,1e-10,2.0392e-08,1.73768421052632e-08,958,"tags=48%, list=9%, signal=44%","21915/66495/11950/56248/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/18103/17717/11951/104130/11958/66052/230075/102631912/70316/79059/68375/67942/66046/17705/11534/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/75533/66416/68194/71679/68198/17718/69875/66091"
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly",94,-0.723858913949157,-2.53516066602395,1e-10,2.0392e-08,1.73768421052632e-08,1012,"tags=49%, list=9%, signal=45%","52469/20930/66495/407785/67013/595136/226646/75406/17993/66278/66916/68002/544717/66928/66271/75530/17717/104130/66487/230075/102631912/70556/70316/68375/66836/66046/225887/17991/17716/66414/66359/12856/54405/68342/66218/67184/66377/68197/67267/67130/68194/66379/100041273/68198/69875/66091"
"GO:0009060","GO:0009060","aerobic respiration",172,-0.664946689548401,-2.51965719413834,1e-10,2.0392e-08,1.73768421052632e-08,973,"tags=41%, list=9%, signal=38%","269951/66495/20463/11950/78330/407785/17706/67680/595136/28080/226646/56327/75406/17993/17986/68943/72900/66916/67530/17717/66383/104130/11958/66052/230075/17709/102631912/70556/70316/68375/67472/17711/103172/27369/66046/17705/225887/17991/11957/14533/17716/66414/66576/12859/54405/68342/66218/67184/66377/68197/66148/57423/67267/67130/66142/66416/68194/71679/12861/66152/68198/22272/17718/12867/12868/12857/69875/17710/14004/66594/66091"
