"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex",140,-0.787729618135077,-2.95018542219827,1e-10,4.65e-09,3.68421052631579e-09,947,"tags=55%, list=9%, signal=51%","66495/20463/11950/78330/407785/17706/67680/595136/28080/226646/66449/75406/17993/228033/72900/66916/67530/224904/66928/17717/14356/11951/104130/11958/66052/230075/17709/102631912/69029/67713/70316/68375/17711/103172/67942/67067/70257/66046/17705/225887/17991/11957/17716/66414/66576/12859/54405/17992/68342/66218/67184/66377/110323/68197/66148/27425/57423/67130/66142/66477/66416/68194/100041273/71679/12861/66152/68198/12864/22272/17718/12867/12868/12857/69875/17710/66594/66091"
"GO:0005746","GO:0005746","mitochondrial respirasome",83,-0.835655742053159,-2.90796495188791,1e-10,4.65e-09,3.68421052631579e-09,947,"tags=67%, list=9%, signal=62%","66495/20463/78330/407785/67680/595136/226646/75406/17993/72900/66916/67530/66928/17717/67388/104130/66052/230075/17709/102631912/70316/68375/17711/66046/225887/17991/17716/66414/66576/12859/54405/17992/68342/66218/67184/66377/110323/68197/67130/66142/66416/68194/100041273/12861/66152/68198/12864/22272/17718/12867/12868/12857/69875/17710/66594/66091"
"GO:0098803","GO:0098803","respiratory chain complex",83,-0.828623817488736,-2.88349483919842,1e-10,4.65e-09,3.68421052631579e-09,947,"tags=66%, list=9%, signal=61%","66495/20463/78330/407785/67680/595136/226646/75406/17993/72900/66916/67530/66928/17717/104130/66052/230075/17709/102631912/70316/68375/17711/66046/225887/17991/17716/66414/66576/12859/54405/17992/68342/66218/67184/66377/110323/68197/67130/66142/66416/68194/100041273/12861/66152/68198/12864/22272/17718/12867/12868/12857/69875/17710/66594/66091"
"GO:0070469","GO:0070469","respirasome",89,-0.814648608628056,-2.86531284335421,1e-10,4.65e-09,3.68421052631579e-09,947,"tags=63%, list=9%, signal=58%","66495/20463/78330/407785/67680/595136/226646/75406/17993/72900/66916/67530/66928/17717/67388/104130/66052/230075/17709/102631912/70316/68375/17711/66046/225887/17991/17716/66414/66576/12859/54405/17992/68342/66218/67184/66377/110323/68197/67130/66142/66416/68194/100041273/12861/66152/68198/12864/22272/17718/12867/12868/12857/69875/17710/66594/66091"
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I",49,-0.854552020832304,-2.7006641856405,1e-10,4.65e-09,3.68421052631579e-09,947,"tags=73%, list=9%, signal=67%","66495/78330/407785/595136/226646/75406/17993/72900/66916/66928/17717/104130/230075/102631912/70316/68375/66046/225887/17991/17716/66414/54405/17992/68342/66218/67184/66377/68197/67130/66416/68194/100041273/68198/17718/69875/66091"
"GO:0030964","GO:0030964","NADH dehydrogenase complex",49,-0.854552020832304,-2.7006641856405,1e-10,4.65e-09,3.68421052631579e-09,947,"tags=73%, list=9%, signal=67%","66495/78330/407785/595136/226646/75406/17993/72900/66916/66928/17717/104130/230075/102631912/70316/68375/66046/225887/17991/17716/66414/54405/17992/68342/66218/67184/66377/68197/67130/66416/68194/100041273/68198/17718/69875/66091"
"GO:0045271","GO:0045271","respiratory chain complex I",49,-0.854552020832304,-2.7006641856405,1e-10,4.65e-09,3.68421052631579e-09,947,"tags=73%, list=9%, signal=67%","66495/78330/407785/595136/226646/75406/17993/72900/66916/66928/17717/104130/230075/102631912/70316/68375/66046/225887/17991/17716/66414/54405/17992/68342/66218/67184/66377/68197/67130/66416/68194/100041273/68198/17718/69875/66091"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex",282,-0.671910573321562,-2.69824531637332,1e-10,4.65e-09,3.68421052631579e-09,1557,"tags=47%, list=14%, signal=41%","107734/68202/15929/66047/56282/66841/68499/68572/231086/79044/66541/66445/73078/27397/107197/15108/68611/64655/24030/433771/216767/66258/94064/17713/53333/64660/66495/20463/67840/338359/30058/11950/68735/78330/407785/17706/67680/27398/595136/28080/226646/66449/66230/12040/75406/68565/17993/228033/72900/66916/67530/66121/68463/52443/224904/66928/66169/17717/94065/14356/66292/68537/11951/66383/104130/11958/66052/30055/110826/12039/17827/230075/66845/17709/68512/102631912/69029/67713/70316/68375/17711/121022/103172/67942/67067/67270/70257/66046/17705/225887/17991/11957/17716/66414/107733/66576/12859/54405/17992/64659/68342/66218/67184/66377/110323/223696/68197/66448/66148/27425/57423/67130/66142/66477/66416/68194/100041273/71679/12861/66152/68198/12864/22272/17718/14548/12867/12868/12857/69875/17710/66594/66091"
"GO:0044391","GO:0044391","ribosomal subunit",184,-0.698615917769241,-2.65806721383223,1e-10,4.65e-09,3.68421052631579e-09,1773,"tags=57%, list=16%, signal=49%","319195/66163/19982/106338/19896/67681/67427/107734/66047/56282/68499/68572/79044/75617/65019/20005/66229/100043813/27397/20042/20116/102462/20104/68611/67186/66483/64655/24030/20091/216767/66258/94064/16898/68995/19988/20103/20088/64660/114641/14694/268449/26451/67840/267019/68735/14109/54217/27398/67025/66230/27207/20084/54127/57808/68565/66481/67941/76846/66121/68463/52443/27370/27176/68052/20055/19942/94065/19921/66475/66292/68537/19951/22187/66845/68193/67281/22121/19941/121022/57294/19981/67270/20054/67115/66489/20090/20826/67671/20085/107733/67248/19899/64659/20068/66448/67945/20044/270106/22186/68436/27050/56040/14548/76808/78294"
"GO:0022626","GO:0022626","cytosolic ribosome",113,-0.726338491018381,-2.64073889668681,1e-10,4.65e-09,3.68421052631579e-09,1450,"tags=58%, list=13%, signal=50%","75617/65019/20005/66229/100043813/20042/20116/20104/67186/66483/20091/16898/68995/19988/20103/20088/114641/268449/26451/267019/14109/54217/67025/27207/20084/54127/57808/66481/67941/76846/27370/27176/68052/20055/19942/19921/66475/19951/22187/68193/67281/22121/19941/57294/19981/20054/67115/66489/20090/20826/67671/20085/11815/67248/19899/20068/67945/20044/270106/22186/68436/27050/56040/76808/78294"
"GO:0015934","GO:0015934","large ribosomal subunit",112,-0.70420448642131,-2.55706674345545,1e-10,4.65e-09,3.68421052631579e-09,2282,"tags=63%, list=21%, signal=51%","19946/19943/94062/110954/94066/68836/66480/72181/102060/94063/27393/319195/66163/19982/106338/19896/67681/107734/66047/56282/68499/68572/65019/20005/66229/27397/20042/68611/67186/66483/216767/94064/19988/114641/268449/26451/67840/54217/27398/67025/57808/68565/68463/52443/27176/19942/94065/19921/68537/19951/66845/68193/67281/22121/19941/19981/67270/67115/66489/20826/67671/107733/67248/19899/66448/67945/270106/22186/68436/56040/76808"
