"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","GO:0003735","structural constituent of ribosome",155,-0.727695834471452,-2.6854053568194,1e-10,9.33e-08,7.96842105263158e-08,1588,"tags=59%, list=15%, signal=51%","67681/67427/107734/66047/56282/79044/75617/65019/20005/66229/100043813/27397/20042/20116/102462/20104/68611/67186/66483/64655/24030/20091/216767/66258/94064/16898/19988/20103/20088/64660/114641/268449/26451/67840/267019/68735/14109/54217/27398/67025/27207/20084/54127/57808/68565/66481/67941/76846/68028/68463/27370/27176/68052/20055/19942/94065/19921/66475/66292/68537/19951/22187/66845/68193/67281/22121/19941/121022/57294/19981/20054/67115/66489/20090/67671/20085/107733/67248/19899/64659/20068/66448/67945/20044/270106/66416/22186/68436/27050/56040/76808/78294"
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity",22,-0.835569567855123,-2.21671310515609,8.97658796146976e-06,0.00279171885601709,0.00238430774976583,768,"tags=50%, list=7%, signal=47%","226646/75406/17993/72900/66916/17717/109857/225887/17991/17716/17718"
"GO:0009055","GO:0009055","electron transfer activity",44,-0.726503109247496,-2.23592281412282,1.61800113145056e-05,0.00330957325633776,0.00282658876859895,1493,"tags=50%, list=14%, signal=43%","66841/66445/13057/20930/68165/67680/226646/75406/17993/72900/66916/17717/66052/110826/17709/17711/225887/17991/17716/66576/17718/17710"
"GO:0004672","GO:0004672","protein kinase activity",355,0.453659210722451,1.6351892932016,2.16678193403438e-05,0.00336934590742347,0.00287763846327023,2039,"tags=28%, list=19%, signal=24%","12575/20620/16590/13839/216965/240880/64293/18749/13175/18751/58231/18213/13838/18479/270627/269774/140810/69131/18481/19106/16589/192656/231876/56527/110279/235604/18186/93687/21848/15275/20302/110651/18706/18647/14360/26398/26413/53416/227541/20817/16452/16542/19877/18754/214897/232341/108097/18555/22241/71340/213452/14312/17346/20874/16337/20304/12168/18752/20393/27373/13840/20815/226751/110157/12537/22367/232944/29869/264064/50772/75669/26397/52033/216616/232533/16886/70425/51789/217124/17096/57261/67468/381921/71742/328329/382253/11350/12747/26414/18607/16885/330177/17164/26420/74769/70762/109880/12166/12995/224105/27273"
"GO:0140657","GO:0140657","ATP-dependent activity",362,0.451427982967946,1.62875456003458,3.73888535390316e-05,0.00387597781687961,0.00331033475193531,2113,"tags=30%, list=20%, signal=25%","16574/14081/15201/15519/18861/12469/67979/19348/232975/22027/320940/11426/66634/20927/15516/16568/13424/11981/269523/16952/216848/77579/18669/18195/237877/17918/381290/231912/14828/27410/212880/21354/16560/24015/234733/15526/16561/76252/17885/69597/233532/93760/17913/21454/26568/11931/214987/11980/13209/67487/66821/17920/64340/330409/110920/12648/11975/12282/11964/16572/117599/14211/15525/21973/12468/73804/50771/11946/244059/11966/12496/319955/22201/226153/108888/67772/17688/56459/235661/94213/54343/15505/17250/217265/17685/16564/114714/98660/16570/16581/234374/52513/77987/69981/70099/270163/67997/13682/19356/22589/50755/17874/50790/15510/237806/269610/67848/19179/234664/13204"
"GO:0017111","GO:0017111","ribonucleoside triphosphate phosphatase activity",434,0.440474179437028,1.60465349910286,3.27040160078571e-05,0.00387597781687961,0.00331033475193531,1825,"tags=25%, list=17%, signal=21%","14706/16574/14469/13629/67295/15519/18861/11842/12469/67979/19348/16653/232975/22027/22152/104886/320940/11426/15516/16568/11981/269523/74194/216848/319642/104662/14679/14702/14677/18669/18195/237877/381290/231912/14828/27410/74006/229898/21354/16560/24015/15526/16561/170758/17885/69597/21454/71966/69237/81003/271457/56055/14674/11980/103967/66821/26905/224624/110920/626578/76108/12648/74143/16572/14211/67166/75869/14687/56526/18176/56044/12468/67398/73804/218639/56298/50771/11946/244059/231279/12496/54170/270192/67464/223881/26908/14672/108888/80718/67772/69834/12497/19346/72065/11841/54343/17250/217265/17685/16564/52398/98660/16570/16581/76338/77987/70099"
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups",42,-0.684783073686992,-2.08433998320643,4.46760339620365e-05,0.00416827396865801,0.00355997449571175,1462,"tags=36%, list=14%, signal=31%","56187/14272/68312/15288/71883/76263/66447/103140/14874/14860/14862/14870/56615/14866/232087"
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity",31,-0.75626438893475,-2.11801559607481,6.32084399972137e-05,0.00453642111672311,0.00387439587675229,959,"tags=48%, list=9%, signal=44%","20930/226646/75406/17993/72900/66916/17717/17709/17711/225887/17991/17716/66576/17718/17710"
"GO:0016773","GO:0016773","phosphotransferase activity, alcohol group as acceptor",426,0.426661203704622,1.55103134909201,9.71846927567946e-05,0.00566708239638059,0.00484005344847984,2346,"tags=30%, list=22%, signal=24%","12575/20620/16590/13839/216965/240880/64293/18749/13175/18751/58231/18213/13838/211347/18479/270627/269774/140810/108083/69131/18481/72141/19106/16589/192656/231876/56527/110279/235604/18186/18720/93687/21848/15275/20302/80914/110651/18706/18647/14360/56421/26398/26413/53416/227541/20817/16452/16542/18717/19877/18754/214897/232341/108097/18555/22241/71340/213452/14312/224020/17346/20874/16337/20304/12168/18752/20393/27373/13840/20815/226751/110157/12537/22367/232944/29869/264064/50772/75669/26397/52033/216616/232533/16886/70425/51789/217124/17096/215015/57261/67468/381921/71742/328329/382253/11350/12747/26414/18607/16885/330177/17164/26420/74769/70762/109880/12166/12995/224105/18642/27273/13178/56637/70974/107589/545156/110197/18708/228012/215303/56480/15467/18759/75678/16001/12323/58800/217480"
"GO:0031406","GO:0031406","carboxylic acid binding",117,-0.476855023030154,-1.72800076751215,0.000229632232594002,0.0126027572358943,0.0107635665680284,1529,"tags=29%, list=14%, signal=25%","51793/100039707/68312/104174/15288/13350/65079/18822/52466/19659/19125/232078/268373/16592/20908/19156/18550/72392/54673/18103/15903/14275/320452/17242/15186/20280/224826/76238/11898/14645/15473/14870/19215/232087"
