"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","BP","GO:0003341","cilium movement","30/376","135/10715",0.222222222222222,6.33274231678487,11.8906371042039,2.36334439732107e-16,1.09139244268287e-12,9.71458933846186e-13,"Cfap91/Ulk4/Zmynd10/Ttc21a/Drc7/Iqub/Ccdc146/Cfap251/Ropn1l/Cfap276/Cimip2c/Ccdc40/Cfap69/Dnai1/Eno4/Cfap90/Spaca9/Cfap126/Dnaaf11/Rsph4a/Tekt1/Meig1/Dnai4/Pltp/Cfap52/Clxn/Nme5/Rsph1/Anxa5/Aqp4",30
"GO:0060285","BP","GO:0060285","cilium-dependent cell motility","26/376","111/10715",0.234234234234234,6.67505271228675,11.4611185691534,6.45744651115069e-15,9.94016266283129e-12,8.84783460562928e-12,"Ttc21a/Drc7/Iqub/Ccdc146/Cfap251/Ropn1l/Cfap276/Cimip2c/Ccdc40/Cfap69/Dnai1/Eno4/Cfap90/Spaca9/Cfap126/Dnaaf11/Rsph4a/Tekt1/Meig1/Pltp/Cfap52/Clxn/Nme5/Rsph1/Anxa5/Ift46",26
"GO:0044782","BP","GO:0044782","cilium organization","33/376","288/10715",0.114583333333333,3.2653202570922,7.43150272727134,1.75932328886769e-09,5.41636996532732e-07,4.82116311791461e-07,"Cfap91/Ulk4/Zmynd10/Ttc21a/Drc7/Iqub/Stil/Ccdc146/Cntrob/Ccdc40/Cfap69/Dnai1/Eno4/Hyls1/Cep97/Spaca9/Cfap126/Dnaaf11/Rsph4a/Ccdc96/Tekt1/Meig1/Dnai4/Cimap3/Wwtr1/B9d1/Clxn/Nme5/Dynlt2b/Rsph1/Gsn/Ift46/Dync2li1",33
"GO:0035082","BP","GO:0035082","axoneme assembly","15/376","62/10715",0.241935483870968,6.89451784488675,8.87643636281506,2.3590535812497e-09,6.80881839888194e-07,6.06059489130268e-07,"Cfap91/Ulk4/Zmynd10/Drc7/Ccdc40/Cfap69/Dnai1/Spaca9/Dnaaf11/Rsph4a/Meig1/Dnai4/Clxn/Rsph1/Ift46",15
"GO:0001578","BP","GO:0001578","microtubule bundle formation","16/376","92/10715",0.173913043478261,4.95605920444033,7.26714090852296,1.0603881566573e-07,2.44843625372171e-05,2.17937671144567e-05,"Cfap91/Ulk4/Zmynd10/Drc7/Ccdc40/Cfap69/Dnai1/Spaca9/Tppp3/Dnaaf11/Rsph4a/Meig1/Dnai4/Clxn/Rsph1/Ift46",16
"GO:0003351","BP","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","10/376","33/10715",0.303030303030303,8.63555770470664,8.37725861069168,1.12997916160209e-07,2.48487798489451e-05,2.2118138476472e-05,"Ulk4/Iqub/Ropn1l/Ccdc40/Dnai1/Dnaaf11/Rsph4a/Nme5/Rsph1/Aqp4",10
"GO:0006858","BP","GO:0006858","extracellular transport","10/376","35/10715",0.285714285714286,8.14209726443769,8.0705778654757,2.10460091011398e-07,3.77617985771157e-05,3.36121409230783e-05,"Ulk4/Iqub/Ropn1l/Ccdc40/Dnai1/Dnaaf11/Rsph4a/Nme5/Rsph1/Aqp4",10
"GO:0006959","BP","GO:0006959","humoral immune response","12/376","75/10715",0.16,4.55957446808511,5.89913556473159,1.0369857022023e-05,0.00126021051915005,0.00112172553105262,"Adm/Trem2/A2m/Ccl6/Il1b/Wfdc2/Serping1/Rarres2/Rnase4/Lgals3/Hmgn2/Gapdh",12
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","11/376","70/10715",0.157142857142857,4.47815349544073,5.56743822637477,2.88819214714027e-05,0.00303128893988494,0.00269817950588104,"Gipr/P2rx7/Adm/Gper1/Il1b/Ccrl2/Kdr/Lrp6/Cd24a/Ednrb/Hmgb1",11
"GO:0061620","BP","GO:0061620","glycolytic process through glucose-6-phosphate","6/376","19/10715",0.31578947368421,8.9991601343785,6.65489136089559,3.30153899845028e-05,0.00332104369353005,0.00295609300522779,"Pfkl/Galk1/Gpi1/Eno1/Tpi1/Gapdh",6
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","8/376","40/10715",0.2,5.69946808510638,5.67839022265717,6.12560077351945e-05,0.00565760487442257,0.00503588863591441,"Adm/Ccl6/Wfdc2/Rarres2/Rnase4/Lgals3/Hmgn2/Gapdh",8
"GO:0021782","BP","GO:0021782","glial cell development","13/376","104/10715",0.125,3.56216755319149,5.00698759325218,6.73458568820074e-05,0.00586798428454924,0.00522314937684685,"Ulk4/Mag/Trem2/Il1b/Zfp488/Ndrg1/Vim/Sox10/Cntf/Gfap/Eif2b5/Clu/Ntrk2",13
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","13/376","104/10715",0.125,3.56216755319149,5.00698759325218,6.73458568820074e-05,0.00586798428454924,0.00522314937684685,"Mertk/Tnfaip3/Gper1/Trem2/Ceacam1/Fn1/Lgals3/Cd24a/Lgals1/Apoe/Prnp/Hmgb1/Cd9",13
"GO:0032612","BP","GO:0032612","interleukin-1 production","9/376","54/10715",0.166666666666667,4.74955673758865,5.267545719037,9.62076224879145e-05,0.00793369286873552,0.0070618565002877,"Tnfaip3/P2rx7/Trem2/Ceacam1/Il1b/Inava/S1pr3/Aqp4/Hmgb1",9
"GO:2000147","BP","GO:2000147","positive regulation of cell motility","28/376","370/10715",0.0756756756756757,2.15655549166187,4.31750217932335,0.000106474792428114,0.00847759640401774,0.00754599028006867,"Ctsh/Tnfaip6/Gper1/Trem2/Ccl6/Pgf/Cfap69/Il1b/Perp/Prr5/Fbxo5/Ezh2/Pdgfc/Kdr/Rarres2/Fn1/Lgals3/Anxa3/Vim/Acta2/Angpt1/Igfbp5/Sparc/S100a11/Gpi1/Bsg/Hmgb1/F3",28
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","17/376","173/10715",0.0982658959537572,2.80031668921412,4.55240539057661,0.000120573223765627,0.00943740927711297,0.00840032897064716,"Ctsh/Cybb/Adm/Reck/Ceacam1/Pgf/Il1b/Adrb2/E2f2/Kdr/Lgals3/Anxa3/Emp2/Cnmd/Sparc/Hmgb1/F3",17
