"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044391","CC","GO:0044391","ribosomal subunit","90/1394","184/10713",1.03606501842558e-32,6.40391787888853e-29,6.10951182444223e-29,"Nsun4/Rpl26/Mrpl23/Rps27/Uba52/Rpl13/Rpl41/Rps14/Rplp1/Rpl18a/Rpl7a/Mrpl20/Rpl38/Rps17/Rps15a/Mrps33/Rps27rt/Rack1/Mrps14/Rps15/Rps12/Rpl14/Rpsa/Rps3/Rps21/Mrpl42/Rpl32/Rpl18/Mrpl27/Rpl35/Mrpl52/Rps19/Rpl34/Rps29/Rpl39/Rps26/Mrps28/Rps27a/Rps23/Rpl27/Rpl36/Rps18/Mrpl28/Rpl37a/Rps7/Rpl13a/Mcts1/Chchd1/Fau/Rpl11/Rps25/Rpl12/Mrpl53/Rps16/Rpl27a/Rpl19/Rps8/Mrps18a/Rpl37/Ubb/Rps24/Rps27l/Snu13/Mrpl41/Rps2/Rpl30/Mrps21/Rplp0/Rpl7l1/Rpl31/Rps28/Mrpl46/Rps20/Mrps6/Mrps24/Mrpl33/Mrpl12/Rpl24/Aurkaip1/Rps9/Rps11/Mrpl36/Rpl35a/Rps13/Rpl23a/Rpl15/Rpl9/Rplp2/Rpl28/Rpl6",90
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","103/1394","282/10713",2.17073819600611e-24,2.23622213158562e-21,2.1334167322853e-21,"Nsun4/Ndufa11/Cox7c/Ndufb1/Mrpl23/Uqcrq/Cox6c/Cox7b/Atp5mf/Ndufa2/Uqcr10/COX3/Mrpl20/Atp5mk/Atp5mg/Cox4i1/Cox6a1/Mrps33/Ndufa3/Uqcr11/Ndufb4/Mrps14/Atp5pd/Cox7a2/Tomm7/Ndufb9/Ndufc1/Tomm5/Mrpl42/Ndufc2/Uqcrh/Ndufb6/Mrpl27/Supv3l1/Ndufb2/Smdt1/Cox8a/ND3/Ndufb11/Mrpl52/Immp1l/Mrps28/Timm13/Cox5b/Ndufb4c/Ndufa4/Mrpl28/Romo1/Micos13/Atp5mj/Chchd1/Ndufa6/Ndufb5/Ndufs6/Ndufa12/Cox6b1/Ndufv3/Mrpl53/Ndufa8/Mrps18a/Fxn/Lyrm4/Iscu/Atp5mc1/Mrpl41/Mrps21/Sdhb/Atp5me/Ndufa7/Ndufa1/Atp5pb/Atp5pf/Mrpl46/Mrps6/Prorp/Timm17a/Mrps24/Ndufb7/Mrpl33/Mrpl12/Aurkaip1/Dnajc19/Mrpl36/Ndufb8/Mfn1/Ndufa13/Ndufb10/Mrps36/Uqcrb/Cyc1/Bax/Ndufs4/Ndufs7/Ndufab1/Etfb/Bckdhb/Atp5po/Tomm40/Chchd10/Tomm6/Ndufa10/Hadhb/Slc25a5",103
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","64/1394","140/10713",1.48676309746193e-21,1.31281181505889e-18,1.25245817623786e-18,"Ndufa11/Cox7c/Ndufb1/Uqcrq/Cox6c/Cox7b/Atp5mf/Ndufa2/Uqcr10/COX3/Atp5mk/Atp5mg/Cox4i1/Cox6a1/Ndufa3/Uqcr11/Ndufb4/Atp5pd/Cox7a2/Ndufb9/Ndufc1/Ndufc2/Uqcrh/Ndufb6/Ndufb2/Smdt1/Cox8a/ND3/Ndufb11/Immp1l/Cox5b/Ndufb4c/Ndufa4/Romo1/Micos13/Atp5mj/Ndufa6/Ndufb5/Ndufs6/Ndufa12/Cox6b1/Ndufv3/Ndufa8/Atp5mc1/Sdhb/Atp5me/Ndufa7/Ndufa1/Atp5pb/Atp5pf/Timm17a/Ndufb7/Dnajc19/Ndufb8/Ndufa13/Ndufb10/Uqcrb/Cyc1/Ndufs4/Ndufs7/Ndufab1/Atp5po/Chchd10/Ndufa10",64
"GO:0098803","CC","GO:0098803","respiratory chain complex","47/1394","83/10713",4.22643231530589e-21,2.90261979343397e-18,2.76917822577118e-18,"Ndufa11/Cox7c/Ndufb1/Uqcrq/Cox6c/Cox7b/Ndufa2/Uqcr10/COX3/Cox4i1/Cox6a1/Ndufa3/Uqcr11/Ndufb4/Cox7a2/Ndufb9/Ndufc1/Ndufc2/Uqcrh/Ndufb6/Ndufb2/Cox8a/ND3/Ndufb11/Cox5b/Ndufb4c/Ndufa4/Ndufa6/Ndufb5/Ndufs6/Ndufa12/Cox6b1/Ndufv3/Ndufa8/Sdhb/Ndufa7/Ndufa1/Ndufb7/Ndufb8/Ndufa13/Ndufb10/Uqcrb/Cyc1/Ndufs4/Ndufs7/Ndufab1/Ndufa10",47
"GO:0070469","CC","GO:0070469","respirasome","48/1394","89/10713",2.67479683197036e-20,1.18092280131491e-17,1.12663247012766e-17,"Ndufa11/Cox7c/Ndufb1/Uqcrq/Cox6c/Cox7b/Ndufa2/Uqcr10/COX3/Cox4i1/Cox6a1/Ndufa3/Uqcr11/Ndufb4/Cox7a2/Ndufb9/Ndufc1/Ndufc2/Uqcrh/Ndufb6/Ndufb2/Cox8a/ND3/Ndufb11/Cox5b/Ndufb4c/Ndufa4/Ndufa6/Ndufb5/Ndufs6/Ndufa12/Cox6b1/Ndufv3/Ndufa8/Sdhb/Ndufa7/Ndufa1/Ndufb7/Ndufb8/Ndufa13/Ndufb10/Uqcrb/Cyc1/Ndufs4/Ndufs7/Ttc19/Ndufab1/Ndufa10",48
"GO:1990204","CC","GO:1990204","oxidoreductase complex","43/1394","109/10713",3.34934563372325e-12,6.27342586728588e-10,5.98501889636926e-10,"Ndufa11/Ndufb1/Ogdhl/Uqcrq/Ndufa2/Uqcr10/Ndufa3/Uqcr11/Ndufb4/Ndufb9/Ndufc1/Ndufc2/Uqcrh/Ndufb6/Ndufb2/ND3/Ndufb11/Ndufb4c/Ndufa4/Cyba/Ndufa6/Ndufb5/Ndufs6/Ndufa12/Ndufv3/Ndufa8/Gmpr/Sdhb/Ndufa7/Ndufa1/Ndufb7/Ndufb8/Ndufa13/Ndufb10/Mrps36/Uqcrb/Cyc1/Ndufs4/Ndufs7/Ndufab1/Etfb/Bckdhb/Ndufa10",43
"GO:0070069","CC","GO:0070069","cytochrome complex","17/1394","33/10713",1.1906706051067e-07,1.2064811492073e-05,1.1510158291299e-05,"Cox7c/Uqcrq/Cox6c/Cox7b/Uqcr10/COX3/Cox4i1/Cox6a1/Uqcr11/Cox7a2/Uqcrh/Cox8a/Cox5b/Ndufa4/Cox6b1/Uqcrb/Cyc1",17
"GO:0045263","CC","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","8/1394","12/10713",2.45441975825189e-05,0.00182780343683794,0.00174377418969272,"Atp5mf/Atp5mg/Atp5pd/Atp5mc1/Atp5me/Atp5pb/Atp5pf/Atp5po",8
"GO:0005844","CC","GO:0005844","polysome","21/1394","64/10713",3.38826469589159e-05,0.00240722575693171,0.00229655884166784,"Rpl18a/Rpl7a/Rpl38/Rps3/Rps21/Rpl32/Vim/Rpl18/Rps29/Rpl39/Rps26/Rps23/Rpl36/Rpl11/Rpl19/Rpl30/Rpl31/Rps28/Naa38/Rpl24/Rpl6",21
"GO:0031514","CC","GO:0031514","motile cilium","36/1394","142/10713",4.78776905102251e-05,0.00321665222873588,0.00306877370982015,"Cfap52/Dnai4/Mlf1/Enkur/Dnali1/Cfap69/Dnai2/Saxo2/Ctsh/Spa17/Iqub/Ccdc65/Ak7/Catsper2/Cfap43/Dnai1/Cd24a/Cfap251/Ccdc40/Ropn1l/Dnajb13/Spag4/Eno4/Gstm5/Mkks/Cfap36/Pacrg/Slirp/Gabarap/Nme5/Ccdc34/Adam15/Septin6/Rabl2/Dync2li1/Capzb",36
