"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission","73/801","432/10713",2.02064141714277e-11,6.39809691136244e-08,5.93599196152938e-08,"Star/Slc6a6/Synpr/Atad1/Sorcs3/Sv2b/Lnpep/Mef2c/Prkcb/Celf4/Gpr158/Bcr/Pclo/Plcb1/Crtc1/Slc24a2/Epha4/Pak1/Prkce/Plk2/Erc1/Dgkb/Mapk1/Tnr/Grm5/Nrxn3/L1cam/Kras/Prkar2b/Braf/Epha7/Pcdh17/Snap29/Grik5/Ppfia2/Vamp2/Akap7/Frrs1l/Nlgn2/Prkar1b/Ube3a/Grin2b/Myo5a/Grin2a/Gria3/Mecp2/Syn1/Zdhhc2/Clstn2/Fxr1/Reln/Lrrtm1/Chmp2b/Mapk9/Mtmr2/Dnm1l/Nlgn1/Dlgap1/Btbd9/Slc4a10/Syt1/Cacnb3/Ncam1/Ina/Mapt/Ppp3ca/Pafah1b1/Nrxn1/Rgs4/Nedd4/Ywhag/Serpine2/Egr1",73
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling","73/801","433/10713",2.26201057499114e-11,6.39809691136244e-08,5.93599196152938e-08,"Star/Slc6a6/Synpr/Atad1/Sorcs3/Sv2b/Lnpep/Mef2c/Prkcb/Celf4/Gpr158/Bcr/Pclo/Plcb1/Crtc1/Slc24a2/Epha4/Pak1/Prkce/Plk2/Erc1/Dgkb/Mapk1/Tnr/Grm5/Nrxn3/L1cam/Kras/Prkar2b/Braf/Epha7/Pcdh17/Snap29/Grik5/Ppfia2/Vamp2/Akap7/Frrs1l/Nlgn2/Prkar1b/Ube3a/Grin2b/Myo5a/Grin2a/Gria3/Mecp2/Syn1/Zdhhc2/Clstn2/Fxr1/Reln/Lrrtm1/Chmp2b/Mapk9/Mtmr2/Dnm1l/Nlgn1/Dlgap1/Btbd9/Slc4a10/Syt1/Cacnb3/Ncam1/Ina/Mapt/Ppp3ca/Pafah1b1/Nrxn1/Rgs4/Nedd4/Ywhag/Serpine2/Egr1",73
"GO:0050808","BP","GO:0050808","synapse organization","71/801","446/10713",6.1593838651112e-10,6.96872690498682e-07,6.46540798977778e-07,"Mdga2/Negr1/Mycbp2/Lrrc24/Malat1/Mef2c/Flrt1/Gpr158/Ntrk3/Pclo/Lrrn3/Epha4/Pak3/Cdh9/Pak1/Erc1/Dgkb/Tnr/Grm5/Nrxn3/L1cam/Col4a1/Plxna4/Rock1/Epha7/Afg3l2/Pcdh17/Insr/Nfasc/Ppfia2/Dnm3/Epha5/Sh3gl2/Frrs1l/Nlgn2/Ube3a/Opa1/Grin2b/Srgap2/Myo5a/Cdh8/Grin2a/Cnksr2/Adgrl3/Mecp2/Syn1/Crk/Sema4d/Nptxr/Ank3/Zdhhc2/Clstn2/Iqsec3/Reln/Add2/Lrrtm1/Chmp2b/Mtmr2/Snap91/Dnm1l/Nlgn1/Abi2/Rab39b/Nrcam/Cacnb3/Mapt/Pafah1b1/Nrxn1/Nedd4/Pgrmc1/Pcdhgc4",71
"GO:0050890","BP","GO:0050890","cognition","49/801","263/10713",1.71377604764535e-09,1.61580518358829e-06,1.49910304799293e-06,"Lamb1/Trpm4/Atad1/Sorcs3/Mef2c/Gpr158/Btg2/Chl1/Aph1b/Plcb1/Crtc1/Slc24a2/Pak1/Plk2/Tbr1/Tnr/Grm5/Magt1/Nrxn3/Kras/Prkar2b/Braf/Prkar1b/Ube3a/Grin2b/Cyp7b1/Grin2a/Atp1a3/Mecp2/Synj1/Clstn2/Reln/Atp1a2/Chmp2b/Jun/Abi2/Btbd9/Brinp1/Pias1/Syt11/Ncam1/Ap1s2/Mapt/Pafah1b1/Nrxn1/Pgrmc1/Ptprz1/Pja2/Egr1",49
"GO:0061564","BP","GO:0061564","axon development","63/801","406/10713",1.65418022699131e-08,1.16971219301123e-05,1.08522929102351e-05,"Kif5c/Mycbp2/Shtn1/Tenm2/Mef2c/Nfib/Ntrk3/Chl1/Pum2/Dclk1/Map2/Golga4/Epha4/Pak3/Camsap2/Bcl11b/Pak1/Macf1/Apc/Lrig2/Tbr1/Tnr/Lmtk2/L1cam/Rufy3/Braf/Neurod1/Plxna4/Epha7/Ttc3/Afg3l2/Pcdhac2/Nfasc/Epha5/Nefm/Cyfip2/Dst/Sema4d/Klf7/Atl1/Ank3/Cntn1/Smad4/Reln/Tbce/Nrdc/B4galt5/Snap91/Inpp5f/Bcl11a/Map2k1/Jun/Trak2/Nrcam/Map1b/Ncam1/Mapt/Kif5a/Pafah1b1/Scn1b/Ptprz1/Hsp90aa1/Aplp2",63
"GO:0035249","BP","GO:0035249","synaptic transmission, glutamatergic","23/801","84/10713",2.87024319621523e-08,1.62369657609896e-05,1.50642448171886e-05,"Slc17a6/Atad1/Mef2c/Napb/Aph1b/Pak1/Tnr/Grm5/Grik5/Frrs1l/Nlgn2/Grin2b/Myo5a/Cdh8/Grin2a/Gria3/Fxr1/Reln/Nlgn1/Syt1/Clcn3/Nrxn1/Serpine2",23
"GO:0099003","BP","GO:0099003","vesicle-mediated transport in synapse","40/801","224/10713",1.81433081961266e-07,7.8951303434991e-05,7.32490159237954e-05,"Slc17a6/Syt6/Pld1/Atad1/Sv2b/Aak1/Prkcb/Napb/Pclo/Syn2/Rala/Erc1/Braf/Rock1/Pcdh17/Snap29/Grik5/Ppfia2/Dnm3/Vamp2/Sh3gl2/Nlgn2/Prkar1b/Cltc/Syn1/Atp6v1a/Synj1/Sacm1l/Snap91/Dnm1l/Nlgn1/Btbd9/Syt1/Syt11/Ap1s2/Clcn3/Nrxn1/Nedd4/Cadps/Canx",40
"GO:0060627","BP","GO:0060627","regulation of vesicle-mediated transport","59/801","417/10713",1.21064544426889e-06,0.000360453751485741,0.000334419844051228,"Bves/Syt6/Pld1/Mical1/Pot1b/Pgap1/Atad1/Sv2b/Aak1/Rab3c/Prkcb/Ptx3/Napb/Bcr/Pclo/Ahi1/Itgav/Anxa1/Rala/Plk2/Erc1/Mapk1/Dnajc13/Cd47/Dgkd/Braf/Rock1/Snap29/Insr/Grik5/Ppfia2/Vamp2/Rab15/Sh3gl2/Prkar1b/Snph/Myo5a/Pros1/Cbll1/Snx4/Syn1/Synj1/Ank3/Zdhhc2/Lrrtm1/Mtmr2/Snap91/Inpp5f/Dnm1l/Nlgn1/Map2k1/Btbd9/Syt1/Syt11/Ppp3ca/Nrxn1/Nedd4/Cadps/Nsf",59
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization","50/801","339/10713",2.41371994963652e-06,0.000620655170686082,0.000575828118128598,"Ccp110/Negr1/Shtn1/Ntrk3/Pum2/Ahi1/Crtc1/Golga4/Atf1/Epha4/Pak3/Pak1/Macf1/Rala/Apc/Parp6/L1cam/Rufy3/Braf/Plxna4/Shoc2/Hdac4/Dnm3/Plppr5/Enc1/Dpysl3/Opa1/Prkci/Sema4d/Serpini1/Cntn1/Reln/Nrdc/Snap91/Stmn2/Dnm1l/Bcl11a/Nlgn1/Map2k1/Abi2/Tmem106b/Map1b/Mapt/Pafah1b1/Nrxn1/Serpine2/Scn1b/Ptprz1/Hsp90aa1/Atp1b2",50
"GO:0006836","BP","GO:0006836","neurotransmitter transport","29/801","154/10713",2.97165346797824e-06,0.000730897550797953,0.000678108200976637,"Slc17a6/Slc6a6/Sv2b/Mef2c/Prkcb/Napb/Gpr158/Pclo/Syn2/Pak1/Erc1/Nrxn3/Slc1a2/Braf/Snap29/Grik5/Ppfia2/Vamp2/Slc6a17/Syn1/Synj1/Atp1a2/Snap91/Dnm1l/Nlgn1/Syt1/Syt11/Nrxn1/Cadps",29
