"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","64/709","140/10713",1.12232970273157e-38,5.65878636117259e-35,5.61991831146747e-35,"Ndufa3/Uqcr11/ND3/COX3/Ndufa11/Ndufb2/Dnajc15/Ndufb4c/Cox4i1/Cox7c/Ndufb4/Uqcrq/Cox6c/Cox8a/Uqcr10/Ndufa7/Ndufa6/Atp5mf/Cox6a1/Atp5mk/Cox7b/Atp5pd/Ndufa1/Ndufc2/Atp5mg/Atp5mc2/Ndufb10/Ndufa4/Ndufc1/Cox6b1/Cox5b/Ndufa13/Uqcrh/Dnajc19/Romo1/Ndufa12/Atp5mj/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/Atp5pf/ATP6/Atp5me/ND1/Dmac1/Ndufab1/Timm10b/COX2/Chchd10/Ndufb6/CYTB/Micos13/Smdt1/Ndufa8/Ndufb11/ND2/Atp5mc1/Sdhc/Uqcrb/Ndufb7/Ndufv2/Atp5mc3",64
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","85/709","282/10713",1.39109315555698e-34,3.50694584515914e-31,3.48285796893923e-31,"Ndufa3/Uqcr11/ND3/COX3/Ndufa11/Ndufb2/Dnajc15/Ndufb4c/Cox4i1/Cox7c/Mrpl20/Ndufb4/Uqcrq/Mrps33/Cox6c/Cox8a/Uqcr10/Ndufa7/Ndufa6/Atp5mf/Cox6a1/Atp5mk/Cox7b/Atp5pd/Ndufa1/Ndufc2/Atp5mg/Atp5mc2/Ndufb10/Mrpl34/Ndufa4/Ndufc1/Cox6b1/Cox5b/Ndufa13/Uqcrh/Dnajc19/Mrpl14/Mtx1/Tomm22/Romo1/Ndufa12/Mrps14/Atp5mj/Ndufb9/Mrpl41/Ndufs8/Ndufb1/Mrps21/Ndufa2/Ndufb5/Atp5pf/ATP6/Mrpl33/Etfb/Atp5me/ND1/Tomm5/Mrps6/Dmac1/Ndufab1/Tomm7/Timm13/Bckdha/Timm10b/COX2/Chchd10/Ndufb6/Mrpl42/CYTB/Micos13/Chchd1/Smdt1/Mrpl13/Ndufa8/Ndufb11/Iscu/ND2/Atp5mc1/Sdhc/Uqcrb/Ndufb7/Mrpl48/Ndufv2/Atp5mc3",85
"GO:0098803","CC","GO:0098803","respiratory chain complex","46/709","83/10713",7.16119921424594e-33,9.026691609557e-30,8.9646907005705e-30,"Ndufa3/Uqcr11/ND3/COX3/Ndufa11/Ndufb2/Ndufb4c/Cox4i1/Cox7c/Ndufb4/Uqcrq/Cox6c/Cox8a/Uqcr10/Ndufa7/Ndufa6/Cox6a1/Cox7b/Ndufa1/Ndufc2/Ndufb10/Ndufa4/Ndufc1/Cox6b1/Cox5b/Ndufa13/Uqcrh/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/ND1/Dmac1/Ndufab1/COX2/Ndufb6/CYTB/Ndufa8/Ndufb11/ND2/Sdhc/Uqcrb/Ndufb7/Ndufv2",46
"GO:0070469","CC","GO:0070469","respirasome","47/709","89/10713",2.8411555443371e-32,2.86502125090953e-29,2.84534251040244e-29,"Ndufa3/Uqcr11/ND3/COX3/Ndufa11/Ndufb2/Ndufb4c/Cox4i1/Cox7c/Ndufb4/Uqcrq/Cox6c/Cox8a/Uqcr10/Ndufa7/Ndufa6/Cox6a1/Cox7b/Ndufa1/Ndufc2/Ndufb10/Ndufa4/Ndufc1/Cox6b1/Cox5b/Ndufa13/Uqcrh/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/ND1/Dmac1/Ndufab1/COX2/Ndufb6/CYTB/Rab5if/Ndufa8/Ndufb11/ND2/Sdhc/Uqcrb/Ndufb7/Ndufv2",47
"GO:1990204","CC","GO:1990204","oxidoreductase complex","40/709","109/10713",3.12234517761489e-20,8.28571809764962e-18,8.22880665369199e-18,"Ndufa3/Uqcr11/ND3/Ndufa11/Ndufb2/Gmpr/Ndufb4c/Ndufb4/Uqcrq/Uqcr10/Ndufa7/Ndufa6/Ndufa1/Ndufc2/Ndufb10/Ndufa4/Ndufc1/Ndufa13/Uqcrh/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/Etfb/ND1/Dmac1/Ndufab1/Bckdha/Ndufb6/CYTB/Ndufa8/Ndufb11/ND2/Sdhc/Uqcrb/Ndufb7/Ndufv2/Ldhb",40
"GO:0044391","CC","GO:0044391","ribosomal subunit","50/709","184/10713",1.69818997209249e-18,3.29318224588089e-16,3.27056263046314e-16,"Rps27a/Rpl34/Rpl18a/Rplp1/Mrpl20/Mrps33/Uba52/Rpl39/Rps14/Rps17/Rpl41/Rps3/Rps27/Rpl13/Rpl18/Rpl38/Mrpl34/Rps29/Rpl35/Rps19/Mrpl14/Mrps14/Rps15/Mrpl41/Mrps21/Rpl37/Rpl26/Rpl37a/Mrpl33/Mrps6/Rpl24/Rps26/Rpl14/Rpl32/Rps21/Snu13/Rps23/Mrpl42/Rpl27/Chchd1/Rpl7a/Mrpl13/Rps13/Rps27l/Rpl13a/Rps16/Rpl19/Rps9/Mrpl48/Ubb",50
"GO:0070069","CC","GO:0070069","cytochrome complex","17/709","33/10713",3.18672924097683e-12,3.08990169865484e-10,3.06867833994469e-10,"Uqcr11/COX3/Cox4i1/Cox7c/Uqcrq/Cox6c/Cox8a/Uqcr10/Cox6a1/Cox7b/Ndufa4/Cox6b1/Cox5b/Uqcrh/COX2/CYTB/Uqcrb",17
"GO:1902495","CC","GO:1902495","transmembrane transporter complex","42/709","235/10713",2.54486746252995e-09,1.91989338878782e-07,1.90670637183734e-07,"Ndufa3/Uqcr11/Kcnk1/ND3/Ndufa11/Ndufb2/Ndufb4c/Ndufb4/Uqcrq/Atp6v0e/Uqcr10/Ndufa7/Ndufa6/Ndufa1/Ndufc2/Atp5mc2/Ndufb10/Ndufa4/Ndufc1/Ndufa13/Uqcrh/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Atp6v1f/Ndufa2/Ndufb5/ND1/Dmac1/Ndufab1/Ndufb6/CYTB/Smdt1/Ndufa8/Ndufb11/ND2/Atp5mc1/Uqcrb/Ndufb7/Ndufv2/Atp5mc3",42
"GO:1990351","CC","GO:1990351","transporter complex","44/709","253/10713",2.551226835557e-09,1.91989338878782e-07,1.90670637183734e-07,"Ndufa3/Uqcr11/Kcnk1/ND3/Ndufa11/Ndufb2/Ndufb4c/Ndufb4/Uqcrq/Atp6v0e/Uqcr10/Ndufa7/Ndufa6/Ndufa1/Ndufc2/Atp5mc2/Ndufb10/Ndufa4/Ndufc1/Ndufa13/Uqcrh/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Atp6v1f/Ndufa2/Ndufb5/ND1/Dmac1/Ndufab1/Timm13/Timm10b/Ndufb6/CYTB/Smdt1/Ndufa8/Ndufb11/ND2/Atp5mc1/Uqcrb/Ndufb7/Ndufv2/Atp5mc3",44
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","11/709","20/10713",9.57348489140893e-09,6.79852265105406e-07,6.75182618657261e-07,"Atp5mf/Atp5mk/Atp5pd/Atp5mg/Atp5mc2/Atp5mj/Atp5pf/ATP6/Atp5me/Atp5mc1/Atp5mc3",11
