"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099003","BP","GO:0099003","vesicle-mediated transport in synapse","50/927","224/10713",2.5073895764069e-10,1.49164605900446e-06,1.28351952737545e-06,"Slc17a6/Ppfia2/Syt6/Syt4/Sv2b/Erc1/Snap91/Arc/Prkcb/Cacna1b/Atad1/Akap5/Vamp2/Aak1/Napb/Pclo/Syn2/Grik5/Ap2a2/Erc2/Stx1b/Syn1/Dnm3/Sh3gl2/Rock1/Ap1s2/Sptbn2/Fbxo45/Vamp1/Pip5k1c/Dnm1l/Btbd9/Pten/Vps35/Stxbp1/Sacm1l/Clcn3/Cadps/Canx/Pls3/Myo6/Atp6ap2/Scamp5/Rab5a/Nsg1/Prepl/Atp6v0e2/Cltc/Actg1/Syt11",50
"GO:0061564","BP","GO:0061564","axon development","72/927","406/10713",2.20061507253361e-09,6.54572953325121e-06,5.6324163672268e-06,"Sema3d/Kif5c/Epha5/Snap91/Ttl/Tubb3/Tenm2/Chl1/Efna1/Shtn1/Apc/Macf1/Gap43/Nectin1/Map1b/Cyfip2/Plxna1/Cntn1/Hsp90aa1/Nefm/Egr2/Ntrk3/Plxna4/Lrig2/Inpp5f/Ncam1/Dclk1/Myh10/Ext1/Epha4/Nrp1/Ptpro/Lmtk2/Enah/Jak2/Mycbp2/Ablim1/Tsc2/Slit1/Pak3/Map2/Pak1/L1cam/Map1a/Nrcam/Nfasc/Rufy3/Nrdc/Rac3/Nfib/Nefl/Tnfrsf21/Dst/Hsp90ab1/Dpysl5/Dscam/Sin3a/Nr4a2/Fbxo45/Afg3l2/Mef2c/Pip5k1c/Camsap2/Neurod6/Mapt/Slc9a6/Pten/Ndel1/Stxbp1/Pafah1b1/Ptn/Actg1",72
"GO:0006887","BP","GO:0006887","exocytosis","51/927","254/10713",8.09663428495364e-09,1.20417193402973e-05,1.03615611915078e-05,"Kit/Cd84/Sytl2/Ppfia2/Mical1/Syt6/Mical3/Syt4/Sv2b/Erc1/Anxa1/Plek/Rab3c/Rab15/Prss12/Ywhaz/Prkcb/Cacna1b/Bcr/Vamp2/Exoc6/Lin7a/Lin7c/Napb/Ncam1/Myh10/Exoc3/Pclo/Syn2/Pak1/Myo5a/Atp9a/Grik5/Erc2/Hmox1/Stx1b/Syn1/Sptbn2/Fbxo45/Vamp1/Scamp1/Pip5k1c/Dnm1l/Stxbp1/Sacm1l/Cadps/Nsf/Scamp5/Rab5a/Prepl/Syt11",51
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission","73/927","432/10713",1.44469202286757e-08,1.52240277432886e-05,1.309984816831e-05,"Kit/Tnf/Ppfia2/Star/Syt4/Plk2/Sv2b/Erc1/Sorcs3/Kdr/Arc/Lnpep/Slc24a2/Prkar2b/Kras/Prkcb/Cacna1b/Atad1/Bcr/Akap5/Slc6a6/Calb2/Vamp2/Rgs4/Ncam1/Clstn3/Celf4/Epha4/Pclo/Jak2/Ppp1r9a/Pak1/Zdhhc2/L1cam/Grm5/Map1a/Myo5a/Grik5/Hmgcr/Erc2/Gnai1/Stx1b/Mtmr2/Clstn2/Syn1/Nefl/Ywhag/Plcb1/F2r/Fbxo45/Wnk1/Mef2c/Dnm1l/Btbd9/Apba2/Frrs1l/Mapt/Pten/Vps35/Prkce/Ina/Camkv/Egr1/Fyn/Stxbp1/Pafah1b1/Myo6/Synpr/Ptn/Rab5a/Nsg1/Prepl/Mapk1",73
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling","73/927","433/10713",1.59677393747048e-08,1.52240277432886e-05,1.309984816831e-05,"Kit/Tnf/Ppfia2/Star/Syt4/Plk2/Sv2b/Erc1/Sorcs3/Kdr/Arc/Lnpep/Slc24a2/Prkar2b/Kras/Prkcb/Cacna1b/Atad1/Bcr/Akap5/Slc6a6/Calb2/Vamp2/Rgs4/Ncam1/Clstn3/Celf4/Epha4/Pclo/Jak2/Ppp1r9a/Pak1/Zdhhc2/L1cam/Grm5/Map1a/Myo5a/Grik5/Hmgcr/Erc2/Gnai1/Stx1b/Mtmr2/Clstn2/Syn1/Nefl/Ywhag/Plcb1/F2r/Fbxo45/Wnk1/Mef2c/Dnm1l/Btbd9/Apba2/Frrs1l/Mapt/Pten/Vps35/Prkce/Ina/Camkv/Egr1/Fyn/Stxbp1/Pafah1b1/Myo6/Synpr/Ptn/Rab5a/Nsg1/Prepl/Mapk1",73
"GO:0050808","BP","GO:0050808","synapse organization","74/927","446/10713",2.53694276016937e-08,1.88653406003095e-05,1.62330955825048e-05,"Cdh6/Tnf/Ppfia2/Mdga2/Erc1/Epha5/Lrrc24/Lrrn3/Snap91/Arc/Negr1/C3/Srgap2/Efna1/Malat1/Ywhaz/Igsf9b/Gap43/Nptxr/Nectin1/Akap5/Ntrk3/Plxna4/Clstn3/Myh10/Epha4/Igsf21/Pclo/Nrp1/Hip1r/Ptpro/Mycbp2/Cdh9/Ppp1r9a/Tsc2/Pak3/Pak1/Zdhhc2/L1cam/Grm5/Nrcam/Myo5a/Nfasc/Rac3/Gphn/Erc2/Marcks/Mtmr2/Clstn2/Syn1/Nefl/Dnm3/Caprin1/Sh3gl2/Rock1/Sptbn2/F2r/Fbxo45/Afg3l2/Cnksr2/Mef2c/Dnm1l/Vcp/Frrs1l/Mapt/Slc9a6/Pten/Vps35/Camkv/Fyn/Kif1a/Pafah1b1/Myo6/Ptn",74
"GO:0050776","BP","GO:0050776","regulation of immune response","72/927","439/10713",6.40489946107874e-08,3.81027468939574e-05,3.27863432412904e-05,"Acod1/Kit/Cd84/Aplf/Vsir/Trpm4/Ncf1/Adam8/Tnf/Ddx60/Masp1/Pms2/Malt1/Mndal/Gbp2/Atad5/Anxa1/H2-T24/Nr1d1/Gbp5/Nfkbia/Rnf185/Gpr17/Nfkb1/Arid5a/Fosl1/C3/Rps6ka3/Adar/Ywhaz/Inava/Rsad2/Ipo5/Prkcb/Eif2ak2/Ripk2/Bcr/Otud4/Mkrn2/Hsp90aa1/Nsd2/Atg12/Cd44/Tomm70a/Cd200/Jak2/Erbin/N4bp1/Tap1/Nfkbiz/Nectin2/Cnot7/Hmox1/Tnfrsf21/Polr3c/Trim27/Pja2/Cd47/Sin3a/Trafd1/Wnk1/Mef2c/Ythdf3/Pten/Cav1/Prkce/Pde4b/Fyn/Stxbp1/Csnk1a1/Slc39a6/Mapk1",72
"GO:0010720","BP","GO:0010720","positive regulation of cell development","60/927","346/10713",1.15209201630493e-07,5.71149617083169e-05,4.91458199586919e-05,"Fgf2/Cd83/Kit/Vcan/Cip2a/Acan/Vsir/Atp11c/Adam8/Tnf/Star/Malt1/Anxa1/Zfp488/Kdr/Snap91/Ccl3/Sox4/Shtn1/Kras/Tenm4/Macf1/Ripk2/Map1b/Akap5/Plxna1/Hsp90aa1/Egr2/Ntrk3/Plxna4/Akap11/Epha4/Nrp1/Prmt5/Sox11/Trf/Nfkbiz/Pak3/Pak1/L1cam/Grm5/Smarcd2/Rufy3/Arid1a/Parp6/Nrdc/Marcks/Nefl/Serpinf1/Dscam/Caprin1/Nkap/Dnm1l/Mapt/Slc7a5/Ndel1/Pafah1b1/Ptn/Fos/Hdac2",60
"GO:0007269","BP","GO:0007269","neurotransmitter secretion","30/927","124/10713",1.5426922751028e-07,6.55534024613327e-05,5.64068611565785e-05,"Abcc8/Ppfia2/Syt4/Sv2b/Erc1/Snap91/Prkcb/Cacna1b/Vamp2/Lin7a/Lin7c/Napb/Pclo/Syn2/Ppp1r9a/Pak1/Grik5/Erc2/Stx1b/Syn1/Sptbn2/Fbxo45/Vamp1/Mef2c/Dnm1l/Stxbp1/Cadps/Rab5a/Prepl/Syt11",30
"GO:0099643","BP","GO:0099643","signal release from synapse","30/927","124/10713",1.5426922751028e-07,6.55534024613327e-05,5.64068611565785e-05,"Abcc8/Ppfia2/Syt4/Sv2b/Erc1/Snap91/Prkcb/Cacna1b/Vamp2/Lin7a/Lin7c/Napb/Pclo/Syn2/Ppp1r9a/Pak1/Grik5/Erc2/Stx1b/Syn1/Sptbn2/Fbxo45/Vamp1/Mef2c/Dnm1l/Stxbp1/Cadps/Rab5a/Prepl/Syt11",30
"GO:0006836","BP","GO:0006836","neurotransmitter transport","34/927","154/10713",2.5075409807719e-07,9.94490752974137e-05,8.55731353648685e-05,"Slc17a6/Abcc8/Ppfia2/Syt4/Sv2b/Erc1/Snap91/Prkcb/Cacna1b/Slc6a6/Vamp2/Lin7a/Lin7c/Napb/Pclo/Slc6a17/Syn2/Slc6a8/Ppp1r9a/Pak1/Grik5/Erc2/Stx1b/Syn1/Sptbn2/Fbxo45/Vamp1/Mef2c/Dnm1l/Stxbp1/Cadps/Rab5a/Prepl/Syt11",34
