"logFC","AveExpr","t","P.Value","adj.P.Val","B","PG.UniprotIds","PG.ProteinNames","PG.Genes"
0.378231660621925,19.6124213891231,0.41878919122288,0.687793189269679,0.907299250110063,-5.77814678251388,"P63085","MK01_MOUSE","Mapk1"
1.95178890584533,17.2556623819281,1.90043680166025,0.0987049055191558,0.412186353381501,-4.36212310854593,"Q63844","MK03_MOUSE","Mapk3"
2.32265542253205,16.2971124636666,1.09380707756645,0.309881279281894,0.673890292936171,-5.29143776117384,"Q9CX34","SGT1_MOUSE","Sugt1"
0.515739162426513,16.6876255815287,0.351368887937087,0.735544738995038,0.926306964407537,-5.80485199574229,"P62878","RBX1_MOUSE","Rbx1"
-1.07903564934545,22.4166687011,-0.6984079332847,0.507225199655771,0.809183837149838,-5.62172365207064,"O08784","TCOF_MOUSE","Tcof1"
-0.19017388983184,19.6839758531804,-0.205816409525981,0.842732328035405,0.951487595597411,-5.84698129528177,"Q91VA7","Q91VA7_MOUSE","Idh3b"
0.392737440137712,20.9374516630851,0.485904773918687,0.641724439227149,0.88960886297992,-5.74717914068478,"Q60931","VDAC3_MOUSE","Vdac3"
-1.71767946802684,16.9261596667987,-1.00048103135248,0.350064692255585,0.705084799770601,-5.37936737810685,"Q9QX47","SON_MOUSE","Son"
3.16100991653689,22.4441123339285,3.9918023656037,0.00513307847459606,0.0627306277386217,-1.76301223898117,"P70296","PEBP1_MOUSE","Pebp1"
-1.75680394168806,19.3877829212265,-1.01754474452471,0.34242687187217,0.69740428025474,-5.36370867584422,"Q8CB77","ELOA1_MOUSE","Eloa"
-1.08136854278362,17.3250005633838,-0.51158752909013,0.624518314983023,0.88167291527015,-5.73419666838728,"E9Q6J5","BD1L1_MOUSE","Bod1l"
3.85448591525546,19.5979527685519,3.55660588361886,0.00910179786793579,0.0884428358679419,-2.25828040613495,"Q9R1Q8","TAGL3_MOUSE","Tagln3"
0.235910950250332,22.511809002392,0.243225027926042,0.814733671800724,0.943003699631483,-5.83821274225079,"P62259","1433E_MOUSE","Ywhae"
1.41790618533221,19.7448742396015,0.762740069152263,0.470283642417655,0.781974136641043,-5.57602156422317,"Q8BTI8","SRRM2_MOUSE","Srrm2"
-0.350396030468653,15.3222175089127,-0.228960446620943,0.825378438097089,0.947221918552733,-5.84172600463582,"P16330","CN37_MOUSE","Cnp"
-0.0739097970033029,19.633649701401,-0.0533802628857663,0.958905191711087,0.98342849449533,-5.86769429420346,"P52760","RIDA_MOUSE","Rida"
0.222057631103532,19.557701306038,0.222644567341394,0.830104323543741,0.947221918552733,-5.84321483974512,"P57746","VATD_MOUSE","Atp6v1d"
-0.196643128436936,20.6966907591022,-0.211500235872701,0.838461381678596,0.950544474795271,-5.84574178348154,"P27546","MAP4_MOUSE","Map4"
0.275138699489368,20.3521139688655,0.31152173791516,0.764384629933214,0.930221396660055,-5.81851708193697,"Q9D8N0","EF1G_MOUSE","Eef1g"
0.739269785566822,18.9072662552609,0.804156548012783,0.447484155826225,0.767115695702099,-5.54482305836797,"P47955","RLA1_MOUSE","Rplp1"
-3.29984698016285,18.8397986836281,-1.18422392377683,0.274583949809417,0.651821265853314,-5.20119385523192,"P13595","NCAM1_MOUSE","Ncam1"
-0.604214699749473,20.3850132684682,-0.611561444050704,0.559960890239649,0.84234604665656,-5.67786681823602,"O08599","STXB1_MOUSE","Stxbp1"
-0.566901758163404,23.0557870405424,-0.503582189514695,0.629855358214839,0.882949946209683,-5.73830971809661,"Q9CR57","RL14_MOUSE","Rpl14"
3.35461577814522,20.5824645563873,2.79328341152606,0.0264969172098006,0.185110093757681,-3.20239148838302,"P56959","FUS_MOUSE","Fus"
-2.14559108336388,16.2210260372844,-0.92032429033221,0.387710706222699,0.732056613076413,-5.45028036480676,"Q8BYI9","TENR_MOUSE","Tnr"
-2.09278584665802,15.4121396407324,-1.43331708847869,0.194447641061854,0.560289011541449,-4.9305898901172,"O54965","RNF13_MOUSE","Rnf13"
-1.11302542649326,16.8223355827664,-0.477859846186481,0.64716364206082,0.892751916374869,-5.75111799184137,"P55066","NCAN_MOUSE","Ncan"
0.454518836455531,19.3255234595339,0.554458845460128,0.596350867116705,0.86658489802091,-5.71115734897844,"Q8BVI4","DHPR_MOUSE","Qdpr"
0.62548340231141,22.6665557852469,0.694210584945885,0.509699139842716,0.810492795127532,-5.62458593347349,"P62852","RS25_MOUSE","Rps25"
0.0539621616653392,20.8822122179707,0.0488563732398589,0.962384601985567,0.98342849449533,-5.86793749432587,"P62911","RL32_MOUSE","Rpl32"
-3.65497004068817,17.1953495479611,-2.13892197334614,0.0693378923457756,0.339569905328792,-4.05480738444528,"Q9D937","CK098_MOUSE","NaN"
1.10926317378618,20.5074074893778,0.870317544404844,0.412683781028096,0.747009861493455,-5.49221487736888,"Q02257","PLAK_MOUSE","Jup"
-0.621690906094702,16.648450314213,-0.277671357499332,0.789204860127219,0.933048489304417,-5.82887109965515,"Q8BLK3","LSAMP_MOUSE","Lsamp"
1.63924993232864,19.4892222621514,1.89807415382041,0.0990497351961722,0.412186353381501,-4.3651297941376,"P49722","PSA2_MOUSE","Psma2"
-1.19485221693422,16.1414145520401,-0.689487023909786,0.512492458210332,0.81141822544674,-5.627789260555,"Q9JKR6","HYOU1_MOUSE","Hyou1"
2.64617819355966,19.6745687424298,2.72105061426295,0.0294217680320494,0.200712883287131,-3.29555218999954,"Q9D819","IPYR_MOUSE","Ppa1"
1.69919380414904,19.9407618994431,1.06145237668592,0.323373692191623,0.688941598765468,-5.32254684486094,"P62996","TRA2B_MOUSE","Tra2b"
0.474818231258357,23.3314240269161,0.551305138565671,0.598398694645504,0.868179315173958,-5.71290987290986,"P05064","ALDOA_MOUSE","Aldoa"
1.18251207648743,21.8128956501865,1.43869189555901,0.192973599919359,0.560289011541449,-4.92444269129042,"P62827","RAN_MOUSE","Ran"
1.43684951753563,23.4830579493459,1.56435983269511,0.161265291907755,0.517219065329356,-4.77761010015647,"Q9QZQ8","H2AY_MOUSE","Macroh2a1"
0.429880235922912,19.5034472364343,0.457375559618253,0.661117109700833,0.895214433745014,-5.76086976251884,"P70202","LXN_MOUSE","Lxn"
0.613106626893806,19.8329001685638,0.739039312387406,0.483678794991923,0.795613674338489,-5.59325508363403,"Q9CR62","M2OM_MOUSE","Slc25a11"
-0.836200194198737,13.9283745160128,-0.729870968698335,0.488927970417784,0.800085034158502,-5.59979850970136,"Q9DCC4","P5CR3_MOUSE","Pycr3"
0.40483679154843,20.8821070683017,0.483000187750753,0.643685550546628,0.890431678256168,-5.74860830856516,"P63038","CH60_MOUSE","Hspd1"
4.38574010083951,19.0666102858176,3.04211771190527,0.0185521330619915,0.146650194680504,-2.8856544907836,"Q61545","EWS_MOUSE","Ewsr1"
0.157900643746064,21.5242564566249,0.173031687464967,0.867473575129153,0.958749093168424,-5.85347911909018,"Q6PIE5","AT1A2_MOUSE","Atp1a2"
0.520144186936662,21.9835296695102,0.635839481811956,0.544894982462971,0.831747743345776,-5.66283136499836,"P17183","ENOG_MOUSE","Eno2"
0.436563861399712,21.9750716141408,0.555733116411329,0.595524541465622,0.86658489802091,-5.71044665261259,"P09411","PGK1_MOUSE","Pgk1"
-1.60446141443441,16.7820393985269,-1.24758531574781,0.251897287519374,0.621783639081279,-5.13523668529399,"Q8BWF0","SSDH_MOUSE","Aldh5a1"
0.394416892438901,23.6034673936126,0.433189879468308,0.677779056398282,0.902315988617507,-5.77186682996579,"P51881","ADT2_MOUSE","Slc25a5"
0.350087682442691,22.240851166583,0.3714640647224,0.721168406158918,0.923243872152034,-5.79736049580416,"P62874","GBB1_MOUSE","Gnb1"
-0.396823538710365,21.8055564654423,-0.408404964184313,0.695056284765604,0.912690915789772,-5.78255030770658,"Q9D8E6","RL4_MOUSE","Rpl4"
