"","Row.names","ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","A8","A9","A11","A12","A13","A16","A17"
"1","actb_5-UTR_EXONS_3-UTR_24xms2_3-UTR_gene",NA,NA,NA,NA,NA,NA,NA,NA,22.08,39.57,2.48,37.49,39.19,25.97,45.03
"2","ENSMUSG00000000001","ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,65.17,74.56,93.43,118.66,65.56,40.11,54.49
"3","ENSMUSG00000000028","ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,0,27.14,5.8,2.39,7.39,0.21,0
"4","ENSMUSG00000000056","ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,16.31,29.62,32.47,26.12,37.92,10.45,14.32
"5","ENSMUSG00000000058","ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,306.97,220.43,147.27,207.08,79.51,120.18,165.74
"6","ENSMUSG00000000078","ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,28.52,11.77,57.93,66.68,58.59,7.28,36.37
"7","ENSMUSG00000000085","ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,23.83,15.66,27.19,17.43,26,11.85,25.12
"8","ENSMUSG00000000088","ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,1076.32,1317.28,1303.64,1106.62,1602.31,1366.9,894.1
"9","ENSMUSG00000000127","ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,23.88,4.23,4.63,23.13,3.98,30.17,7.09
"10","ENSMUSG00000000131","ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,28.32,26.89,25.72,21.03,18.72,4.57,16.92
"11","ENSMUSG00000000134","ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,36.67,20.34,34.46,35.07,25.18,10.6,36.14
"12","ENSMUSG00000000149","ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,48.45,8.82,75.95,64.64,60.53,46.89,97.77
"13","ENSMUSG00000000167","ENSMUSG00000000167","Pih1d2",72614,"protein_coding","9",50528621,50536300,43.52,0,35.22,8.33,22.2,12.21,3.52,37.65
"14","ENSMUSG00000000168","ENSMUSG00000000168","Dlat",235339,"protein_coding","9",50545933,50571080,44.1,80.76,40,58.53,53.65,79.63,43.12,52.12
"15","ENSMUSG00000000171","ENSMUSG00000000171","Sdhd",66925,"protein_coding","9",50507657,50515112,45.09,402.79,394.53,452.92,367.7,455.41,262.9,325.98
"16","ENSMUSG00000000184","ENSMUSG00000000184","Ccnd2",12444,"protein_coding","6",127102125,127129156,49.26,183,148.74,257.95,206.08,139.78,94.74,97.42
"17","ENSMUSG00000000194","ENSMUSG00000000194","Gpr107",277463,"protein_coding","2",31042328,31108787,49.01,23.4,28.48,18.39,14.87,25.68,7.77,15.2
"18","ENSMUSG00000000197","ENSMUSG00000000197","Nalcn",338370,"protein_coding","14",123514046,123864556,38.67,15.16,26.35,22.77,12.11,7.51,6.01,7.38
"19","ENSMUSG00000000202","ENSMUSG00000000202","Btbd17",72014,"protein_coding","11",114682043,114686771,56.02,19.09,30.48,19.58,11.44,8,25.39,15.38
"20","ENSMUSG00000000223","ENSMUSG00000000223","Drp2",13497,"protein_coding","X",133305300,133357322,44.54,0.35,3.36,9.11,6.93,1.78,3.68,7.15
"21","ENSMUSG00000000247","ENSMUSG00000000247","Lhx2",16870,"protein_coding","2",38229293,38259745,50,63.54,77.09,84.63,68.5,94.79,53.83,65.24
"22","ENSMUSG00000000253","ENSMUSG00000000253","Gmpr",66355,"protein_coding","13",45660920,45707276,48.23,80.3,122.63,60.39,90.8,75.83,217.68,134.68
"23","ENSMUSG00000000266","ENSMUSG00000000266","Mid2",23947,"protein_coding","X",139565348,139668464,40.18,6.43,12.1,2.16,1.71,8.28,0.16,7.51
"24","ENSMUSG00000000275","ENSMUSG00000000275","Trim25",217069,"protein_coding","11",88890202,88911119,48.45,6.56,3.37,3.57,1.23,2.93,0,1.66
"25","ENSMUSG00000000276","ENSMUSG00000000276","Dgke",56077,"protein_coding","11",88926005,88957676,43.85,19.6,26.44,15.18,17.4,11.83,0.79,3.13
"26","ENSMUSG00000000278","ENSMUSG00000000278","Scpep1",74617,"protein_coding","11",88814846,88846291,47.22,82.22,165.04,92.36,124.54,81.1,48.55,72.68
"27","ENSMUSG00000000295","ENSMUSG00000000295","Hddc2",69692,"protein_coding","10",31189379,31204200,42.09,56.07,109.68,61.29,40.27,79.45,121.01,63.19
"28","ENSMUSG00000000296","ENSMUSG00000000296","Tpd52l1",21987,"protein_coding","10",31208372,31321954,40.19,135.78,52.74,61.36,86.58,72.45,112.02,96.39
"29","ENSMUSG00000000305","ENSMUSG00000000305","Cdh4",12561,"protein_coding","2",179084224,179541166,49.53,12.46,14.81,31.35,11.78,14.96,15.72,12
"30","ENSMUSG00000000308","ENSMUSG00000000308","Ckmt1",12716,"protein_coding","2",121188195,121194218,48.09,89.75,35.21,62.09,81.5,134.81,53.14,69.77
"31","ENSMUSG00000000326","ENSMUSG00000000326","Comt",12846,"protein_coding","16",18225636,18245602,48.68,137.74,44.82,138.43,118.78,139.16,86.61,143.68
"32","ENSMUSG00000000339","ENSMUSG00000000339","Rtca",66368,"protein_coding","3",116282612,116301857,43.09,64.86,57.68,90.99,86.06,94.37,97.73,68.07
"33","ENSMUSG00000000346","ENSMUSG00000000346","Dazap2",23994,"protein_coding","15",100513230,100518642,50.58,498.91,359.65,319.4,473,332.52,403.84,502.29
"34","ENSMUSG00000000355","ENSMUSG00000000355","Mcts1",68995,"protein_coding","X",37689455,37702303,37.89,62.54,323.87,99.95,141.93,205.12,213.99,145.65
"35","ENSMUSG00000000374","ENSMUSG00000000374","Trappc10",216131,"protein_coding","10",78022559,78080475,48.02,7.76,15.91,5.87,5.4,9.9,4.6,12.03
"36","ENSMUSG00000000378","ENSMUSG00000000378","Ccm2",216527,"protein_coding","11",6496887,6546744,47.75,38.79,61.72,48.1,46.21,77.33,41.75,63.77
"37","ENSMUSG00000000384","ENSMUSG00000000384","Tbrg4",21379,"protein_coding","11",6565598,6576067,51.38,0.51,6.84,2.68,4.76,2.96,3.05,2.72
"38","ENSMUSG00000000399","ENSMUSG00000000399","Ndufa9",66108,"protein_coding","6",126798684,126826099,45.75,319.5,491.7,303.56,333.27,422.99,130.51,242.04
"39","ENSMUSG00000000420","ENSMUSG00000000420","Galnt1",14423,"protein_coding","18",24338401,24419875,40.82,39.49,102.95,57.78,36.91,29.11,33.7,30.8
"40","ENSMUSG00000000439","ENSMUSG00000000439","Mkrn2",67027,"protein_coding","6",115578863,115599585,47.04,13.19,2.58,23.94,27.04,13.61,1.99,9.68
"41","ENSMUSG00000000531","ENSMUSG00000000531","Tamalin",56149,"protein_coding","15",101122069,101130637,55.63,0,13.14,18.57,11.52,21.65,22.34,16.44
"42","ENSMUSG00000000538","ENSMUSG00000000538","Tom1l2",216810,"protein_coding","11",60117540,60243731,46.54,77.07,30.92,49.24,46.69,68.09,7.43,87.67
"43","ENSMUSG00000000552","ENSMUSG00000000552","Zfp385a",29813,"protein_coding","15",103222322,103248520,50.68,10.8,15.24,11.77,13.27,8.73,7.48,10.63
"44","ENSMUSG00000000560","ENSMUSG00000000560","Gabra2",14395,"protein_coding","5",71114940,71253192,36.51,25.41,32.73,22.73,19.11,17.64,7.03,12.57
"45","ENSMUSG00000000561","ENSMUSG00000000561","Wdr77",70465,"protein_coding","3",105866685,105877353,44.83,49.68,23.31,36.67,35.88,58.96,47.83,37.3
"46","ENSMUSG00000000563","ENSMUSG00000000563","Atp5pb",11950,"protein_coding","3",105850014,105867415,40.23,367.02,761.09,476.9,507.18,500.1,591.52,491.72
"47","ENSMUSG00000000567","ENSMUSG00000000567","Sox9",20682,"protein_coding","11",112673050,112678586,50.95,239.18,73.45,302.8,259.77,176.74,143.19,187.84
"48","ENSMUSG00000000568","ENSMUSG00000000568","Hnrnpd",11991,"protein_coding","5",100103794,100126797,38.55,114.04,81.65,170.56,154.82,161.57,78.93,126.42
"49","ENSMUSG00000000579","ENSMUSG00000000579","Dynlt1c",100040563,"protein_coding","17",6869070,6877173,47.56,7.36,8.6,3.93,13.46,13.65,9.39,11.97
"50","ENSMUSG00000000581","ENSMUSG00000000581","C1d",57316,"protein_coding","11",17207579,17219176,37.25,28.34,81.43,42.26,38.24,70.2,53.88,62.71
