"","Row.names","ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","A8","A11","A12","A14","A15","A16","A17"
"1","ENSMUSG00000000001","ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,65.17,93.43,118.66,88.84,73.34,40.11,54.49
"2","ENSMUSG00000000028","ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,0,5.8,2.39,8.51,6.44,0.21,0
"3","ENSMUSG00000000031","ENSMUSG00000000031","H19",14955,"lncRNA","7",142129262,142131917,55.91,0,0,27.85,14.74,3.97,0,0
"4","ENSMUSG00000000049","ENSMUSG00000000049","Apoh",11818,"protein_coding","11",108234180,108305222,43.83,8.09,0,4.66,9.53,3.1,0,3.61
"5","ENSMUSG00000000056","ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,16.31,32.47,26.12,27.01,21.26,10.45,14.32
"6","ENSMUSG00000000058","ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,306.97,147.27,207.08,86.71,150.87,120.18,165.74
"7","ENSMUSG00000000078","ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,28.52,57.93,66.68,111.38,42.85,7.28,36.37
"8","ENSMUSG00000000085","ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,23.83,27.19,17.43,56.68,13.64,11.85,25.12
"9","ENSMUSG00000000088","ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,1076.32,1303.64,1106.62,1092.95,1135.09,1366.9,894.1
"10","ENSMUSG00000000126","ENSMUSG00000000126","Wnt9a",216795,"protein_coding","11",59197754,59224378,52.53,1.26,2.52,1.15,4.17,10.62,0,2.07
"11","ENSMUSG00000000127","ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,23.88,4.63,23.13,10.13,17.27,30.17,7.09
"12","ENSMUSG00000000131","ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,28.32,25.72,21.03,45.22,11.46,4.57,16.92
"13","ENSMUSG00000000134","ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,36.67,34.46,35.07,35.2,25.95,10.6,36.14
"14","ENSMUSG00000000148","ENSMUSG00000000148","Brat1",231841,"protein_coding","5",140690766,140705134,51.56,9.53,18.55,14.8,7.73,10.02,7.35,10.81
"15","ENSMUSG00000000149","ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,48.45,75.95,64.64,65.46,47.74,46.89,97.77
"16","ENSMUSG00000000167","ENSMUSG00000000167","Pih1d2",72614,"protein_coding","9",50528621,50536300,43.52,0,8.33,22.2,8.05,36.51,3.52,37.65
"17","ENSMUSG00000000168","ENSMUSG00000000168","Dlat",235339,"protein_coding","9",50545933,50571080,44.1,80.76,58.53,53.65,69.37,91.19,43.12,52.12
"18","ENSMUSG00000000171","ENSMUSG00000000171","Sdhd",66925,"protein_coding","9",50507657,50515112,45.09,402.79,452.92,367.7,266.48,412.83,262.9,325.98
"19","ENSMUSG00000000184","ENSMUSG00000000184","Ccnd2",12444,"protein_coding","6",127102125,127129156,49.26,183,257.95,206.08,238.23,123.07,94.74,97.42
"20","ENSMUSG00000000194","ENSMUSG00000000194","Gpr107",277463,"protein_coding","2",31042328,31108787,49.01,23.4,18.39,14.87,22.2,12.93,7.77,15.2
"21","ENSMUSG00000000197","ENSMUSG00000000197","Nalcn",338370,"protein_coding","14",123514046,123864556,38.67,15.16,22.77,12.11,7.93,11.62,6.01,7.38
"22","ENSMUSG00000000202","ENSMUSG00000000202","Btbd17",72014,"protein_coding","11",114682043,114686771,56.02,19.09,19.58,11.44,10.25,5.99,25.39,15.38
"23","ENSMUSG00000000223","ENSMUSG00000000223","Drp2",13497,"protein_coding","X",133305300,133357322,44.54,0.35,9.11,6.93,2.89,5.56,3.68,7.15
"24","ENSMUSG00000000247","ENSMUSG00000000247","Lhx2",16870,"protein_coding","2",38229293,38259745,50,63.54,84.63,68.5,65.11,66.84,53.83,65.24
"25","ENSMUSG00000000253","ENSMUSG00000000253","Gmpr",66355,"protein_coding","13",45660920,45707276,48.23,80.3,60.39,90.8,90.27,87.72,217.68,134.68
"26","ENSMUSG00000000266","ENSMUSG00000000266","Mid2",23947,"protein_coding","X",139565348,139668464,40.18,6.43,2.16,1.71,1.17,6,0.16,7.51
"27","ENSMUSG00000000275","ENSMUSG00000000275","Trim25",217069,"protein_coding","11",88890202,88911119,48.45,6.56,3.57,1.23,2.08,1.11,0,1.66
"28","ENSMUSG00000000278","ENSMUSG00000000278","Scpep1",74617,"protein_coding","11",88814846,88846291,47.22,82.22,92.36,124.54,91.76,94.47,48.55,72.68
"29","ENSMUSG00000000282","ENSMUSG00000000282","Mnt",17428,"protein_coding","11",74721746,74736551,56.49,5.11,6.27,2.61,11.5,6.94,1.1,2.76
