"","Row.names","ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","A8","A9","A11","A12","A13","A16","A17"
"1","actb_5-UTR_EXONS_3-UTR_24xms2_3-UTR_gene",NA,NA,NA,NA,NA,NA,NA,NA,443,1103,60,920,861,848,1189
"2","ENSMUSG00000000001","ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,1315,2090,2256,2929,1449,1317,1446
"3","ENSMUSG00000000028","ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,0,476,82,29,102,4,0
"4","ENSMUSG00000000056","ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,454,1145,1083,890,1157,473,525
"5","ENSMUSG00000000058","ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,5097,5083,2923,4204,1445,3183,3616
"6","ENSMUSG00000000078","ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,761,436,1852,2178,1714,316,1278
"7","ENSMUSG00000000085","ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,474,253,645,404,554,401,661
"8","ENSMUSG00000000088","ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,2713,4643,3800,3351,4317,5636,2867
"9","ENSMUSG00000000127","ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,417,106,101,515,79,891,165
"10","ENSMUSG00000000131","ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,818,1079,888,744,593,210,638
"11","ENSMUSG00000000134","ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,700,573,783,791,521,335,896
"12","ENSMUSG00000000149","ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,1028,260,1929,1678,1407,1619,2729
"13","ENSMUSG00000000167","ENSMUSG00000000167","Pih1d2",72614,"protein_coding","9",50528621,50536300,43.52,0,325,65,179,88,38,325
"14","ENSMUSG00000000168","ENSMUSG00000000168","Dlat",235339,"protein_coding","9",50545933,50571080,44.1,2051,1411,1781,1668,2217,1782,1743
"15","ENSMUSG00000000171","ENSMUSG00000000171","Sdhd",66925,"protein_coding","9",50507657,50515112,45.09,2602,3548,3463,2889,3198,2769,2741
"16","ENSMUSG00000000184","ENSMUSG00000000184","Ccnd2",12444,"protein_coding","6",127102125,127129156,49.26,3557,4082,6027,5097,2508,2772,2431
"17","ENSMUSG00000000194","ENSMUSG00000000194","Gpr107",277463,"protein_coding","2",31042328,31108787,49.01,926,1565,873,721,1115,500,793
"18","ENSMUSG00000000197","ENSMUSG00000000197","Nalcn",338370,"protein_coding","14",123514046,123864556,38.67,701,1692,1264,686,381,452,450
"19","ENSMUSG00000000202","ENSMUSG00000000202","Btbd17",72014,"protein_coding","11",114682043,114686771,56.02,186,413,227,136,85,403,196
"20","ENSMUSG00000000223","ENSMUSG00000000223","Drp2",13497,"protein_coding","X",133305300,133357322,44.54,16,216,373,353,51,277,338
"21","ENSMUSG00000000247","ENSMUSG00000000247","Lhx2",16870,"protein_coding","2",38229293,38259745,50,1101,1856,1678,1421,1721,1479,1441
"22","ENSMUSG00000000253","ENSMUSG00000000253","Gmpr",66355,"protein_coding","13",45660920,45707276,48.23,708,1504,633,976,729,3127,1552
"23","ENSMUSG00000000266","ENSMUSG00000000266","Mid2",23947,"protein_coding","X",139565348,139668464,40.18,245,640,86,80,346,10,377
"24","ENSMUSG00000000275","ENSMUSG00000000275","Trim25",217069,"protein_coding","11",88890202,88911119,48.45,101,167,143,54,25,0,78
"25","ENSMUSG00000000276","ENSMUSG00000000276","Dgke",56077,"protein_coding","11",88926005,88957676,43.85,712,1613,697,716,465,70,147
"26","ENSMUSG00000000278","ENSMUSG00000000278","Scpep1",74617,"protein_coding","11",88814846,88846291,47.22,1012,2824,1356,1872,1091,973,1173
"27","ENSMUSG00000000295","ENSMUSG00000000295","Hddc2",69692,"protein_coding","10",31189379,31204200,42.09,221,603,283,192,338,779,321
"28","ENSMUSG00000000296","ENSMUSG00000000296","Tpd52l1",21987,"protein_coding","10",31208372,31321954,40.19,732,362,393,561,420,1033,671
"29","ENSMUSG00000000305","ENSMUSG00000000305","Cdh4",12561,"protein_coding","2",179084224,179541166,49.53,476,577,1377,596,678,1056,618
"30","ENSMUSG00000000308","ENSMUSG00000000308","Ckmt1",12716,"protein_coding","2",121188195,121194218,48.09,805,445,671,903,1336,782,829
