"ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cntrl no infection","exp - actin","scramble - cntrl","scramble - cntrl.1","exp - actin.1","ref transcriptome","ref transcriptome.1"
"actb_5-UTR_EXONS_3-UTR_24xms2_3-UTR_gene",NA,NA,NA,NA,NA,NA,NA,736.661990731161,-1.09916902297503,1.21492463632378,-0.904721980369901,0.365612693428765,0.822537720334848,460.10260001676,929.307184665879,57.9713346644251,838.03625126741,899.859496108169,838.778595362613,1132.57847303287
"ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,1738.41177451925,0.0274377392848169,0.46831970880577,0.0585876245840347,0.953280567902348,0.995380476420723,1365.76731156217,1760.881247463,2179.72218338238,2668.05236952418,1514.39768857228,1302.67854963745,1377.3830714933
"ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,88.1781040052168,-3.36482003489841,2.96844025510168,-1.13353133151846,0.25699119142286,0.740292739670044,0,401.04281042698,79.2274907080476,26.4163600942988,106.603563998877,3.95650280831421,0
"ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,781.496383939422,-0.0375977294910465,0.595696473832417,-0.0631155817478007,0.949674466596758,0.995380476420723,471.527269543135,964.693314997672,1046.38259069287,810.708982204342,1209.21885830099,467.856457083156,500.08721475379
"ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,3476.14095671466,0.683403721473752,0.658787584496832,1.03736581799082,0.29956540232166,0.774056772613579,5293.77641599419,4282.56429705953,2824.17018706858,3829.46130470456,1510.21715665076,3148.38710971603,3444.41022580896
"ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,1178.90565059587,0.0471029355549027,1.03622901013011,0.0454561058360916,0.963743761176824,0.995809219705158,790.379409961071,367.341733920511,1789.38186330859,1983.95973397872,1791.35792837329,312.563721856823,1217.35516277208
"ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,471.704924371418,-0.0598494032179335,0.925006031533195,-0.0647016356409409,0.948411560500292,0.995380476420723,492.299395954727,213.159308903416,623.19184764257,368.007223382645,579.003671131156,396.6394065335,629.633617051914
"ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,3753.00988842278,-0.559535249828087,0.551558359667803,-1.01446245899543,0.310362133995764,0.783390696780591,2817.73894773244,3911.85245548838,3671.51786208026,3052.45595434466,4511.83907630542,5574.71245691472,2730.95246609355
"ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,315.736665836347,-0.261645036371303,1.3238201963138,-0.197643937673603,0.843323655541129,0.978489562410429,433.09883568169,89.3078527421425,97.5850800184489,469.118118915996,82.5655054501107,881.311000551991,157.170267494048
"ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,675.651974843788,1.05902844138588,0.840588982926009,1.25986476494077,0.207718151408963,0.682509699049124,849.579970234107,909.086538761998,857.975753033491,677.716272764079,619.763857366021,207.716397436496,607.72503431032
"ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,630.885832835601,0.295286125130343,0.79018130815209,0.373694140931903,0.708631884902155,0.955923644975427,727.024424405715,482.767920955167,756.525917370747,720.528994296219,544.514282778578,331.357110196315,853.482179846468
"ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,1478.63221980126,-0.976217499318668,0.966802109627217,-1.00973869377993,0.312620498946601,0.783524751853111,1067.68729755582,219.056997292048,1863.77840946127,1528.50524959425,1470.50210339628,1601.39451166518,2599.50096964399
"ENSMUSG00000000167","Pih1d2",72614,"protein_coding","9",50528621,50536300,43.52,134.116072829501,-9.8275918723726,2.64877464538373,-3.71024084268554,0.000207062167069721,0.0109017571528555,0,273.82124661506,62.8022792197938,163.052705409637,91.9717022735411,37.586776678985,309.577799609489
"ENSMUSG00000000168","Dlat",235339,"protein_coding","9",50545933,50571080,44.1,1757.01957419927,0.315756601984697,0.579617283163106,0.544767402830951,0.585913500616611,0.922827567955227,2130.18156350875,1188.80547376569,1720.78245062235,1519.39615990656,2317.05981750501,1762.62200110398,1660.28955298258
"ENSMUSG00000000171","Sdhd",66925,"protein_coding","9",50507657,50515112,45.09,2908.77474528011,0.0147834049958474,0.427374333813106,0.0345912326178958,0.972405692675006,0.997384908369048,2702.4536461481,2989.28548612379,3345.9121990484,2631.61601077342,3342.33527125891,2738.88906905551,2610.93153455264
"ENSMUSG00000000184","Ccnd2",12444,"protein_coding","6",127102125,127129156,49.26,3611.19043181144,0.546899672179217,0.445829320086397,1.22670189585834,0.219934654894092,0.696810984037778,3694.32268230161,3439.19485748515,5823.2205670415,4642.9030138152,2621.19351479592,2741.85644616175,2315.64194107898
"ENSMUSG00000000194","Gpr107",277463,"protein_coding","2",31042328,31108787,49.01,885.115473176213,0.62180911175354,0.611021601073208,1.01765487613103,0.308841998601954,0.781895240564703,961.749452856703,1318.55461831559,843.482919367385,656.765366482394,1165.32327312498,494.562851039276,755.369831047153
"ENSMUSG00000000197","Nalcn",338370,"protein_coding","14",123514046,123864556,38.67,753.384510008862,0.733580254045615,0.907792152400397,0.808092746897923,0.419037192677681,0.852006668482956,728.063030726295,1425.55553622363,1221.26278359722,624.883552575482,398.195665525218,447.084817339506,428.646184074677
"ENSMUSG00000000202","Btbd17",72014,"protein_coding","11",114682043,114686771,56.02,222.643725890697,-0.599198935438782,1.23477405553972,-0.485270104883175,0.627484758712747,0.934724998291505,193.180775627804,347.963614929291,219.324882813742,123.883619752574,88.8363033323976,398.617657937657,186.699226841415
"ENSMUSG00000000223","Drp2",13497,"protein_coding","X",133305300,133357322,44.54,218.541908162744,-4.1644101039668,1.17035061159573,-3.55825857884483,0.000373321703697704,0.0168627169550012,16.6177011292735,181.985813134932,360.388463830509,321.55086597543,53.3017819994386,273.987819475759,321.960911593868
"ENSMUSG00000000247","Lhx2",16870,"protein_coding","2",38229293,38259745,50,1465.30189356936,-0.310150917631224,0.489331573550689,-0.633825680572185,0.526194591708525,0.899777512425044,1143.50555895813,1563.72994990016,1621.26499278175,1294.40164462064,1798.67385923596,1462.91691337418,1372.62033611469
"ENSMUSG00000000253","Gmpr",66355,"protein_coding","13",45660920,45707276,48.23,1262.34136577986,-1.63612362414602,0.703063252324571,-2.32713574310196,0.0199580416713988,0.215651205824552,735.333274970352,1267.16047664323,611.597580709685,889.04715351847,761.901942697857,3092.99607039963,1478.35306151977
"ENSMUSG00000000266","Mid2",23947,"protein_coding","X",139565348,139668464,40.18,240.036893182718,0.463645175773364,1.62879545456156,0.284655249052233,0.775908278822738,0.972301676542865,254.458548542,539.217224103502,83.0922463523426,72.8727175015139,361.616011211877,9.89125702078553,359.110247547007
"ENSMUSG00000000275","Trim25",217069,"protein_coding","11",88890202,88911119,48.45,76.1974754008458,1.49725100643312,2.54325869566288,0.588713609428109,0.55605340683005,0.90818584339262,104.899238378539,140.701994414508,138.165014283546,49.1890843135219,26.1283245095287,0,74.2986719062773
"ENSMUSG00000000276","Dgke",56077,"protein_coding","11",88926005,88957676,43.85,588.482594026682,2.82088024110383,0.893926378367768,3.15560689265542,0.00160164565975799,0.0474523405862349,739.48770025267,1358.99591012336,673.433671018405,652.210821638549,485.986835877234,69.2387991454987,140.024420131061
