RBP_ID	Family_ID	RSource_ID	Motif_ID	MSource_ID	DBID	RBP_Name	RBP_Species	RBP_Status	Family_Name	RBDs	RBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	RBPSource_Name	RBPSource_URL	RBPSource_Year	RBPSource_Month	RBPSource_Day
T000144_2.00	F15_2.00	TS12_2.00	.	.	ENSMUSG00000029625	Cpsf4	Mus_musculus	N	CCCH ZF,CCHC ZF	zf-CCCH,zf-CCHC	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T001063_2.00	F24_2.00	TS12_2.00	.	.	ENSMUSG00000022119	Rbm26	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRMs_3D	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T001064_2.00	F24_2.00	TS12_2.00	.	.	ENSMUSG00000024491	Rbm27	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRMs_3D	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T001065_2.00	F24_2.00	TS12_2.00	M00784_2.00	MS05_2.00	ENSMUSG00000024604	Rbm22	Mus_musculus	I	CCCH ZF,RRM	zf-CCCH,RRMs_3D	2	0.70	RBM22_5mer_logo0	RNA-Bind-n-Seq	Dominguez2018_RBPs	RNA Bind-n-Seq	Dominguez	2018	29883606	NULL	Ensembl	http://www.ensembl.org/	2018	Dec	8
T001066_2.00	F24_2.00	TS12_2.00	.	.	ENSMUSG00000031370	Zrsr2	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRMs_3D	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T001067_2.00	F24_2.00	TS12_2.00	.	.	ENSMUSG00000044068	Zrsr1	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRMs_3D	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T001068_2.00	F24_2.00	TS12_2.00	.	.	ENSMUSG00000061613	U2af1	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRMs_3D	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T001069_2.00	F24_2.00	TS12_2.00	.	.	ENSMUSG00000078765	U2af1l4	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRMs_3D	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T005719_2.00	F28_2.00	TS12_2.00	.	.	ENSMUSG00000000439	Mkrn2	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T005720_2.00	F28_2.00	TS12_2.00	.	.	ENSMUSG00000001909	Trmt1	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T005721_2.00	F28_2.00	TS12_2.00	.	.	ENSMUSG00000007603	Dus3l	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
T005722_2.00	F28_2.00	TS12_2.00	.	.	ENSMUSG00000009076	Zmat5	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2018	Dec	8
