"ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cntrl no infection","scramble - cntrl","scramble - cntrl.1","exp - arc","exp - arc.1","ref transcriptome","ref transcriptome.1"
"ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,1795.01126244824,-0.00105039432091025,0.358517675932161,-0.00292982575595243,0.997662340607848,1,1334.86554718529,2145.71575160633,2639.58642526193,1990.72824516811,1782.52932517167,1316.31679696175,1355.3367457826
"ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,44.3052938344432,-3.41022531833146,3.1943155584167,-1.06759186935864,0.285704652818622,0.631714541344546,0,77.9914413261166,26.1345190619993,112.453351253771,89.5598202274257,3.99792497178969,0
"ENSMUSG00000000031","H19",14955,"lncRNA","7",142129262,142131917,55.91,66.9598895311432,0,4.3045040297825,0,1,1,0,0,268.554713119855,152.977081435311,47.1874321628372,0,0
"ENSMUSG00000000049","Apoh",11818,"protein_coding","11",108234180,108305222,43.83,28.2041291237672,1.90015416062935,3.66757053712312,0.518096146044366,0.604391189053125,0.858851180317916,50.7553439994406,0,31.5416609368957,64.8379682904628,23.1122116715937,0,27.1817189679775
"ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,686.605932721021,-0.0659833757698711,0.521115905578131,-0.126619385560048,0.899241652978614,0.97593490405991,460.85852351492,1030.05769458761,802.059378109633,835.801934994247,712.626526540807,472.754627914131,492.082843385799
"ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,3275.57986490238,0.655242076906324,0.454260662733384,1.44243631610889,0.149179325054984,0.455347642296028,5173.99976730297,2780.10954873462,3788.60407367741,1597.64806240718,3018.06964078228,3181.34879630164,3389.27916511057
"ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,1527.32287084043,0.0293476229828877,0.80253755843848,0.0365685352346502,0.970829031987218,0.996788962312414,772.496335671485,1761.46523580449,1962.79250058739,3303.69710304999,1377.10261209913,315.836072771385,1197.87023589915
"ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,583.014726914753,-0.0845397160932438,0.919252539238665,-0.0919657139737253,0.926725280399679,0.985478393322828,481.160661114696,613.469264089576,364.080886243025,1277.51059397302,324.533972221962,400.791978421916,619.555732339073
"ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,3446.66999873364,-0.595064401016408,0.472752735024331,-1.25872228107952,0.208130660641534,0.53903639959335,2753.98496540964,3614.23752486882,3019.88873712964,2976.46798183406,3441.79352142817,5633.07628525167,2687.2409752135
"ENSMUSG00000000126","Wnt9a",216795,"protein_coding","11",59197754,59224378,52.53,74.5882066891674,0.00720536622116255,2.39154096374727,0.00301285502961763,0.99759609312476,1,26.3927788797091,58.9691385636491,26.1345190619993,95.2307659266172,262.901407764379,0,52.4888366278186
"ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,373.110701108704,-0.303901346239196,1.27369096339152,-0.238598965505717,0.811416567370574,0.945923047966119,423.299568955334,96.0626289504607,464.113010928608,204.644837416773,378.462466122347,890.537787466153,154.654607921251
