"ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cntrl no infection","exp - actin","scramble - cntrl","scramble - cntrl.1","exp - actin.1","ref transcriptome","ref transcriptome.1"
"actb_5-UTR_EXONS_3-UTR_24xms2_3-UTR_gene",NA,NA,NA,NA,NA,NA,NA,736.661990731161,0.494649285059334,0.960417899077929,0.515035471053,0.606528233384841,0.999676776104881,460.10260001676,929.307184665879,57.9713346644251,838.03625126741,899.859496108169,838.778595362612,1132.57847303287
"ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,1738.41177451925,-0.300590952416759,0.524681406268798,-0.572901857823345,0.56671114661546,0.999676776104881,1365.76731156217,1760.881247463,2179.72218338238,2668.05236952418,1514.39768857228,1302.67854963745,1377.3830714933
"ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,88.1781040052168,4.26168616581381,2.29230212772373,1.85912935047776,0.0630088059188095,0.999676776104881,0,401.04281042698,79.2274907080477,26.4163600942988,106.603563998877,3.95650280831421,0
"ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,781.496383939422,0.761368097465838,0.650835542076675,1.16983177506944,0.242068673772957,0.999676776104881,471.527269543136,964.693314997672,1046.38259069287,810.708982204343,1209.21885830099,467.856457083155,500.08721475379
"ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,3476.14095671466,-0.655077843725518,0.516996718413177,-1.26708317556861,0.205125550718863,0.999676776104881,5293.77641599419,4282.56429705953,2824.17018706858,3829.46130470456,1510.21715665076,3148.38710971603,3444.41022580896
"ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,1178.90565059587,-0.362322794602137,0.85231995993444,-0.425101853334524,0.67076242692282,0.999676776104881,790.379409961071,367.341733920511,1789.38186330859,1983.95973397872,1791.35792837329,312.563721856823,1217.35516277208
"ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,471.704924371418,-0.119574322375048,0.74843984089887,-0.159764774455941,0.873066373501649,0.999676776104881,492.299395954728,213.159308903416,623.19184764257,368.007223382645,579.003671131156,396.6394065335,629.633617051914
"ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,3753.00988842278,0.521004303648775,0.448434423405147,1.16182941463899,0.245304763315922,0.999676776104881,2817.73894773244,3911.85245548838,3671.51786208026,3052.45595434467,4511.83907630542,5574.71245691472,2730.95246609355
"ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,315.736665836347,-2.39202096851775,1.06051793249411,-2.25552147231705,0.0241006160492631,0.999676776104881,433.098835681691,89.3078527421425,97.585080018449,469.118118915996,82.5655054501107,881.31100055199,157.170267494048
"ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,675.651974843788,0.00165557890654013,0.736347669676119,0.00224836578523883,0.998206065164355,0.99971819158996,849.579970234108,909.086538761998,857.975753033492,677.71627276408,619.763857366021,207.716397436496,607.72503431032
"ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,630.885832835602,-0.494863198302429,0.666099920531386,-0.742926373430052,0.457526257405971,0.999676776104881,727.024424405716,482.767920955167,756.525917370748,720.528994296219,544.514282778578,331.357110196315,853.482179846468
"ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,1478.63221980126,-0.62030560913208,0.727677936637367,-0.852445261702644,0.393967007860707,0.999676776104881,1067.68729755582,219.056997292048,1863.77840946127,1528.50524959426,1470.50210339628,1601.39451166518,2599.50096964399
"ENSMUSG00000000167","Pih1d2",72614,"protein_coding","9",50528621,50536300,43.52,134.116072829501,1.16521445044568,1.82055352931361,0.64003306229891,0.522151105001658,0.999676776104881,0,273.82124661506,62.8022792197939,163.052705409637,91.9717022735411,37.586776678985,309.577799609489
"ENSMUSG00000000168","Dlat",235339,"protein_coding","9",50545933,50571080,44.1,1757.01957419927,-0.0581146983321305,0.497891382829571,-0.116721639169287,0.907080641908638,0.999676776104881,2130.18156350875,1188.80547376569,1720.78245062235,1519.39615990657,2317.05981750501,1762.62200110398,1660.28955298258
"ENSMUSG00000000171","Sdhd",66925,"protein_coding","9",50507657,50515112,45.09,2908.77474528011,0.247308989248341,0.395026335801619,0.626056965914644,0.531277577393175,0.999676776104881,2702.4536461481,2989.28548612379,3345.9121990484,2631.61601077342,3342.33527125891,2738.88906905551,2610.93153455264
"ENSMUSG00000000184","Ccnd2",12444,"protein_coding","6",127102125,127129156,49.26,3611.19043181145,-0.460126806825888,0.51204706120587,-0.898602573252329,0.368864387588614,0.999676776104881,3694.32268230162,3439.19485748515,5823.2205670415,4642.90301381521,2621.19351479592,2741.85644616175,2315.64194107898
"ENSMUSG00000000194","Gpr107",277463,"protein_coding","2",31042328,31108787,49.01,885.115473176213,0.618109018723063,0.564632367640527,1.09471056593161,0.273643458177706,0.999676776104881,961.749452856704,1318.55461831559,843.482919367385,656.765366482394,1165.32327312498,494.562851039276,755.369831047153
"ENSMUSG00000000197","Nalcn",338370,"protein_coding","14",123514046,123864556,38.67,753.384510008862,0.43114634670359,0.778648067068197,0.553711445437683,0.579776341028636,0.999676776104881,728.063030726295,1425.55553622363,1221.26278359722,624.883552575482,398.195665525218,447.084817339506,428.646184074677
"ENSMUSG00000000202","Btbd17",72014,"protein_coding","11",114682043,114686771,56.02,222.643725890697,0.463247662122117,1.01669806139741,0.455639367980502,0.648649328851374,0.999676776104881,193.180775627804,347.963614929291,219.324882813742,123.883619752574,88.8363033323976,398.617657937657,186.699226841415
"ENSMUSG00000000223","Drp2",13497,"protein_coding","X",133305300,133357322,44.54,218.541908162744,-0.52307011290699,1.24333679511394,-0.420698651373103,0.673975146076832,0.999676776104881,16.6177011292735,181.985813134932,360.388463830509,321.55086597543,53.3017819994386,273.987819475759,321.960911593868
