"ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cntrl no infection","scramble - cntrl","scramble - cntrl.1","exp - arc","exp - arc.1","ref transcriptome","ref transcriptome.1"
"ENSMUSG00000000001","Gnai3",14679,"protein_coding","3",108014596,108053462,41.65,1795.01126244824,0.840903206130315,0.292042887960985,2.87938258658316,0.00398454635225094,0.0767570106237371,1334.86554718529,2145.71575160633,2639.58642526193,1990.72824516811,1782.52932517167,1316.31679696175,1355.3367457826
"ENSMUSG00000000028","Cdc45",12544,"protein_coding","16",18599197,18630737,46.23,44.3052938344432,4.71276209948393,2.05305823682197,2.29548388592184,0.0217054088449623,0.21571117121406,0,77.9914413261166,26.1345190619993,112.453351253771,89.5598202274257,3.99792497178969,0
"ENSMUSG00000000031","H19",14955,"lncRNA","7",142129262,142131917,55.91,66.9598895311432,9.55885955118132,3.20600316013133,2.98155025860603,0.00286792968302831,0.0622742685907567,0,0,268.554713119855,152.977081435311,47.1874321628372,0,0
"ENSMUSG00000000049","Apoh",11818,"protein_coding","11",108234180,108305222,43.83,28.2041291237672,0.214388644561285,3.00424340326025,0.0713619423541474,0.943109697957669,0.992587512753544,50.7553439994406,0,31.5416609368957,64.8379682904628,23.1122116715937,0,27.1817189679775
"ENSMUSG00000000056","Narf",67608,"protein_coding","11",121128079,121146682,46.96,686.605932721021,0.925075338747627,0.423949730888244,2.1820401603026,0.0291065689003933,0.25446070844404,460.85852351492,1030.05769458761,802.059378109633,835.801934994247,712.626526540807,472.754627914131,492.082843385799
"ENSMUSG00000000058","Cav2",12390,"protein_coding","6",17281184,17289114,39.77,3275.57986490238,-0.000401468452719476,0.371068705821977,-0.00108192484685594,0.999136749037159,1,5173.99976730297,2780.10954873462,3788.60407367741,1597.64806240718,3018.06964078228,3181.34879630164,3389.27916511057
"ENSMUSG00000000078","Klf6",23849,"protein_coding","13",5911481,5920393,43.44,1527.32287084043,1.29870501750396,0.654611213362716,1.98393335004537,0.0472632704908826,0.328010530374073,772.496335671485,1761.46523580449,1962.79250058739,3303.69710304999,1377.10261209913,315.836072771385,1197.87023589915
"ENSMUSG00000000085","Scmh1",29871,"protein_coding","4",120262478,120387383,39.89,583.014726914753,-0.0619573972182902,0.750368861918282,-0.082569254086449,0.934194049453024,0.99110360087721,481.160661114696,613.469264089576,364.080886243025,1277.51059397302,324.533972221962,400.791978421916,619.555732339073
"ENSMUSG00000000088","Cox5a",12858,"protein_coding","9",57428557,57439709,42.75,3446.66999873364,-0.326692246934323,0.385819448507253,-0.84674903817914,0.39713501912057,0.802600563056113,2753.98496540964,3614.23752486882,3019.88873712964,2976.46798183406,3441.79352142817,5633.07628525167,2687.2409752135
"ENSMUSG00000000126","Wnt9a",216795,"protein_coding","11",59197754,59224378,52.53,74.5882066891674,0.69609676627672,1.9480927600089,0.357322187406281,0.720850621764897,0.940758331197402,26.3927788797091,58.9691385636491,26.1345190619993,95.2307659266172,262.901407764379,0,52.4888366278186
"ENSMUSG00000000127","Fer",14158,"protein_coding","17",64170057,64446491,40.27,373.110701108704,-0.899538295525019,1.04032815311957,-0.864667838535014,0.387221126581954,0.79575017319629,423.299568955334,96.0626289504607,464.113010928608,204.644837416773,378.462466122347,890.537787466153,154.654607921251
"ENSMUSG00000000131","Xpo6",74204,"protein_coding","7",125700887,125799673,43.53,714.100708585995,0.906949810049701,0.76060992603182,1.19239807292728,0.233105195561134,0.662170601850427,830.357427830848,844.590242653556,670.485592487154,1446.69716748095,398.685651334992,209.891061018959,597.997817295505
"ENSMUSG00000000134","Tfe3",209446,"protein_coding","X",7628799,7641441,51.75,666.713100994194,0.311124256285514,0.582728701283637,0.533909271330154,0.593404307271495,0.899753884934102,710.574815992168,744.723153150601,712.841537173843,741.584262322168,582.620335888092,334.826216387386,839.821386045097
"ENSMUSG00000000148","Brat1",231841,"protein_coding","5",140690766,140705134,51.56,275.514711549824,0.562831538746308,0.634544408823715,0.886985262055425,0.375086835267069,0.788335575863784,203.021375997762,437.512963536752,337.045176868543,177.291319544234,249.419284289282,246.871867008013,277.440993604184
"ENSMUSG00000000149","Gna12",14673,"protein_coding","5",140744163,140816186,47.49,1618.50787669383,-0.31941619457612,0.377785795925233,-0.845495511004696,0.397834237963461,0.803305660135801,1043.5298726285,1834.70110143999,1512.19734434603,1542.94102666211,1220.13217449622,1618.16013233188,2557.89348495209
"ENSMUSG00000000167","Pih1d2",72614,"protein_coding","9",50528621,50536300,43.52,130.898518690528,-0.618680099693398,1.40815997886718,-0.439353559949279,0.660405370863877,0.923317869298937,0,61.8224839780193,161.313065934409,58.7594087632319,291.791672353871,37.980287232002,304.622712572161
"ENSMUSG00000000168","Dlat",235339,"protein_coding","9",50545933,50571080,44.1,1920.29173422819,-0.0950278066422588,0.320256683837532,-0.296723882554367,0.766677322127008,0.950122111535236,2081.98421085705,1693.93606099773,1503.1854412212,1958.30926102288,2789.83655052529,1781.07557493231,1633.71504004085
"ENSMUSG00000000171","Sdhd",66925,"protein_coding","9",50507657,50515112,45.09,2712.32103148415,0.144079453473003,0.347844138930281,0.414206931633484,0.678722565824621,0.929282082263579,2641.30810173089,3293.71172332124,2603.53881276262,1895.4974792415,3215.48644881048,2767.56356172141,2569.14109280091
"ENSMUSG00000000184","Ccnd2",12444,"protein_coding","6",127102125,127129156,49.26,3836.58193856599,1.03215162556889,0.349094893821005,2.95665059511904,0.00311000318994568,0.065068754182217,3610.7351721202,5732.37093746957,4593.36702272449,5060.40080641971,2810.05973573794,2770.56200545025,2278.57789003977
"ENSMUSG00000000194","Gpr107",277463,"protein_coding","2",31042328,31108787,49.01,751.007339586664,0.251654621577183,0.491836039342097,0.511663646921459,0.608886432631881,0.905667222382527,939.988970869639,830.323515581705,649.758215300051,977.634990629634,616.325644575833,499.740621473711,743.279418676074
